"sim","N","beta0","beta1","beta2","q","eta0","eta1","ppv","queried_ppv","queried_strat_ppv","avg_prev","fpr","beta0_gs","se_beta0_gs","beta1_gs","se_beta1_gs","beta2_gs","se_beta2_gs","eta0_gs","se_eta0_gs","eta1_gs","se_eta1_gs","beta0_n","se_beta0_n","beta1_n","se_beta1_n","beta2_n","se_beta2_n","beta0_cc","se_beta0_cc","beta1_cc","se_beta1_cc","beta2_cc","se_beta2_cc","beta0_mle","se_beta0_mle","beta1_mle","se_beta2_mle","beta2_mle","se_beta1_mle","eta0_mle","se_eta0_mle","eta1_mle","se_eta1_mle","mle_msg","beta0_mle_strat","se_beta0_mle_strat","beta1_mle_strat","se_beta2_mle_strat","beta2_mle_strat","se_beta1_mle_strat","eta0_mle_strat","se_eta0_mle_strat","eta1_mle_strat","se_eta1_mle_strat","mle_strat_msg","sim_msg","sim_strat_msg"
"1031-1",390,-2.2778541,0.405465108108164,0.1413503,0.1,0.405465108108164,0.3897812,0.6,0.56,0.58974358974359,0.124845044003204,0.474576271186441,-2.27985611475209,0.00360689183925175,0.407742491289288,0.00444319842870473,0.146668343517288,0.0147116527544489,0.24754696240691,0.162700589019655,0.61406820380505,0.919078037384476,-2.28050662619651,0.00473194422276078,0.25011290491545,0.00502789944181664,0.1861526237127,0.0148598008772568,-2.27948864861502,0.0109207534766683,0.429162267646017,0.0145602092493044,0.106380452310046,0.0550051542978014,-2.27985611475427,0.00354864071081628,0.407742491274555,0.0145449388459069,0.146668343524284,0.0043473983893998,0.247546962538632,0.16343550003412,0.614068203751301,0.92206853709362,"Converged",-2.27985611475427,0.00354864430983605,0.407742491274555,0.0145449425393806,0.146668343524285,0.00434740002872466,0.247546962538636,0.163435500032122,0.614068203751283,0.922068536977774,"Converged","",""
"1031-2",390,-2.2778541,0.405465108108164,0.1413503,0.1,0.405465108108164,0.3897812,0.6,0.695652173913043,0.538461538461538,0.126689916951883,0.46606334841629,-2.27893851978949,0.00371126358663449,0.401535232568775,0.00442206201377273,0.166461986302611,0.0167753550473069,0.410748444891033,0.161476931150206,0.767781433848382,0.945663987742371,-2.28167795579554,0.00478148452964727,0.264050413355701,0.00508985635461045,0.217952766421097,0.0165361623994384,-2.27662307518519,0.0116745062769989,0.392514213930316,0.0140522632803368,0.160495338770203,0.0496944940732767,-2.27893851978885,0.00362675940243666,0.401535232568112,0.0165998658039726,0.166461986302203,0.00431676457829298,0.410748444886625,0.162515274394933,0.767781433854974,0.949065257140447,"Converged",-2.27893851978883,0.00362697712227617,0.401535232568121,0.0166001081265566,0.166461986302121,0.00431686298556549,0.410748444886303,0.162515274373861,0.76778143385611,0.949065256780263,"Converged","",""
"1031-3",390,-2.2778541,0.405465108108164,0.1413503,0.1,0.405465108108164,0.3897812,0.6,0.67741935483871,0.641025641025641,0.127229455679408,0.523148148148148,-2.2782685435235,0.00380668433766012,0.402946371170233,0.00444373114716643,0.143349464838588,0.0146582351088466,0.598075441254806,0.161256331697223,-1.47533568224487,0.932776538673575,-2.27200532809939,0.00513413265526479,0.266290369913739,0.0053620003533244,0.0626326140226204,0.0146124184774935,-2.26987460152677,0.0127887299533924,0.393510326011373,0.0142508356410689,0.111658335366933,0.0679523842907266,-2.27826855575017,0.00373205970191897,0.402946367146957,0.0144504898616435,0.143349503071911,0.00434718074186377,0.598075665946016,0.16241946786961,-1.47533641357523,0.933554590091396,"Converged",-2.27826855577834,0.00372086091237292,0.402946367128377,0.0144388723413482,0.143349503155884,0.00434113707596905,0.598075666531118,0.162419467927401,-1.4753364152053,0.93355459035417,"Converged","",""
"1031-4",390,-2.2778541,0.405465108108164,0.1413503,0.1,0.405465108108164,0.3897812,0.6,0.72,0.564102564102564,0.126947436675725,0.465753424657534,-2.28268747091184,0.0036400299015113,0.411147103405522,0.0044178556859896,0.137149009916765,0.0129404651357425,0.432397237274113,0.156443636460204,0.722588354088788,0.82458173227917,-2.29571950192244,0.004817655381243,0.286216019764377,0.00512891865390415,0.183625962311974,0.0129450559903173,-2.29533590964712,0.0115919943627763,0.428630255211946,0.0141632640605288,0.146630048750595,0.0684759535502365,-2.28268746889282,0.00359825320060432,0.411147102651316,0.0127830852162983,0.137149006812997,0.00429708449421513,0.432397213839829,0.15763318260325,0.722588400883909,0.830491045194911,"Converged",-2.28268746888967,0.00360119321544032,0.411147102655881,0.0127852839213351,0.137149006811603,0.00429851852546532,0.432397213762985,0.157633182651213,0.722588400854591,0.830491045268008,"Converged","",""
"1031-5",390,-2.2778541,0.405465108108164,0.1413503,0.1,0.405465108108164,0.3897812,0.6,0.535714285714286,0.58974358974359,0.125369649494655,0.521739130434783,-2.28176196466339,0.0036559132759711,0.405915234580233,0.00443298664279517,0.152602905915583,0.0154151095938609,0.204032268446043,0.157362573246589,0.723360416334777,0.881927408360783,-2.28357440179907,0.00496627509754562,0.246108179583314,0.00522328148798476,0.205095977608041,0.0153984504059179,-2.28429254772047,0.0112774584746389,0.417384681187194,0.0142137546069116,0.148482606442653,0.0526751020972486,-2.28176196475044,0.00356601616611109,0.405915234515902,0.015218166120052,0.152602906318237,0.00432501803735165,0.204032270054372,0.157980320819084,0.723360410764032,0.884603424353471,"Converged",-2.28176196475029,0.00356600957375756,0.405915234516129,0.0152181591650167,0.152602906317694,0.00432501509202841,0.204032270050868,0.15798032084122,0.7233604107709,0.884603424728006,"Converged","",""
"1031-6",390,-2.2778541,0.405465108108164,0.1413503,0.1,0.405465108108164,0.3897812,0.6,0.666666666666667,0.641025641025641,0.125762569217405,0.458515283842795,-2.27917383281273,0.00365804468654997,0.409730641225,0.00443027322612673,0.137979990330802,0.0146864140948348,0.450925593380651,0.15601392247672,-0.213330543441302,0.839452215630907,-2.27675044309498,0.00471274759681777,0.266537045937794,0.00502952722843508,0.121462273028653,0.0146006945588306,-2.28616644304201,0.0119637734280121,0.405476706454009,0.0141783312043947,0.19265093897565,0.0638528288637483,-2.27917383439441,0.00361828552234975,0.409730639872115,0.0145113585390207,0.137979997266735,0.00431963425579543,0.450925626295736,0.157028517742485,-0.21333064458251,0.841971480913835,"Converged",-2.27917383439441,0.00361836594375372,0.409730639872115,0.014511440331146,0.137979997266722,0.00431967409623645,0.450925626295647,0.157028517744304,-0.213330644582316,0.841971480893579,"Converged","",""
"1031-7",390,-2.2778541,0.405465108108164,0.1413503,0.1,0.405465108108164,0.3897812,0.6,0.655172413793103,0.641025641025641,0.127635694232866,0.544600938967136,-2.28005941152351,0.00374199215686517,0.405921665158615,0.00442184144314777,0.137294293076406,0.0142087404312388,0.29852758055378,0.153369818021776,1.15672765158869,0.922183452164665,-2.29590752172742,0.00538037942784845,0.273069589238292,0.00550402346475411,0.209815603193043,0.0142852667786012,-2.28134689677396,0.0129561189351342,0.426085405176483,0.0141804059158888,0.118369352472579,0.0504530131158454,-2.28005941170868,0.00364247499202554,0.405921665050956,0.0139696322326528,0.137294293691523,0.0043118150117381,0.298527583796752,0.154271129643922,1.15672764236866,0.92717352212394,"Converged",-2.28005941170885,0.00364102405240089,0.405921665050817,0.0139683907205165,0.137294293691948,0.00431106581130011,0.298527583799958,0.154271129686427,1.15672764236333,0.927173522977274,"Converged","",""
"1031-8",390,-2.2778541,0.405465108108164,0.1413503,0.1,0.405465108108164,0.3897812,0.6,0.655172413793103,0.641025641025641,0.126746118861832,0.484018264840183,-2.27368250612629,0.00382601248121438,0.399171990392658,0.00447680343454125,0.114001865642697,0.0141506820881246,0.557260281990661,0.1625708305106,-0.800504995506468,1.05745101881323,-2.27072860751589,0.00517988214787849,0.265295368887474,0.00528852309834993,0.0844235401031006,0.014433626207657,-2.27302938218124,0.0124469583047646,0.397705536062748,0.0142250585269209,0.0792328703754504,0.04608629094306,-2.27368250614109,0.00377660047775602,0.399171990363063,0.013950640755984,0.11400186567021,0.0043949028204402,0.557260282452743,0.163775199446473,-0.800504996093717,1.05968450536734,"Converged",-2.27368250614109,0.00377654236768852,0.399171990363068,0.0139505793888877,0.114001865670212,0.00439486965923908,0.557260282452722,0.163775199423417,-0.80050499609374,1.05968450503807,"Converged","",""
"1031-9",390,-2.2778541,0.405465108108164,0.1413503,0.1,0.405465108108164,0.3897812,0.6,0.676470588235294,0.538461538461538,0.124842159749247,0.536796536796537,-2.28473612631279,0.00377970017723851,0.409451921691571,0.00448952379173506,0.144511278317096,0.0149172732618532,0.432398450527852,0.156300568734418,-1.72828957869827,0.943504608295697,-2.26694935449795,0.00513867804713969,0.242870234583702,0.00532388961530476,0.0385278067589366,0.0148240507338321,-2.29546632948835,0.0146963727785134,0.42199860322098,0.0148357177997711,0.144821897661579,0.0390106927527691,-2.28473612631254,0.00371140747966311,0.409451921690715,0.0147273525737196,0.144511278321489,0.0043945314373198,0.432398450533227,0.157005930629874,-1.72828957878884,0.941854574338725,"Converged",-2.2847361263124,0.00371147207146645,0.40945192169086,0.0147274295507025,0.144511278320901,0.0043945661614389,0.432398450530014,0.157005930681114,-1.7282895787777,0.941854575221081,"Converged","",""
"1031-10",390,-2.2778541,0.405465108108164,0.1413503,0.1,0.405465108108164,0.3897812,0.6,0.518518518518518,0.615384615384615,0.127262522181889,0.509174311926605,-2.27958611251876,0.00370665674144592,0.406117056136812,0.00441360774088459,0.157693939757544,0.0150159170672484,0.309055656498999,0.159735069939653,1.22232002630267,1.00472297704988,-2.28770811760156,0.00509624064840745,0.266353681168292,0.00527870002520466,0.224282942483198,0.0150452816034423,-2.27364226706132,0.0114328922520689,0.400331745924393,0.0141039562646281,0.210917781967546,0.0504363682441449,-2.27958611249865,0.00368000682872178,0.406117056127145,0.0148805082118673,0.157693939720858,0.00433595379328008,0.309055656284518,0.160627824520734,1.22232002691204,1.00857913508052,"Converged",-2.27958611249873,0.00367866961791099,0.40611705612716,0.0148792243464137,0.157693939721206,0.00433528335626907,0.309055656285696,0.160627824484061,1.22232002690525,1.00857913442646,"Converged","",""
