"N","ppv","avg_fpr","bias_beta0_gs","ese_beta0_gs","bias_beta1_gs","ese_beta1_gs","bias_beta2_gs","ese_beta2_gs","bias_eta0_gs","bias_eta1_gs","bias_beta0_n","ese_beta0_n","bias_beta1_n","ese_beta1_n","bias_beta2_n","ese_beta2_n","bias_beta0_cc","ese_beta0_cc","bias_beta1_cc","ese_beta1_cc","re_beta1_cc","bias_beta2_cc","ese_beta2_cc","bias_eta0_cc","bias_eta1_cc","bias_beta0_mle","ese_beta0_mle","ase_beta0_mle","bias_beta1_mle","ese_beta1_mle","ase_beta1_mle","cp_beta1_mle","re_beta1_mle","bias_beta2_mle","ese_beta2_mle","ase_beta2_mle","bias_eta0_mle","ese_eta0_mle","ase_eta0_mle","bias_eta1_mle","ese_eta1_mle","ase_eta1_mle"
390,0.5,0.539586638843187,5.40486202201306e-05,0.00372311150157217,-4.47445667906958e-06,0.00477479985401865,0.00027502924644294,0.0154132849599532,-0.00389317865120985,-0.00444587861995502,-0.00154286085674536,0.00588398162114126,-0.0821449140473342,0.00730035864794979,0.0104316405219536,0.0285727637713692,0.000343459583312666,0.0118049157064569,0.000170139707196995,0.015879825927222,0.0904104995681301,-0.00287484049380378,0.0576075448631728,-0.0119248811829032,0.266222006268873,1.09187590274185e-05,0.00403591645264228,0.00402036080661741,3.80178395602435e-05,0.00489565754138104,0.00473774935992832,0.945,0.951236009913651,0.000256210331415777,0.0172984977079279,0.0178344293408327,-0.00322191489734821,0.159716901786407,0.165752649713098,-0.0005066323859468,0.926615280517066,0.920952719430657
390,0.6,0.481980541559334,2.11755259114211e-06,0.00369865119335419,0.000146310295968949,0.00466137089456188,1.43206862053272e-06,0.0145427710378146,-0.0039801383826607,0.0647448264214578,-0.00153050286922379,0.0058289776288598,-0.064665681890014,0.00743315561437624,0.0103567207412086,0.0274410996708553,0.000737726830800482,0.012041673754163,-9.23550189235606e-05,0.015216167755505,0.0938462114548022,-0.00401383276748659,0.0550895715244202,-0.0333327112814112,0.8095148163954,-4.48140019479451e-05,0.00400466404111528,0.00431645573664209,0.000219491501607489,0.00471932280431887,0.00445049607010317,0.94,0.975591373653755,-0.000100250441602838,0.0161155701151781,0.0180622257113859,-0.00386908516656498,0.176238485098809,0.172456756230864,0.0766374382827164,1.01117049002336,0.969552420087861
390,0.7,0.411221221456497,5.39726639710006e-06,0.00391978108225214,0.000120611970708714,0.00475324668528836,7.14823730315651e-05,0.0152240454084173,-0.00457850951632808,0.0852423976995365,-0.00107111061690802,0.00564711137785579,-0.0481649743387321,0.00699166657552788,0.00841509682220598,0.0256736108262397,0.000350595299874055,0.0129844354022887,0.000133314921142152,0.0149462451938346,0.101138498734954,-0.00344834098979188,0.0556375195468667,-0.044341032884716,1.46922335410986,-4.33266724452549e-05,0.00415759466665538,0.00466237806680985,0.000202820801469518,0.00474150445847533,0.00430978991549905,0.927927927927928,1.00495908697056,9.97777871415564e-05,0.0167072061049844,0.0181098337777287,-0.00438659945300696,0.181193671583433,0.18778058282781,0.0929348803863829,1.0871896659318,1.06124880578047
390,0.8,0.316521827079978,0.000272431746168693,0.0041051370134068,-0.000284683333069865,0.00476805636880179,-0.000330020241144303,0.0142490457248773,-0.00586306700321848,0.155932538140145,-0.000673544372267807,0.00546773057616955,-0.0318991534524701,0.00664620066504173,0.00621586567416667,0.0225929514776409,0.000468064068106255,0.013444034101848,-0.000197736483229565,0.0148770290712534,0.102718894995294,-0.00170842760418437,0.055345116852326,-0.0196961771514241,4.45213300992519,0.000260239811373232,0.00433783870444468,0.00511004370751291,-0.000236518383588868,0.00478174758613326,0.00431808844578957,0.921450151057402,0.994281748850166,-0.000292378495918545,0.0153218950895409,0.0185360919047056,-0.00660545423181534,0.219065280896704,0.223085607850482,0.17274645367769,1.29972169320362,1.28205600917467
390,0.9,0.189934512712404,0.000228186054336354,0.00452583615897078,-0.000111558753605471,0.00502613172449775,-0.000546144981864876,0.014483588606791,-0.0218672884394371,0.330988981966118,-0.000234405378201405,0.00530063273955006,-0.0160676021984884,0.00614727878865964,0.00317057135224661,0.0188435897337469,-0.000153878205153237,0.01449817942276,0.000958513129907239,0.015769195857585,0.10158945681331,-0.000769703805265584,0.0571447542058918,1.10129919723532,118.781650996598,0.00021486124108266,0.00475113240585615,0.00546513559156614,-6.36742592166421e-05,0.00505677826302373,0.00448863874430415,0.917470525187567,0.987915755659514,-0.000592236727860245,0.0155704207318941,0.0178229392811965,-0.0232626845983974,0.280689576896884,0.306893128230372,0.381890503861661,1.83574836594801,1.81179189008021
2200,0.5,0.539785599892841,-3.4937056945299e-05,0.00146793369708101,5.4576721147328e-05,0.00203118771090362,-0.000123611465800584,0.0062262777959097,-0.00129439917693018,0.0198547389434301,-0.00170040466446501,0.0025251068167411,-0.0819122545075156,0.00310440523579977,0.0111142762781745,0.0115482481362867,-8.41261541160602e-05,0.00486208811677339,4.71101959022371e-05,0.00656211865888185,0.0958102475307289,0.000739693225367751,0.0208775610052931,-0.00765913913512407,0.0368020672273444,-5.15374605486202e-05,0.00158944444637099,0.00161231805751911,6.29967687989196e-05,0.00205548155189259,0.00202399005927887,0.94,0.976501588257302,-2.53815939035889e-05,0.00676939423692552,0.00693801190852254,-0.000869284897345357,0.067946333510151,0.0680148472000694,0.0168825872879557,0.375093807512731,0.372747781231311
2200,0.6,0.483017302855082,-8.88840696677973e-05,0.00150741522845421,2.34672215647408e-05,0.00190068510856182,0.000360928532874668,0.00619963186301525,0.000908576622886056,-0.00308421873642904,-0.00145978796385045,0.0023405631854016,-0.0648020459587398,0.00311566969783351,0.0100773681664127,0.0106088240051281,-8.7691305160406e-05,0.00480016872349452,7.8741024816105e-05,0.00617461823308881,0.0947545606431682,0.000626090097123583,0.0192406122748195,0.00472504402442366,0.0867359216669693,-9.89246276395517e-05,0.00163106058900964,0.00169354220374878,3.05380659013066e-05,0.00192681071630206,0.00195038777792409,0.956,0.973065865691718,0.000282801627049337,0.00692201660529962,0.0068980117076421,0.00109776858534003,0.0727553234733036,0.0699722230583961,0.00085576953644331,0.381255926061492,0.387811930410219
2200,0.7,0.410568607564296,2.48134722015618e-05,0.00161996860487633,-8.70280815923208e-05,0.00197386935150301,-0.000124057923610732,0.00595953724513028,0.0032186026781681,0.0102836222040138,-0.00119695340636157,0.00246026928655021,-0.0478805723437594,0.00289704528076897,0.00823535068319469,0.0109008827370415,8.84858270222427e-05,0.00530981616931071,-0.000140858112712765,0.00635709185562699,0.096409500780796,-9.79376785578269e-05,0.0197083746914701,-0.00443893915744172,0.169974644672837,3.93716332597704e-05,0.00168594972619844,0.00178641920329177,-7.71037960919885e-05,0.00199966412109177,0.00193143071957817,0.945,0.974367296143648,-0.000256209592228919,0.00644661495402326,0.00683037475219721,0.00240492101647316,0.0749199913886538,0.075628929790821,0.017932219773847,0.436056059007338,0.424408722715856
2200,0.8,0.316017133996339,-1.58672252143861e-06,0.00172171781914847,-8.97818552574983e-05,0.00194750762582171,9.74843162085645e-05,0.00604342689038345,0.00202987211120401,0.045953646034074,-0.000927012785890997,0.00222705826373731,-0.0315066779216296,0.00268972291235946,0.00651873334655553,0.00953653297705086,0.000284262755370344,0.00561852505631977,-0.000400617006760768,0.00634097928814963,0.0943290942927451,-0.000338561544286043,0.0192274417910503,-0.00446359350240439,0.326741405854479,6.86234336810665e-06,0.001831554918549,0.00189189158360071,-9.06167446214704e-05,0.00196302317636058,0.00196007642299775,0.948,0.984254659854281,-2.22299037646576e-06,0.00653635998409976,0.00671728684659055,0.00160101274357333,0.0858096800169558,0.0878414597478265,0.0554446466592962,0.522383883725331,0.502040222476277
2200,0.9,0.187502718510995,-2.2729632108915e-05,0.00184990779026927,-3.98585453294822e-05,0.00200009108559851,9.43461886755586e-05,0.00628697879693714,-0.00118337651826721,0.073281071229209,-0.00051121564307282,0.00215462863619538,-0.0156159152862335,0.00241181573493624,0.003555203275612,0.00824580373398174,0.000233555513534638,0.00578878655992519,-0.000249007813687992,0.00649416545358081,0.0948533885486052,-0.000345548651591572,0.0200113351396879,-0.0020285610621517,0.682873510619621,3.78969962987387e-06,0.0019015921701128,0.00200317071967476,-4.6615356041106e-05,0.00199810727164877,0.00203448432012005,0.959,1.0019866788829,4.94737939367086e-05,0.00654341229888721,0.00654005468532679,-0.00321908871810074,0.116195564714235,0.119470862589242,0.0866941243090868,0.71581632261958,0.693682380261999
