"N","ppv","avg_fpr","bias_beta0_gs","ese_beta0_gs","bias_beta1_gs","ese_beta1_gs","bias_beta0_n","ese_beta0_n","bias_beta1_n","ese_beta1_n","bias_beta0_cc","ese_beta0_cc","bias_beta1_cc","ese_beta1_cc","re_beta1_cc","bias_beta0_mle","ese_beta0_mle","ase_beta0_mle","bias_beta1_mle","ese_beta1_mle","ase_beta1_mle","cp_beta1_mle","re_beta1_mle","bias_eta0_mle","ese_eta0_mle","ase_eta0_mle"
390,0.5,0.333470909057314,0.000205019682030947,0.00273537931457934,-0.000334743227838315,0.00527752943229882,0.00021606555575844,0.00345810977820226,-0.0749399911979085,0.00714695025404401,0.000775709980557592,0.00888940600911701,-0.0013345349488521,0.01737278854983,0.0922831181680347,0.000208162792775751,0.00290156057380511,0.00281869636750625,-0.000325074304904192,0.00550248935840916,0.00581575327650672,0.963,0.919904843199654,-0.00573106981988543,0.155384157802069,0.159397725248576
390,0.6,0.285283961551924,3.78087053122472e-05,0.00281424131286562,0.000159405794263969,0.00505589739253658,-4.04184766244372e-05,0.00329667214783668,-0.0588621407419431,0.00692970646081868,0.000319897282958352,0.00899999027212774,0.000372968152701335,0.0156153161712647,0.104832257695631,8.17762980998855e-06,0.0028870656542467,0.00293676735268479,0.000165535626330906,0.00530471456110318,0.00524236683342417,0.952,0.908390247167539,0.00588548827912702,0.15997606870262,0.164073871473559
390,0.8,0.166840620427818,8.08104229824214e-05,0.00298485509918642,-4.48862616806094e-05,0.00464338272711579,0.000161344001187685,0.00332511224899156,-0.0294835108652452,0.0062411522110577,-0.000275865346730872,0.00986566506657195,0.000313535191874518,0.0151118658082489,0.0944132148870684,9.62439712545817e-05,0.00312637644378422,0.0031791280873523,3.31569816219931e-06,0.00469738433116939,0.00458525738019734,0.948,0.977139958613177,0.00297517472774211,0.201065225686012,0.208395167423999
390,0.9,0.0914092120790693,6.67297203709122e-05,0.00317986196361181,2.5168271372791e-05,0.00462873192146704,0.000139869829715913,0.00332665144037962,-0.0146658469154253,0.00554029458135192,0.00018869774745704,0.0102605255414211,-0.000796260473382283,0.0145590273938365,0.101078626352443,8.95956862627343e-05,0.0032342695976068,0.00330645516272673,4.21145165518577e-05,0.00472696864603628,0.0043990763082326,0.933,0.958867534318467,0.0226128131462087,0.291975903213093,0.292216168902953
2200,0.5,0.333537571826034,-2.34846843044982e-05,0.00117525931086016,-4.90390540363419e-05,0.00225434524408155,-4.9728238708193e-05,0.00147124459217462,-0.0744071129339271,0.00321294743676856,0.000201154982237351,0.00367809687189618,-0.000603148713726285,0.00700172632601042,0.103664627456598,-3.41048867591541e-05,0.0012279124664284,0.00120817862934583,-6.15600512922933e-05,0.00235571170473767,0.00234172399519713,0.945,0.915791429779968,0.0024410803743816,0.0676868762707028,0.0659052802344347
2200,0.6,0.286345542223875,-4.73853113559357e-05,0.00123780184708848,3.61410791344364e-05,0.00213899796099518,-3.28390617726889e-05,0.00147055009055177,-0.0592309438590479,0.00307264649233623,-0.000120321035517815,0.00375224670670929,4.55167097263273e-06,0.00629435018940956,0.115483234233119,-5.3957169079996e-05,0.00129432943927512,0.001250681937177,4.57287073113362e-05,0.00219230748709763,0.00217062835475996,0.948,0.951958041972639,-0.00150087309481013,0.0665054546975287,0.0674196395115473
2200,0.8,0.167031179537805,-2.35303553797654e-05,0.00132469142118781,1.82308408511995e-05,0.00201119263675265,-1.15536679538874e-05,0.00148184408449481,-0.029172058233378,0.00268994561204289,-6.55362422071204e-05,0.00406502752474066,0.000194207842236622,0.00628649379750157,0.102350591738305,-1.90250517339204e-05,0.00137307046835589,0.00134197850720695,1.56752663850693e-05,0.0020371667081069,0.00198032715655389,0.941,0.974662372698063,0.000635927561556018,0.082913839978538,0.0840186453468603
2200,0.9,0.0909921030471937,-3.05782830538438e-05,0.00135082287312026,1.10113782838745e-05,0.00191025279093568,-3.27399151986732e-05,0.00143943410999836,-0.0144447505692986,0.00231164449668883,-0.000289702859133483,0.00435926007828437,0.000523091680071785,0.0061341632910776,0.096977508080316,-3.47613032970316e-05,0.00137918326132507,0.0013872624324955,1.22341744935214e-05,0.00194789159686362,0.00193974235958568,0.95,0.961727683824149,0.00638204202075418,0.118113511808427,0.115017457653803
