"N","ppv","avg_fpr","bias_beta0_gs","ese_beta0_gs","bias_beta1_gs","ese_beta1_gs","bias_beta0_n","ese_beta0_n","bias_beta1_n","ese_beta1_n","bias_beta0_cc","ese_beta0_cc","bias_beta1_cc","ese_beta1_cc","re_beta1_cc","bias_beta0_smle","ese_beta0_smle","ase_beta0_smle","bias_beta1_smle","ese_beta1_smle","ase_beta1_smle","cp_beta1_smle","re_beta1_smle","bias_ppv_smle"
390,0.5,0.333470909057314,0.000205019682030947,0.00273537931457934,-0.000334743227838315,0.00527752943229882,0.00021606555575844,0.00345810977820226,-0.0749399911979085,0.00714695025404401,0.000775709980557592,0.00888940600911701,-0.0013345349488521,0.01737278854983,0.0922831181680347,0.000209989869646875,0.00290169341065509,0.00285169822073065,-0.000321313611066163,0.00550200774012985,0.00583040549484496,0.963,0.92006589799984,-0.00146410176269221
390,0.6,0.285283961551924,3.78087053122472e-05,0.00281424131286562,0.000159405794263969,0.00505589739253658,-4.04184766244372e-05,0.00329667214783668,-0.0588621407419431,0.00692970646081868,0.000319897282958352,0.00899999027212774,0.000372968152701335,0.0156153161712647,0.104832257695631,9.77468708287603e-06,0.0028871666784796,0.00297868534985455,0.000167983642282228,0.00530443934040217,0.0052173701414881,0.952,0.908484513222968,0.000761878766741694
390,0.8,0.166840620427818,8.08104229824214e-05,0.00298485509918642,-4.48862616806094e-05,0.00464338272711579,0.000161344001187685,0.00332511224899156,-0.0294835108652452,0.0062411522110577,-0.000275865346730872,0.00986566506657195,0.000313535191874518,0.0151118658082489,0.0944132148870684,9.76346972752734e-05,0.0031264402076852,0.00324956064367427,4.64745037575254e-06,0.0046972009102689,0.00448999716373224,0.941,0.977216272738915,-0.00146763949169399
390,0.9,0.0914092120790693,6.67297203709122e-05,0.00317986196361181,2.5168271372791e-05,0.00462873192146704,0.000139869829715913,0.00332665144037962,-0.0146658469154253,0.00554029458135192,0.00018869774745704,0.0102605255414211,-0.000796260473382283,0.0145590273938365,0.101078626352443,9.08757462980882e-05,0.00323436076940332,0.00338973988778296,4.32554007848729e-05,0.00472678631459867,0.00429555286529854,0.924,0.958941510612869,-0.00093432606871601
2200,0.5,0.333537571826034,-2.34846843044982e-05,0.00117525931086016,-4.90390540363419e-05,0.00225434524408155,-4.9728238708193e-05,0.00147124459217462,-0.0744071129339271,0.00321294743676856,0.000201154982237351,0.00367809687189618,-0.000603148713726285,0.00700172632601042,0.103664627456598,-3.23255086120216e-05,0.00122793353373411,0.0012084283084381,-5.80096886042075e-05,0.002355614087933,0.00233046060277439,0.944,0.915867332268304,0.0005750626644095
2200,0.6,0.286345542223875,-4.73853113559357e-05,0.00123780184708848,3.61410791344364e-05,0.00213899796099518,-3.28390617726889e-05,0.00147055009055177,-0.0592309438590479,0.00307264649233623,-0.000120321035517815,0.00375224670670929,4.55167097263273e-06,0.00629435018940956,0.115483234233119,-5.23092876990702e-05,0.00129435461947468,0.00125012746060718,4.82159608916814e-05,0.002192210282093,0.00215355202652873,0.947,0.952042465568485,-0.000496508121646661
2200,0.8,0.167031179537805,-2.35303553797654e-05,0.00132469142118781,1.82308408511995e-05,0.00201119263675265,-1.15536679538874e-05,0.00148184408449481,-0.029172058233378,0.00268994561204289,-6.55362422071204e-05,0.00406502752474066,0.000194207842236622,0.00628649379750157,0.102350591738305,-1.76176608198674e-05,0.00137311994543225,0.00133884661144501,1.69992473372011e-05,0.00203706767716963,0.00195232984522307,0.938,0.974757140363908,-0.000252629757926321
2200,0.9,0.0909921030471937,-3.05782830538438e-05,0.00135082287312026,1.10113782838745e-05,0.00191025279093568,-3.27399151986732e-05,0.00143943410999836,-0.0144447505692986,0.00231164449668883,-0.000289702859133483,0.00435926007828437,0.000523091680071785,0.0061341632910776,0.096977508080316,-3.35258733210293e-05,0.00137922890543935,0.00138180832137016,1.33180558534625e-05,0.0019477660038203,0.0019050605528244,0.941,0.961851713302638,5.27012313989157e-05
