"sim","N","beta0","beta1","muU","sigmaU","q","avg_prev","fpr","beta0_srs","se_beta0_srs","beta1_srs","se_beta1_srs","beta0_bcc","se_beta0_bcc","beta1_bcc","se_beta1_bcc","beta0_cc","se_beta0_cc","beta1_cc","se_beta1_cc","beta0_resid","se_beta0_resid","beta1_resid","se_beta1_resid","ppv"
"11422-11",390,-2.245641,0.1549768,-0.7,0.8,0.1,0.111394494022671,0.275092936802974,-2.2447050043018,0.00298404422471508,0.15379005956464,0.00518415283035675,-2.2444225903858,0.00301803093733473,0.154194992708675,0.00516934357747233,-2.24505243133473,0.00301189679289654,0.153851379496103,0.00520023996421077,-2.2449816510962,0.00308210242634921,0.15178173265435,0.00524112457773448,0.62051282051282
"11422-12",390,-2.245641,0.1549768,-0.7,0.8,0.1,0.111580454454138,0.338345864661654,-2.24265287626945,0.00308876275741549,0.145815079226499,0.00522083599245045,-2.24249251168386,0.00309960717604864,0.145849114544527,0.00522842379566523,-2.24261856721848,0.00305441497094625,0.145595777693123,0.00516898298478638,-2.24257838497271,0.00320339660669091,0.145534706985165,0.00540817330338944,0.579439252336449
"11422-13",390,-2.245641,0.1549768,-0.7,0.8,0.1,0.111763402847732,0.320610687022901,-2.24494124932941,0.00299271500910103,0.154926542794282,0.00510716236404218,-2.2449485963861,0.00305418502437332,0.155195985435375,0.00532245464489914,-2.2450232473107,0.00308065724349195,0.155082212520829,0.00535967131143549,-2.24494655192495,0.00312121855886961,0.154994603341589,0.00544424504130332,0.60377358490566
"11422-14",390,-2.245641,0.1549768,-0.7,0.8,0.1,0.111954805520716,0.296875,-2.24498139135702,0.00305607078596113,0.155060490202918,0.00490306832821753,-2.24470121256221,0.003126479388705,0.155277882214163,0.0050482934553279,-2.24448788107427,0.00307148048876058,0.155477191650735,0.00512043500572071,-2.24439095435387,0.00321564543526512,0.15542052972045,0.00526083282548796,0.638095238095238
"11422-15",390,-2.245641,0.1549768,-0.7,0.8,0.1,0.111521611380203,0.305970149253731,-2.24366654904752,0.00301130365490362,0.153087887348563,0.00538358073385457,-2.24312934008858,0.00301883004635895,0.152908218098127,0.00545436703468788,-2.24274195424589,0.00296526488619909,0.15378456048901,0.00543060321563778,-2.24342782463386,0.00311668146360765,0.15321669286731,0.00564107610544827,0.598039215686274
"11422-16",390,-2.245641,0.1549768,-0.7,0.8,0.1,0.111003318099747,0.314393939393939,-2.24845460290533,0.00311141336969322,0.147095894344256,0.00490172761224057,-2.24853936120676,0.00309662171659495,0.146850703842115,0.00493443989091979,-2.24808989145803,0.00312315449296394,0.147399692119065,0.00493466130390473,-2.24843864243604,0.00321206749481009,0.146783215231793,0.00498952334549428,0.602870813397129
"11422-17",390,-2.245641,0.1549768,-0.7,0.8,0.1,0.112043286640554,0.330739299610895,-2.24175736428239,0.00308750056312368,0.146784963833674,0.00511774123850774,-2.24149714040074,0.00322947191646831,0.147300030183293,0.00527627741340048,-2.24241600365502,0.00310271195974243,0.146411009711454,0.00505695419988552,-2.24194719589345,0.00328155702147907,0.146557657395222,0.00538312931696258,0.610091743119266
"11422-18",390,-2.245641,0.1549768,-0.7,0.8,0.1,0.111635387777477,0.303846153846154,-2.24710473527939,0.00303268371161632,0.152956677958449,0.00483640020107042,-2.24584210846787,0.00310888746843934,0.153519265055904,0.00487570488637562,-2.24580309891567,0.00308572724706382,0.154206560708296,0.00482093450041951,-2.24676059127177,0.00316047560814685,0.153102911351535,0.00492176947997658,0.62200956937799
"11422-19",390,-2.245641,0.1549768,-0.7,0.8,0.1,0.112138362944455,0.245901639344262,-2.25259115515481,0.00318905061330172,0.159384844999444,0.00476916880066233,-2.25252507644245,0.00326235364910404,0.159479956532535,0.00474734734190785,-2.25302630060512,0.00320178520018827,0.159129239005347,0.00462767789962833,-2.25259327850262,0.00332254253818765,0.159282143943109,0.0047573964653306,0.70873786407767
"11422-20",390,-2.245641,0.1549768,-0.7,0.8,0.1,0.111996390997519,0.30952380952381,-2.24839622253194,0.00318270339053912,0.161259707602037,0.00454473110936459,-2.24862341537176,0.00318579953754012,0.160446009864712,0.00462951239775331,-2.24870224662354,0.00316270525972481,0.161002096252533,0.0045207121815822,-2.24838942278319,0.00325622187242992,0.160975043960122,0.00463097115622798,0.638888888888889
"11422-21",390,-2.245641,0.1549768,-0.7,0.8,0.1,0.1108547666498,0.285185185185185,-2.24799101027345,0.00300990214447922,0.149338482315589,0.00519644051826087,-2.24754603868784,0.00303375577191318,0.149281184803378,0.00516619800066571,-2.24752333656288,0.00304496306645697,0.149710600250767,0.0050751934607662,-2.24797481636943,0.00315507688804532,0.149041292672934,0.00528124918760996,0.609137055837564
"11422-22",390,-2.245641,0.1549768,-0.7,0.8,0.1,0.112257038636485,0.316793893129771,-2.23911073857392,0.00305588828376192,0.152428187093106,0.00495349356727199,-2.2389765274096,0.00309761367116059,0.152677111259066,0.00492107007586519,-2.23940638524277,0.00304788025177354,0.151402460518465,0.00487052370929224,-2.23907306893437,0.00317041015497908,0.152344531859038,0.00497806897078683,0.606635071090047
"11422-23",390,-2.245641,0.1549768,-0.7,0.8,0.1,0.111702400252582,0.28030303030303,-2.24226080132834,0.00304859620694811,0.149778514796073,0.00479483314826135,-2.24242497294207,0.00307307535652975,0.149532392351304,0.00482503802201675,-2.24239403346507,0.00304685430142056,0.149445939556244,0.00473324103801227,-2.2421751780861,0.00314752516067962,0.150297383483605,0.00490696475582504,0.63
"11422-24",390,-2.245641,0.1549768,-0.7,0.8,0.1,0.111496488485823,0.329545454545455,-2.24594448611978,0.00304725013723598,0.153224612195288,0.00493614181277266,-2.24587444362836,0.00310574047425453,0.15320247261686,0.00494870581093531,-2.24572039429765,0.00303707841015368,0.153457627706821,0.00503980617903614,-2.24575280407582,0.00315552524077363,0.153181360126209,0.00506292638994154,0.591549295774648
"11422-25",390,-2.245641,0.1549768,-0.7,0.8,0.1,0.111696521313292,0.353846153846154,-2.24815061517596,0.00310105558994589,0.161477829189592,0.00475654887897699,-2.24783180253938,0.00314806687520714,0.161260076569707,0.00482005778507346,-2.24789704321413,0.00311013925912953,0.161165268744895,0.0047988971759713,-2.24827032654752,0.00318612904887046,0.160952659957397,0.00486481566503578,0.585585585585586
"11422-26",390,-2.245641,0.1549768,-0.7,0.8,0.1,0.110895947616638,0.336842105263158,-2.24463817840076,0.00285363221992332,0.15974379923496,0.00534602244601984,-2.24437189398033,0.00291570866908572,0.160127375511499,0.00536917901112576,-2.24521441804716,0.00287310941201453,0.158084383066236,0.00522906292446357,-2.24448389662245,0.00294769944048977,0.15975765662674,0.00545145186941645,0.522388059701492
"11422-27",390,-2.245641,0.1549768,-0.7,0.8,0.1,0.111790478606861,0.250936329588015,-2.24256815446491,0.00296417806426073,0.155674304067853,0.00527693520977569,-2.24230151802481,0.00299337523645534,0.157209494750962,0.00525326059491082,-2.24144491680482,0.00294613724675361,0.157828270863405,0.00532317940122988,-2.24190384236862,0.0030444256936102,0.157575456653691,0.00546964418363544,0.647368421052632
"11422-28",390,-2.245641,0.1549768,-0.7,0.8,0.1,0.112026671536751,0.272373540856031,-2.2381656172388,0.00297792792337773,0.146895296220827,0.00534217501727094,-2.23897083516566,0.00302232925129457,0.144948464050142,0.00522483778553561,-2.23872202528316,0.00298238610038808,0.145274406436324,0.00516734878648939,-2.23812327603575,0.00312904195340275,0.146467305563447,0.00565089585284907,0.655172413793103
"11422-29",390,-2.245641,0.1549768,-0.7,0.8,0.1,0.111773167527679,0.297397769516729,-2.24348947019682,0.00304663786226381,0.157151533037447,0.00486725647655106,-2.24376791487363,0.00303986218115338,0.156999992906762,0.0049763143825083,-2.24312553423844,0.00298712045084847,0.157671330652689,0.00499549880980977,-2.24355333567911,0.00313394045290926,0.157162351446828,0.00502367151644038,0.601990049751244
