"LocationID","CountyName","binX_full","binXstar","PopulationDensity","LandArea","POP","DIABETES","binX_partial"
37067002604,"E",0,1,1706.1,3.8,6441,580,0
37067002701,"E",1,1,2713.7,2.2,5864,687,1
37067002702,"E",1,1,2509.7,2.3,5675,812,1
37067002703,"E",1,1,3114.7,1.9,6039,550,1
37067002801,"E",0,0,205.2,20.6,4236,403,NA
37067002804,"E",0,1,842.9,4.9,4150,474,0
37067002806,"E",1,1,928.4,3.5,3274,498,1
37067002807,"E",0,0,443.2,11.4,5031,549,NA
37067002808,"E",0,0,463.4,7.6,3531,325,NA
37067002809,"E",0,0,275.9,8.1,2238,218,NA
37067002901,"E",0,0,320.8,14.9,4784,622,NA
37067002903,"E",0,0,795.6,4.8,3828,517,NA
37067002904,"E",0,0,153.3,14,2151,246,NA
37067003002,"E",0,0,624,6.3,3932,547,NA
37067003003,"E",0,0,528.3,6.2,3272,324,NA
37067003004,"E",0,0,1135,3.2,3618,351,NA
37067003103,"E",0,0,389.1,14.1,5468,427,NA
37067003105,"E",0,0,457.7,8,3649,376,NA
37067003106,"E",0,0,139.8,22.2,3099,289,NA
37067003107,"E",0,0,694.4,6.3,4391,426,NA
37067003108,"E",0,0,1130.1,3.1,3495,451,NA
37067003201,"E",0,1,1777,2.7,4774,516,NA
37067003202,"E",1,1,1125.5,3.5,3904,407,1
37067003307,"E",1,1,1237.9,2.8,3405,293,1
37067003308,"E",0,0,1471.1,5.4,7880,615,NA
37067003309,"E",0,1,930.8,5.3,4956,600,0
37067003310,"E",0,0,1455,2.8,4061,370,NA
37067003311,"E",0,0,880.5,2.2,1926,149,NA
37067003312,"E",0,0,336.1,8,2692,229,NA
37067003313,"E",0,0,263,5.5,1458,177,NA
37067003314,"E",0,0,736,4.3,3171,257,NA
37067003315,"E",0,1,799.7,4.3,3424,336,NA
37067003402,"E",0,0,272,8,2182,225,NA
37067003403,"E",0,0,1162.4,2.9,3412,366,NA
37067003404,"E",1,1,2182.6,1.8,3917,682,1
37067003500,"E",0,0,1020.8,6.4,6562,919,NA
37067003600,"E",1,1,941.4,6.3,5968,567,1
37067003701,"E",0,1,2328.2,2.1,4830,474,0
37067003702,"E",0,0,2132.4,2.1,4514,425,NA
37067003703,"E",0,0,1268.2,4.8,6032,447,NA
37067003803,"E",0,0,764.4,6,4567,430,NA
37067003804,"E",0,0,670.6,6.1,4100,390,NA
37067003805,"E",0,1,1998.5,2.8,5573,558,0
37067003806,"E",0,0,1064.1,2.8,3012,275,NA
37067003903,"E",0,1,3207.1,1.4,4477,475,0
37067003904,"E",0,1,1755.7,3.4,5907,509,0
37067003905,"E",0,1,3266.3,1.1,3607,303,0
37067003906,"E",0,0,2067.3,1.7,3436,303,NA
37067003908,"E",0,0,1451.6,2.1,3085,253,NA
37067003909,"E",0,1,2623.9,1.7,4356,340,0
37067004005,"E",0,1,911.4,5.2,4695,409,0
37067004007,"E",0,0,310.8,22.9,7104,583,NA
37067004009,"E",0,0,412.4,9.2,3802,320,NA
37067004010,"E",0,1,725,4.7,3392,224,0
37067004011,"E",0,0,1348.7,4.2,5645,475,NA
37067004012,"E",0,0,1543.7,3.6,5611,472,NA
37067004013,"E",1,1,1475.2,2.1,3083,287,1
37067004014,"E",1,1,1177.9,2.6,3016,290,1
37067004015,"E",0,0,547,6,3296,261,NA
37067004102,"E",0,0,215.9,15.1,3256,365,NA
