"GEOID","CountyName","binX_full","binXstar","POP_DENS","METRO","O_POP","Y_DIABETES","binX_partial"
37067002200,NA,1,1,2175.1,TRUE,3742,259,1
37067002501,NA,1,1,2395.2,TRUE,2590,190,1
37067002502,NA,0,1,1508.7,TRUE,2770,236,0
37067002601,NA,0,1,1331.2,TRUE,2481,224,0
37067002603,NA,0,1,1797.7,TRUE,6553,564,0
37067002604,NA,0,1,1706.1,TRUE,6441,580,0
37067002701,NA,1,1,2713.7,TRUE,5864,687,1
37067002702,NA,1,1,2509.7,TRUE,5675,812,1
37067002703,NA,1,1,3114.7,TRUE,6039,550,1
37067002801,NA,0,0,205.2,TRUE,4236,403,NA
37067002804,NA,0,1,842.9,TRUE,4150,474,0
37067002806,NA,1,1,928.4,TRUE,3274,498,1
37067002807,NA,0,0,443.2,TRUE,5031,549,NA
37067002808,NA,0,0,463.4,TRUE,3531,325,NA
37067002809,NA,0,0,275.9,TRUE,2238,218,NA
37067002901,NA,0,0,320.8,TRUE,4784,622,NA
37067002903,NA,0,0,795.6,TRUE,3828,517,NA
37067002904,NA,0,0,153.3,TRUE,2151,246,NA
37067003002,NA,0,0,624,TRUE,3932,547,NA
37067003003,NA,0,0,528.3,TRUE,3272,324,NA
37067003004,NA,0,0,1135,TRUE,3618,351,NA
37067003103,NA,0,0,389.1,TRUE,5468,427,NA
37067003105,NA,0,0,457.7,TRUE,3649,376,NA
37067003106,NA,0,0,139.8,TRUE,3099,289,NA
37067003107,NA,0,0,694.4,TRUE,4391,426,NA
37067003108,NA,0,0,1130.1,TRUE,3495,451,NA
37067003201,NA,0,1,1777,TRUE,4774,516,NA
37067003202,NA,1,1,1125.5,TRUE,3904,407,1
37067003307,NA,1,1,1237.9,TRUE,3405,293,1
37067003308,NA,0,0,1471.1,TRUE,7880,615,NA
37067003309,NA,0,1,930.8,TRUE,4956,600,0
37067003310,NA,0,0,1455,TRUE,4061,370,NA
37067003311,NA,0,0,880.5,TRUE,1926,149,NA
37067003312,NA,0,0,336.1,TRUE,2692,229,NA
37067003313,NA,0,0,263,TRUE,1458,177,NA
37067003314,NA,0,0,736,TRUE,3171,257,NA
37067003315,NA,0,1,799.7,TRUE,3424,336,NA
37067003402,NA,0,0,272,TRUE,2182,225,NA
37067003403,NA,0,0,1162.4,TRUE,3412,366,NA
37067003404,NA,1,1,2182.6,TRUE,3917,682,1
37067003500,NA,0,0,1020.8,TRUE,6562,919,NA
