"sim","N","beta0","beta1","muU","sigmaU","q","avg_prev","fpr","beta0_gs","se_beta0_gs","beta1_gs","se_beta1_gs","beta0_n","se_beta0_n","beta1_n","se_beta1_n","beta0_cc","se_beta0_cc","beta1_cc","se_beta1_cc","beta0_smle","se_beta0_smle","beta1_smle","se_beta1_smle"
"11422-1",390,-2.245641,0.1549768,-0.7,0.1,0.1,0.111242411982958,0.302325581395349,-2.25323257644257,0.00297406962387458,0.160430156255002,0.0048573112421953,-2.25670138597705,0.00356590555801396,0.109933919345664,0.00474327144140401,-2.26235028187865,0.00924302685821887,0.182948747400234,0.0156671334693215,-2.2530176504778,0.00174387512374669,0.163341904254192,0.00164099659972478
"11422-2",390,-2.245641,0.1549768,-0.7,0.1,0.1,0.112544072687891,0.228915662650602,-2.24356671273563,0.00301429059710027,0.155747298645053,0.00477836548677463,-2.24379996064347,0.00343340559574991,0.11372253029896,0.00468988324597093,-2.2484052985935,0.00902073071376639,0.14352298717595,0.016182670006826,-2.24233185196807,0.00174044846158268,0.158256271398624,0.00164114660625914
"11422-3",390,-2.245641,0.1549768,-0.7,0.1,0.1,0.112233002158327,0.294573643410853,-2.24227291687792,0.0029619774721715,0.154748107025384,0.00484145810497434,-2.24125598133212,0.00352407617436166,0.0992090822574809,0.00471776492915636,-2.23524077136515,0.00913175212209247,0.164170154311531,0.015573966189982,-2.24084145306664,0.00173976489301309,0.156595721148321,0.00163714565274169
"11422-4",390,-2.245641,0.1549768,-0.7,0.1,0.1,0.111292617106526,0.243346007604563,-2.24998305964696,0.00294252497497372,0.158404690852284,0.0048929562557785,-2.24800346308074,0.00337995930941767,0.104253215949655,0.00470439913648168,-2.23646977673484,0.00969184958491424,0.159644450694014,0.0148790248663829,-2.24897079558775,0.0017993648861117,0.158538098872103,0.0017059530745498
"11422-5",390,-2.245641,0.1549768,-0.7,0.1,0.1,0.110899597417272,0.265232974910394,-2.24614708858428,0.00285219863149941,0.156166722421095,0.00506104566700088,-2.24610359753337,0.00332729321468873,0.0965337144934574,0.00471227518172293,-2.23180508459619,0.00985281010140322,0.132022621781917,0.014830476547222,-2.24516617544503,0.00179885154980573,0.158535399351929,0.00169843930473849
"11422-6",390,-2.245641,0.1549768,-0.7,0.1,0.1,0.11225011010101,0.274590163934426,-2.24503198650106,0.0030494599395091,0.148055940444596,0.00476060492681804,-2.24781891106809,0.0035836759444923,0.108838637764739,0.00473415770237178,-2.24227448950375,0.00930000854316719,0.162388799471161,0.0153157574620863,-2.24481475559538,0.00175835633017171,0.148108436996713,0.00166062835561761
"11422-7",390,-2.245641,0.1549768,-0.7,0.1,0.1,0.112868370654595,0.300813008130081,-2.24080264019811,0.00302957880285595,0.153117725336772,0.0047587615198902,-2.24103041019648,0.00362390073490733,0.104066300758692,0.00474059534517837,-2.24633477140559,0.00901119738852557,0.142418605539285,0.0161224270049035,-2.24074423713449,0.00173284372412293,0.152618217222268,0.00163503592202326
"11422-8",390,-2.245641,0.1549768,-0.7,0.1,0.1,0.111337207514576,0.243542435424354,-2.24869580644292,0.00289760037890395,0.165597679501161,0.00496308580100116,-2.24905329573054,0.00333183307081575,0.110271371924983,0.00470499419825946,-2.25741910330591,0.00889776653774656,0.163953586207555,0.0165825168697227,-2.24998319732971,0.00170876680665416,0.165301465958393,0.00160675607268962
"11422-9",390,-2.245641,0.1549768,-0.7,0.1,0.1,0.111393608052582,0.218518518518519,-2.24292065568356,0.00289227525358711,0.14891989181327,0.00496183992441068,-2.24236347340237,0.00327092606304045,0.101011481377525,0.00470265128004867,-2.25987120057773,0.0095874995577351,0.157287214039694,0.0152352721252851,-2.24203010308045,0.00174881717035442,0.150733465441842,0.00163998215436241
"11422-10",390,-2.245641,0.1549768,-0.7,0.1,0.1,0.112615840295927,0.247933884297521,-2.24657481339663,0.00306270353074469,0.157788002932224,0.00474030814998669,-2.24637307639728,0.00353129785211317,0.114430285100767,0.00471135555891232,-2.25216420543229,0.00973445930844795,0.151650201517873,0.0150136697432222,-2.24697505969189,0.00183901138249867,0.157901713104891,0.00174830841166547
