"sim","N","beta0","beta1","muU","sigmaU","q","avg_prev","fpr","beta0_gs","se_beta0_gs","beta1_gs","se_beta1_gs","beta0_n","se_beta0_n","beta1_n","se_beta1_n","beta0_cc","se_beta0_cc","beta1_cc","se_beta1_cc","beta0_smle","se_beta0_smle","beta1_smle","se_beta1_smle"
"11422-1",390,-2.245641,0.1549768,-0.7,1,0.1,0.111436150939234,0.364341085271318,-2.25021166474291,0.00296956820619146,0.157101714090012,0.00486008479825263,-2.24968951901208,0.00372267043820385,0.0937097384982938,0.00480098529356081,-2.2453120347664,0.00901120108297679,0.174273903883172,0.0159855917830896,-2.25045520026032,NA,0.159093400749183,NA
"11422-2",390,-2.245641,0.1549768,-0.7,1,0.1,0.112548607618843,0.327935222672065,-2.24444315743822,0.00302988463761728,0.156058141319164,0.00476680586931117,-2.24149820507529,0.00368990980864063,0.0975585894288754,0.0047709782215007,-2.242908169469,0.00935888138445658,0.172597777102537,0.0152650550518583,-2.24375283264829,NA,0.156530260434922,NA
"11422-3",390,-2.245641,0.1549768,-0.7,1,0.1,0.111531639049245,0.332046332046332,-2.25016837435433,0.00296477478536722,0.160086835357343,0.00486038867029266,-2.24938558495929,0.00362668802284756,0.0982359660083473,0.00476054036017902,-2.2600565938293,0.0095786977090028,0.173770020810763,0.0151710154551678,-2.2499622090264,NA,0.160189424192811,NA
"11422-4",390,-2.245641,0.1549768,-0.7,1,0.1,0.111697199253436,0.342307692307692,-2.24512234045566,0.00295453417831371,0.151640697891072,0.00487144624854047,-2.24263431157383,0.00363886528657882,0.0884898493285678,0.00476470866717106,-2.23790437821457,0.00851719421841821,0.149693890317989,0.0177390289078654,-2.24422663256247,NA,0.150891720503744,NA
"11422-5",390,-2.245641,0.1549768,-0.7,1,0.1,0.112477833057622,0.334677419354839,-2.24397796360455,0.00301998962306958,0.154434500806173,0.00477533013360996,-2.24136164404356,0.00369751988222714,0.0957581888370485,0.00477463820821316,-2.23418167856437,0.0098547230860009,0.156056005248356,0.014719418248099,-2.2437934923156,NA,0.154308220720678,NA
"11422-6",390,-2.245641,0.1549768,-0.7,1,0.1,0.11080141824001,0.314393939393939,-2.25127860684937,0.002939866234899,0.15092157225813,0.00492119499977122,-2.25402840449045,0.00355752420954773,0.0984906059548148,0.00475051678409808,-2.26227802697224,0.00923317272416273,0.165142615385507,0.0157450301962158,-2.25220606504983,NA,0.149008221257038,NA
"11422-7",390,-2.245641,0.1549768,-0.7,1,0.1,0.111673117504076,0.307984790874525,-2.24482760906311,0.00293487355476426,0.153664954388494,0.0048880479417041,-2.24818110208441,0.00353213497773,0.102732698997185,0.00472639632762205,-2.24045753192839,0.00969777325397427,0.132676307264683,0.0150150865567107,-2.244836263201,NA,0.152604425248333,NA
"11422-8",390,-2.245641,0.1549768,-0.7,1,0.1,0.1105187041928,0.334507042253521,-2.24727175461252,0.00282878835141327,0.155608694555339,0.00512772882275533,-2.24921705901378,0.00347130050622277,0.0887952891717071,0.00473249006364509,-2.22686791441187,0.00863095606522094,0.169100707128495,0.0167751037864696,-2.24756496103634,NA,0.153522009209429,NA
"11422-9",390,-2.245641,0.1549768,-0.7,1,0.1,0.111251624775028,0.311594202898551,-2.24407404925721,0.00286526977378613,0.155846168554438,0.00501847536076422,-2.24725745268716,0.00345782652759068,0.0978413318131261,0.0047177731445538,-2.24856770341915,0.00857461188314286,0.164409031034044,0.017689831680244,-2.24453784372847,NA,0.156239472809248,NA
"11422-10",390,-2.245641,0.1549768,-0.7,1,0.1,0.112403740847216,0.329411764705882,-2.23994339914726,0.00297453008504849,0.149381063588091,0.00481721205901457,-2.23649976432121,0.00362511503253691,0.0889201927562736,0.00474598456480729,-2.24608572254515,0.0101586948816899,0.148934516501,0.0147714068863186,-2.239471768501,NA,0.147567248305523,NA
