"sim","N","beta0","beta1","muU","sigmaU","q","avg_prev","fpr","beta0_gs","se_beta0_gs","beta1_gs","se_beta1_gs","beta0_n","se_beta0_n","beta1_n","se_beta1_n","beta0_cc","se_beta0_cc","beta1_cc","se_beta1_cc","beta0_smle","se_beta0_smle","beta1_smle","se_beta1_smle"
"11422-25",390,-2.245641,0.1549768,-0.7,0.8,0.25,0.111329958913534,0.301470588235294,-2.24721864888261,0.00288860440069486,0.16244259797148,0.00496939142538518,-2.24634606415548,0.00345227886642702,0.0974944706336279,0.00471347052399885,-2.24531029489506,0.0055686306192041,0.165521832136574,0.0103979101665127,-2.24610162206461,0.00291663000566308,0.163033903867989,0.00497344537651983
"11422-26",390,-2.245641,0.1549768,-0.7,0.8,0.25,0.112176343251195,0.328358208955224,-2.2394418355551,0.0029012322887759,0.156943012472342,0.00492457626051706,-2.24015657200313,0.0035399159724963,0.095411359485003,0.00472438221565553,-2.24359351193454,0.00581365663284986,0.161203260117895,0.00979634141834766,-2.23895434008053,0.00286602984822424,0.155914292079982,0.00512670020070511
"11422-27",390,-2.245641,0.1549768,-0.7,0.8,0.25,0.111580942743619,0.317829457364341,-2.24614440481492,0.00296222434038678,0.149437611206056,0.00485208816844112,-2.24622808716655,0.00358884173822408,0.0948432842694596,0.00474255008300966,-2.23702514799577,0.0057861485604247,0.146696690487558,0.0097995053803201,-2.24483120169751,0.00293299458938538,0.150534907633334,0.00502704532653777
"11422-28",390,-2.245641,0.1549768,-0.7,0.8,0.25,0.111701579139099,0.241509433962264,-2.24135076579839,0.00291997145143877,0.146938459496909,0.00490898991453104,-2.24478202616967,0.0033572538043005,0.106428505341145,0.00469565440376037,-2.24243187163874,0.00586391613573207,0.152634986473443,0.00972388584075217,-2.24209802625155,0.00289900136363862,0.147878133060042,0.00497631173928288
"11422-29",390,-2.245641,0.1549768,-0.7,0.8,0.25,0.111405900212071,0.256603773584906,-2.24478143223036,0.00292601521751863,0.149044786086925,0.0049191994774922,-2.24639431670195,0.00339699974327511,0.102093565563766,0.00470820691283138,-2.23937567984665,0.00559716935268368,0.138155285925448,0.0103357838993133,-2.24382914387979,0.00287885424202157,0.150764518498316,0.00517695483050852
"11422-30",390,-2.245641,0.1549768,-0.7,0.8,0.25,0.110731137084718,0.343971631205674,-2.24571083282752,0.00283668743626348,0.154064056644847,0.00510482998629341,-2.24624690437645,0.0035035987248473,0.0850742378936184,0.00473766606551605,-2.24811228916794,0.00573784632303579,0.14279905863627,0.0100476205719322,-2.24657883771335,0.00287699172812423,0.153101090562142,0.00502149638092528
"11422-31",390,-2.245641,0.1549768,-0.7,0.8,0.25,0.112384795366842,0.2578125,-2.24555186876116,0.00297546495694975,0.164838789119501,0.00481556696643086,-2.24563324808886,0.00345273228251598,0.11362766566786,0.00469474062178861,-2.25853490646544,0.00572504324877745,0.197555427625394,0.0100169406460008,-2.24529053223263,0.00299280964283475,0.164507571265298,0.00502082795349077
"11422-32",390,-2.245641,0.1549768,-0.7,0.8,0.25,0.111160272951024,0.304182509505703,-2.25355754043986,0.0029489149820721,0.165013761929554,0.00489111957399363,-2.25617340494378,0.00353747882155438,0.109343175942246,0.00473695521575761,-2.25067523709007,0.00587757310879802,0.163126653726861,0.00975307873935418,-2.25429843330637,0.00300006267387083,0.16486233236621,0.0046664089941913
"11422-33",390,-2.245641,0.1549768,-0.7,0.8,0.25,0.11238849389153,0.225409836065574,-2.24845108813698,0.00305496147298286,0.159301382977537,0.00475761515045064,-2.24947456640641,0.00347176026566676,0.120115551814256,0.00470293286215483,-2.25013002863803,0.00621573488425244,0.168593574363257,0.00937971584587338,-2.24953582905745,0.00310674643091942,0.158563772282461,0.00447768322847019
"11422-34",390,-2.245641,0.1549768,-0.7,0.8,0.25,0.112780869616661,0.246963562753036,-2.240351231635,0.00302237481802801,0.150977282705042,0.00476390610144682,-2.24080892413363,0.00348518669850397,0.108938904019089,0.00469662233228566,-2.23842064885211,0.00628669630579561,0.152524914369153,0.00930896178140657,-2.24066785742995,0.00305659740132939,0.150269427234754,0.00454686823024497
"11422-35",390,-2.245641,0.1549768,-0.7,0.8,0.25,0.111462711860691,0.274809160305344,-2.24914037190188,0.00294721122256346,0.15910056510835,0.00488310179691994,-2.24803546165424,0.00345989589380491,0.10260661990274,0.00471390523929443,-2.24449867069025,0.0056475533239804,0.154746930379885,0.0101852388147146,-2.24824659763074,0.0029622350571578,0.160967588292279,0.00471827050791432
"11422-36",390,-2.245641,0.1549768,-0.7,0.8,0.25,0.112114368444039,0.325581395348837,-2.24365025526595,0.00296124976021422,0.155572308718735,0.00484141279424877,-2.24318092607236,0.0036048487412687,0.0971068577197305,0.00474300008400567,-2.24598389266481,0.0062138153596978,0.162038602063348,0.00938143202207434,-2.24439563263289,0.0029700987981843,0.155347643515922,0.0048502228749356
"11422-37",390,-2.245641,0.1549768,-0.7,0.8,0.25,0.112407164845263,0.25296442687747,-2.24263900352227,0.00298935182468597,0.154685437015402,0.0048060291570811,-2.23911201004694,0.00345131268082306,0.101471193978501,0.00469649597331229,-2.24806946670009,0.0060536043500307,0.165879646003461,0.00951189294471905,-2.24187626158341,0.00298843126251626,0.154213996682728,0.0047660890102586
"11422-38",390,-2.245641,0.1549768,-0.7,0.8,0.25,0.112141095108586,0.347826086956522,-2.24353720386272,0.00298988608390917,0.150582467501669,0.00481125742466661,-2.24191874207373,0.00369883451314533,0.0916529194895306,0.00477942806521356,-2.24209008733608,0.00585015189867153,0.142901268491913,0.0097769625750053,-2.24394643208324,0.00306433534742388,0.150702881010245,0.00455351833767039
"11422-39",390,-2.245641,0.1549768,-0.7,0.8,0.25,0.111854685503157,0.325490196078431,-2.24519215244935,0.00298168764633901,0.150419639832708,0.00483139373380749,-2.24557604779222,0.00363113201051641,0.0964357332262397,0.00475751976561706,-2.24457012442133,0.00609971197786008,0.157795666300037,0.00946273233304753,-2.24585944722106,0.00298744324259324,0.150307229351625,0.00488128089846895
"11422-40",390,-2.245641,0.1549768,-0.7,0.8,0.25,0.11101200278872,0.302919708029197,-2.24830020019997,0.00288160428064378,0.159500198716019,0.00499967318151089,-2.24722600249158,0.00344921836784342,0.094108451079672,0.00472052864738721,-2.24580213153958,0.00573642891107464,0.158439006287953,0.009952092039784,-2.24736221450953,0.00287133524715341,0.160091404811287,0.00516646935282844
"11422-41",390,-2.245641,0.1549768,-0.7,0.8,0.25,0.112284377631746,0.296442687747036,-2.24260357423297,0.00299315247720022,0.15159639251654,0.00481320416683212,-2.24192323352977,0.00356799309274884,0.0993435770257356,0.00473252934138924,-2.24087935034288,0.00576438135139173,0.157397917311409,0.00987334984080198,-2.2424727709818,0.00307640566667859,0.15047508155848,0.00456655196817052
"11422-42",390,-2.245641,0.1549768,-0.7,0.8,0.25,0.111523755916711,0.277566539923954,-2.24994494417466,0.00294428421660405,0.164024496964361,0.00488968152623774,-2.24995319192793,0.00346331778506717,0.107270543979583,0.00471595951230872,-2.24494232846819,0.00573369370021597,0.151063593460277,0.0100021672651727,-2.25038434505782,0.00294347102265559,0.163498819007883,0.00496174991014621
"11422-43",390,-2.245641,0.1549768,-0.7,0.8,0.25,0.112036394572133,0.330739299610895,-2.24140763134835,0.00296645715957223,0.14668000780394,0.00484187178253798,-2.24136410086759,0.00362530590935672,0.0920652258923,0.00475300912689628,-2.24469185648239,0.0061108644920288,0.154363281359225,0.00947528558769745,-2.24144040836504,0.0029730194505316,0.147726953620093,0.00484843368975443
"11422-44",390,-2.245641,0.1549768,-0.7,0.8,0.25,0.110951962410555,0.35036496350365,-2.24455268971533,0.00287592598164737,0.146750645987524,0.00501622866644306,-2.24752825747721,0.00357482592808667,0.088121421333782,0.00475365106368148,-2.25083297046205,0.00524350999742603,0.164027861013521,0.0124911593683605,-2.24457117849294,0.0029630155702067,0.14653230553319,0.00545910876863328
"11422-45",390,-2.245641,0.1549768,-0.7,0.8,0.25,0.111350697432124,0.283636363636364,-2.24436992897841,0.00286977335737155,0.158232981133967,0.00500881201536999,-2.2456990390935,0.00339400512658485,0.0996707213706692,0.00470776345671687,-2.24649270214912,0.00581296930811476,0.16808154928048,0.00978452563939578,-2.24422838820536,0.00285506254374336,0.157655514480377,0.00513851438986991
"11422-46",390,-2.245641,0.1549768,-0.7,0.8,0.25,0.111100320390621,0.333333333333333,-2.24285246275995,0.00286064687429031,0.14769769624338,0.00502969083058735,-2.24357735771322,0.00350769115721178,0.0855675440825916,0.00472956155271871,-2.24574649788988,0.00595385596251313,0.152862500831883,0.00962345249029333,-2.24377493612723,0.00284013948535834,0.147536362302078,0.00515299221657686
"11422-47",390,-2.245641,0.1549768,-0.7,0.8,0.25,0.110757600831548,0.300353356890459,-2.24394303562714,0.00282869798566044,0.150196442005147,0.00511793590054252,-2.24593784622262,0.00338675655146579,0.0903007980195075,0.00471701364846595,-2.23965040469424,0.00571409762098257,0.146930266306768,0.00998059028565096,-2.24399206992082,0.00282984400337405,0.148421467800135,0.00525064595856345
"11422-48",390,-2.245641,0.1549768,-0.7,0.8,0.25,0.111010541889497,0.376383763837638,-2.24557323295144,0.00289154954316007,0.147880520106221,0.00497747054476296,-2.24606289333797,0.00366376448878225,0.0831452901309533,0.0047806553607689,-2.24842538147485,0.00573586386521425,0.141276868199118,0.0100471800820357,-2.24647889813542,0.00290041972825171,0.146123302705949,0.00511759386721154
"11422-49",390,-2.245641,0.1549768,-0.7,0.8,0.25,0.112107005929459,0.325396825396825,-2.24392612643856,0.00299928526541367,0.149754267038586,0.00480955098023171,-2.24206555945708,0.00365021739251569,0.093298033803727,0.00476263329490424,-2.24566609163162,0.00591353464080442,0.142865371821897,0.00972699287513863,-2.24426764223462,0.00302607219079217,0.149686803285652,0.00465289813750032
"11422-50",390,-2.245641,0.1549768,-0.7,0.8,0.25,0.110902492978865,0.347826086956522,-2.24589369882141,0.00286598742174159,0.151964966856585,0.00503252618776705,-2.24544682095212,0.00354806171372418,0.0844827913017145,0.00474495682949217,-2.25016855715285,0.0055121713002216,0.148646962789344,0.0107591439699226,-2.24620551176388,0.00289441741361568,0.15363439616789,0.00509343565566643
"11422-51",390,-2.245641,0.1549768,-0.7,0.8,0.25,0.111668523680654,0.318181818181818,-2.24562428898477,0.00293055991865351,0.156756046259414,0.00489813744192639,-2.25035396189849,0.0035591457773583,0.105237648657249,0.00473618675364667,-2.25026591342592,0.0057856631031882,0.168685780631868,0.00989248383625624,-2.24683271048562,0.00298343982970667,0.155526215737062,0.00484053381649757
"11422-52",390,-2.245641,0.1549768,-0.7,0.8,0.25,0.112772045505401,0.350806451612903,-2.24565899912831,0.00302588718945004,0.16491673105456,0.00476222844564821,-2.24417061054253,0.00375457112140699,0.103025828021246,0.00479656948977646,-2.24568927532127,0.00590137007782833,0.155566501242729,0.0096554192838734,-2.24485316160804,0.00305769006890335,0.164979193608075,0.00456310203652283
"11422-53",390,-2.245641,0.1549768,-0.7,0.8,0.25,0.111931067161765,0.274809160305344,-2.24522439781042,0.00294074318272724,0.15982037399355,0.00487092552250836,-2.24893026936187,0.00345886105831907,0.112112833870733,0.00470418484674691,-2.24512833043507,0.00549740787477495,0.179673030730908,0.0105992176275455,-2.24459177329144,0.00302455299763793,0.158698658521748,0.00480687277472377
"11422-54",390,-2.245641,0.1549768,-0.7,0.8,0.25,0.110979106524929,0.286764705882353,-2.24580381416976,0.00288956913660153,0.148817008642406,0.0049912950644631,-2.24272293088652,0.00341705053764285,0.0863576323601313,0.0047179039275541,-2.2376663659357,0.0057948839362674,0.139443534579534,0.00983483234285428,-2.24541418342154,0.00291006793548889,0.14850192891421,0.00494142226391616
"11422-55",390,-2.245641,0.1549768,-0.7,0.8,0.25,0.111732170958762,0.314176245210728,-2.24665384591483,0.00295153437963389,0.157813877848248,0.00487470234950174,-2.24199497348773,0.00355424187225686,0.0912186719536062,0.00473600542285071,-2.25466793337241,0.00628433730602195,0.175593133615636,0.00935849150324727,-2.24575579559586,0.00293505621624628,0.157959804734508,0.00496390542641928
