"sim","N","beta0","beta1","muU","sigmaU","q","avg_prev","fpr","beta0_gs","se_beta0_gs","beta1_gs","se_beta1_gs","beta0_n","se_beta0_n","beta1_n","se_beta1_n","beta0_cc","se_beta0_cc","beta1_cc","se_beta1_cc","beta0_smle","se_beta0_smle","beta1_smle","se_beta1_smle"
"11422-178",390,-2.245641,0.1549768,-0.7,0.8,0.5,0.111172255472229,0.3,-2.24840607594262,0.00290403254179043,0.159201332672495,0.00496049517910683,-2.24768667036106,0.00346923188181336,0.0967743392585184,0.00472343776141042,-2.24697590781946,0.0041957583506489,0.159101664121832,0.0068525493531535,-2.24835318871474,0.0028317494296716,0.15911655235048,0.0049360967746971
"11422-179",390,-2.245641,0.1549768,-0.7,0.8,0.5,0.111841242414352,0.309433962264151,-2.24186009876585,0.00291954845047702,0.151686647744037,0.00490649357793632,-2.2409240354361,0.00351171178492351,0.0925730096631624,0.00472000434905689,-2.2416277978218,0.00410252986308196,0.15414607150347,0.00697339617941539,-2.24114717876852,0.00286630445538745,0.154478631614592,0.00473054075456119
"11422-180",390,-2.245641,0.1549768,-0.7,0.8,0.5,0.111070468114471,0.300380228136882,-2.24978630793111,0.00294169721487956,0.152408999809215,0.0049050021796457,-2.24947688884375,0.00351907546971029,0.0959457299842642,0.00473411028907861,-2.25181527096007,0.00420364673794572,0.153103882567295,0.0068776459800289,-2.25001456086485,0.00287308595373851,0.151898838453376,0.00488598933895345
"11422-181",390,-2.245641,0.1549768,-0.7,0.8,0.5,0.111573502877521,0.329545454545455,-2.24681888112654,0.00293361005920006,0.157645419822402,0.00489935782502301,-2.24692885016427,0.00358162940816783,0.0964857246185337,0.0047454235935406,-2.24635262634495,0.00419756861062987,0.157756649394228,0.00685403555588503,-2.24741710791901,0.00287757962142927,0.157266240016232,0.00485216586854304
"11422-182",390,-2.245641,0.1549768,-0.7,0.8,0.5,0.11202984454155,0.346456692913386,-2.24862016848502,0.00299272372836381,0.162348267346684,0.00481182642248555,-2.24747037298107,0.00370088656037424,0.0997750076347537,0.00478166417564474,-2.24743196817383,0.00417810572923635,0.161775568657616,0.00686867199570578,-2.24764973794467,0.00294114845958194,0.163504824104791,0.00472127136291401
"11422-183",390,-2.245641,0.1549768,-0.7,0.8,0.5,0.111319887531581,0.280898876404494,-2.24561933091182,0.00291752240460977,0.151410189891799,0.00493556395330648,-2.24507138737989,0.0034390456239798,0.095788467645822,0.00471597041913355,-2.24259525846674,0.00397006624839073,0.149737449016231,0.00734733460916472,-2.24492725067874,0.00286741392906838,0.151303656250918,0.00485213847995319
"11422-184",390,-2.245641,0.1549768,-0.7,0.8,0.5,0.111954011048404,0.231372549019608,-2.24411189690199,0.00297909296203103,0.150025599841949,0.00482584493641759,-2.24524963909818,0.00340084736691812,0.108878764911799,0.00469327519314089,-2.24463630343172,0.00422335581643044,0.149148356817117,0.00681385158949511,-2.24406277642134,0.00290447275433861,0.150548750362245,0.00475391924041823
"11422-185",390,-2.245641,0.1549768,-0.7,0.8,0.5,0.110946886204036,0.313868613138686,-2.25200056565495,0.00288457575577024,0.16887117938465,0.00499727168400151,-2.25203169929922,0.00348338901154941,0.100311814432003,0.00472828189862511,-2.25363477510234,0.0040382683751911,0.168577015915566,0.00717688698754138,-2.25168890356961,0.00286185892136417,0.172155005804272,0.00490439361521833
"11422-186",390,-2.245641,0.1549768,-0.7,0.8,0.5,0.111500643062599,0.312727272727273,-2.24249754674979,0.00286799097087068,0.156745010974039,0.00500462020561603,-2.24332730686088,0.00346153344324546,0.094161534737494,0.00471501894977573,-2.24362034460676,0.00409495647548615,0.158407853220339,0.00699923578047316,-2.2419666869264,0.00283209832724924,0.157065585825124,0.00486429053790769
"11422-187",390,-2.245641,0.1549768,-0.7,0.8,0.5,0.111375171489087,0.275092936802974,-2.24842011992102,0.00290841412011443,0.163362289047031,0.00494561626583498,-2.25079009140629,0.0034195469529542,0.108929301886165,0.00471142620794221,-2.24972097898392,0.00397964353011033,0.157682585127115,0.00734884185611189,-2.24854601082582,0.00285570676417859,0.162382010670856,0.00486243094955767
"11422-188",390,-2.245641,0.1549768,-0.7,0.8,0.5,0.110662572503556,0.355072463768116,-2.24636207481179,0.00286840348085836,0.146603852763484,0.00503853767484037,-2.24622402178752,0.00357163238208076,0.0813382144227886,0.00475560676891474,-2.24912234557643,0.00418139093254301,0.151065695191452,0.00689500698729916,-2.24642733634289,0.00278716350316407,0.146384500816556,0.00505236568210465
"11422-189",390,-2.245641,0.1549768,-0.7,0.8,0.5,0.112317588574194,0.28740157480315,-2.24364710517463,0.00298723074328013,0.155941984871295,0.00481434269054317,-2.24301870589286,0.00353612993198896,0.103157379099399,0.00472066425460749,-2.24091089992794,0.0043799856585262,0.156197746081348,0.0066531115057577,-2.24289260483284,0.0028935971412103,0.156477775091896,0.00472825091511256
"11422-190",390,-2.245641,0.1549768,-0.7,0.8,0.5,0.111988162670876,0.295275590551181,-2.24773016037703,0.00299137082903412,0.159005480534653,0.00481953181816675,-2.24730347330384,0.00356158268975291,0.104571925111245,0.00473268944769081,-2.24662634865808,0.00424357683697022,0.158321221055662,0.00679000232671745,-2.24709419739262,0.00294638529487913,0.160328784118116,0.0047340065164302
"11422-191",390,-2.245641,0.1549768,-0.7,0.8,0.5,0.111422488345827,0.293233082706767,-2.24632344199684,0.00292210283585082,0.154913219159303,0.00492051150754463,-2.24406105938962,0.00347192839888715,0.0937630156954524,0.00471830045251896,-2.24494390906812,0.00413018570586157,0.153186398232559,0.00695994378088032,-2.24602286014009,0.0028808151605683,0.154084288789276,0.0047660688115045
"11422-192",390,-2.245641,0.1549768,-0.7,0.8,0.5,0.111555258111604,0.333333333333333,-2.24599080418436,0.00294960765662681,0.15166624152293,0.00488205864870027,-2.24729942494061,0.00361623900020061,0.0955078592923186,0.00475839172165351,-2.24929500239742,0.00414217946223511,0.154223226409535,0.00697650058603619,-2.24624664539232,0.0029145387538456,0.151309657336267,0.00467863732850499
"11422-193",390,-2.245641,0.1549768,-0.7,0.8,0.5,0.112213335356487,0.328125,-2.24285000516699,0.00297278126021983,0.153579546675398,0.00482939302852455,-2.24690834944602,0.00363453638865697,0.104082912220108,0.00475400109872396,-2.24465706045914,0.00411275260175978,0.164284324494932,0.00696385910913001,-2.24098602716423,0.0028680672180075,0.154797582834862,0.00485686621914835
