"sim","N","beta0","beta1","muU","sigmaU","q","access","avg_prev","fpr","beta0_gs","se_beta0_gs","beta1_gs","se_beta1_gs","beta0_n","se_beta0_n","beta1_n","se_beta1_n","beta0_cc","se_beta0_cc","beta1_cc","se_beta1_cc","beta0_smle","se_beta0_smle","beta1_smle","se_beta1_smle","ppv_smle","msg"
"11422-240",2200,-2.245641,0.1549768,-0.7,0.8,0.1,0.5,0.108982025441314,0.299835255354201,-2.24422964700703,0.00111546891714388,0.150871083541661,0.00252667192651532,-2.24366030134039,0.00133252298934045,0.0633189827233133,0.00201844960743551,-2.2391992565631,0.00354144720942828,0.145427518611081,0.00782176233809842,-2.24381136763339,0.00113458112491252,0.151893468833344,0.00283422368427844,0.400462312666633,""
"11422-241",2200,-2.245641,0.1549768,-0.7,0.8,0.1,0.5,0.108871239715445,0.300718629076838,-2.24702946335449,0.0011202939855124,0.155382201236797,0.00249527974565366,-2.24721141526005,0.00133975528945388,0.0683547041445826,0.00201581052819246,-2.24423903846261,0.00354458287722588,0.144158170343248,0.00785243120089665,-2.2468859303988,0.00114494856590282,0.154998766785857,0.00272401188845873,0.417242123871699,""
"11422-242",2200,-2.245641,0.1549768,-0.7,0.8,0.1,0.5,0.10902565826609,0.29608938547486,-2.24798173555954,0.00112672320031904,0.159891189777853,0.00244897960507347,-2.24825464467579,0.00134340865179368,0.0734373148834954,0.00201278716702559,-2.24678045685321,0.00357970107790055,0.158004652910215,0.00761280903059363,-2.24774123390408,0.00114757513560211,0.160110514885205,0.00266905462142705,0.432119044068255,""
"11422-243",2200,-2.245641,0.1549768,-0.7,0.8,0.1,0.5,0.108920828674943,0.300498063087991,-2.24671969345597,0.00112108858480682,0.15538935193795,0.00249047390924735,-2.24669772370222,0.00134048818361931,0.0681594651499257,0.00201562604098648,-2.24603902277344,0.00353138625602976,0.151645780322296,0.00799410461323178,-2.24646180560992,0.00114014381853588,0.15569914392439,0.00274027083648736,0.415295074261944,""
"11422-244",2200,-2.245641,0.1549768,-0.7,0.8,0.1,0.5,0.109012871888444,0.316749585406302,-2.24630239103935,0.00112028768204949,0.158189791834684,0.00249189381720447,-2.24647326415814,0.00135535909539948,0.0676096253187422,0.0020095735379471,-2.24378367100016,0.00354703510078898,0.152849439982553,0.00780189851151318,-2.24620002447071,0.0011427033418048,0.15841161332517,0.00276624596896408,0.403611297442922,""
"11422-245",2200,-2.245641,0.1549768,-0.7,0.8,0.1,0.5,0.109058350217962,0.318356164383562,-2.24426188830152,0.00111388795851424,0.155978002182504,0.00253151511120991,-2.24365783363269,0.00134887638344917,0.0627454278759282,0.00201056294876178,-2.24720517895705,0.00350235181731793,0.14742856926525,0.00827131345691235,-2.2439439756201,0.00113272722631215,0.156687761975982,0.00277668557410917,0.385915604212916,""
"11422-246",2200,-2.245641,0.1549768,-0.7,0.8,0.1,0.5,0.108724789334963,0.306644880174292,-2.24577028992306,0.00111154929576971,0.152173129853258,0.00256778775326602,-2.24610347034248,0.0013352737337364,0.0632475431250088,0.00202017140366549,-2.24823750712275,0.00342238922543893,0.161818215011249,0.00926864027909032,-2.24571271857549,0.00113851103542149,0.151947016386717,0.00287208330443226,0.392392480359638,""
"11422-247",2200,-2.245641,0.1549768,-0.7,0.8,0.1,0.5,0.108943627409528,0.288937809576225,-2.2452785654003,0.00111686918139812,0.152892909994004,0.00251675814786464,-2.24550604981576,0.00132464576982997,0.0678328468177114,0.00202216695493811,-2.24489586026974,0.0034972718271333,0.153506481276352,0.00823287739788059,-2.24518998353734,0.00113785691708672,0.152906724569319,0.00277873696163698,0.420489125576758,""
"11422-248",2200,-2.245641,0.1549768,-0.7,0.8,0.1,0.5,0.109149183679718,0.30952380952381,-2.24446403891859,0.00112009021811406,0.154193233001173,0.00248724125892807,-2.24385942623463,0.00134754085817198,0.0652898879349182,0.00201056476582714,-2.24639056437044,0.00358524195028891,0.164376630850577,0.00759267861739166,-2.24436999637386,0.00114676785709109,0.153573839628268,0.00270776201013279,0.413925383729883,""
"11422-249",2200,-2.245641,0.1549768,-0.7,0.8,0.1,0.5,0.108949786159023,0.307522123893805,-2.24549685899926,0.00111984154120541,0.150996686848161,0.00249666851113169,-2.2446195105023,0.00134506765535117,0.0632219517564304,0.00201339210818676,-2.24650183452359,0.00359347269142474,0.132011052670585,0.00762290830151219,-2.24526582476405,0.00113930933344872,0.150226631681833,0.00280176317542735,0.412365936067102,""
"11422-250",2200,-2.245641,0.1549768,-0.7,0.8,0.1,0.5,0.1090474283504,0.29060773480663,-2.24491299030631,0.00111908956904072,0.153249701542813,0.00249807686682666,-2.24620130391145,0.00132964337565434,0.0710840996514772,0.00201880287016933,-2.24872615952343,0.00356576955673659,0.155066116764575,0.00776718795081875,-2.2456272884691,0.00115152955613225,0.152136053633865,0.00268053129669551,0.439795816696401,""
"11422-251",2200,-2.245641,0.1549768,-0.7,0.8,0.1,0.5,0.108739432854066,0.301098901098901,-2.24723995671198,0.00111682954636361,0.154330928028985,0.00252355728063393,-2.24723675358111,0.00133592304011333,0.0660806294782876,0.00201858584442464,-2.25154936066467,0.00363701239731215,0.155299182696918,0.00732851379245625,-2.24705184226978,0.0011348184307961,0.154274710783536,0.0028228684719479,0.406963831816955,""
"11422-252",2200,-2.245641,0.1549768,-0.7,0.8,0.1,0.5,0.108913517851942,0.302043070127002,-2.24669875926638,0.00111957064596526,0.156497463865681,0.00249973796739716,-2.24633691753521,0.00134011503145792,0.0671452152145861,0.00201558139221441,-2.24984278549277,0.00359558618526221,0.15852200693023,0.00756225901952103,-2.24624758578205,0.00113911440379505,0.158154505289879,0.00276489302095761,0.404421841443637,""
"11422-253",2200,-2.245641,0.1549768,-0.7,0.8,0.1,0.5,0.108954805396701,0.298882681564246,-2.24769643886021,0.00112701868012416,0.15540929978944,0.00245294761063603,-2.24731227521901,0.00134570082457589,0.0695550709189349,0.00201352224012529,-2.2389691942436,0.00357192874629681,0.139864622961693,0.00765113818898235,-2.24801770677617,0.00115614895644661,0.154065136725471,0.00262727261716031,0.442644100860967,""
