"sim","N","beta0","beta1","muU","sigmaU","q","access","avg_prev","fpr","beta0_gs","se_beta0_gs","beta1_gs","se_beta1_gs","beta0_n","se_beta0_n","beta1_n","se_beta1_n","beta0_cc","se_beta0_cc","beta1_cc","se_beta1_cc","beta0_smle","se_beta0_smle","beta1_smle","se_beta1_smle","ppv_smle","msg"
"11422-215",2200,-2.245641,0.1549768,-0.7,0.8,0.1,5,0.121063882311028,0.291666666666667,-2.24525186996039,0.00269344102109973,0.154292324708011,0.00287822358693796,-2.24472365179461,0.0031993475084589,0.147104819069555,0.00335029924045613,-2.24430784733312,0.00913099025111419,0.15600650529367,0.00966521339889602,-2.24550391629254,0.00285564495016634,0.154313066233147,0.00269576857400327,0.955797677799462,""
"11422-216",2200,-2.245641,0.1549768,-0.7,0.8,0.1,5,0.121139740697864,0.276094276094276,-2.24489974239349,0.00276098718584895,0.153472015226722,0.00294015983248493,-2.24318176239174,0.00324302806905587,0.145685944336451,0.00339151772593455,-2.25007535241577,0.00857681887546055,0.161817008313463,0.00915510882024111,-2.24342352942608,0.00284046507405093,0.1520977157668,0.00264818233847059,0.956619230410331,""
"11422-217",2200,-2.245641,0.1549768,-0.7,0.8,0.1,5,0.121095686675454,0.311258278145695,-2.25177074913751,0.00274840345300421,0.161238249441674,0.00292864112882434,-2.24857254969773,0.00330694548071496,0.150694990720376,0.00345224019143817,-2.26319111054844,0.00907442295062212,0.170406374024053,0.00961705534532015,-2.25064825875347,0.00289631635855039,0.160556794583068,0.00275484422792334,0.949025010479117,""
"11422-218",2200,-2.245641,0.1549768,-0.7,0.8,0.1,5,0.121187047195502,0.29553264604811,-2.24744042921068,0.00279277246694167,0.156331025597501,0.0029696144469315,-2.24885711535798,0.00333262908714309,0.151577169260791,0.00347667821445938,-2.23600469649878,0.00769891461746051,0.137023916896158,0.00837013371113371,-2.24712568992558,0.0029233334103258,0.156295002354698,0.00278301547569851,0.954737553649844,""
"11422-219",2200,-2.245641,0.1549768,-0.7,0.8,0.1,5,0.121149736905939,0.302405498281787,-2.24977444422155,0.00279675633757174,0.158626213587292,0.00297328617054975,-2.25042450789661,0.00334852850386643,0.152850549640118,0.0034917953282385,-2.2470691307146,0.00817833339193085,0.161820537882442,0.00879026784681917,-2.25065236259859,0.00300292974891737,0.15936631577572,0.0028638898022139,0.957581499612951,""
"11422-220",2200,-2.245641,0.1549768,-0.7,0.8,0.1,5,0.120810118449942,0.352380952380952,-2.24907122146958,0.0026863472279069,0.156501583714284,0.00287212067462722,-2.24899532612467,0.00333821363867806,0.148317837661929,0.00348234297483879,-2.26408179860032,0.00957255406847975,0.170133730277671,0.0100814774683706,-2.24862127094182,0.0028627003897824,0.156048057529118,0.00271544822824173,0.943991407801689,""
"11422-221",2200,-2.245641,0.1549768,-0.7,0.8,0.1,5,0.120997253535013,0.291803278688525,-2.25090434455256,0.0027349359068443,0.159561045667781,0.00291629994605391,-2.25194547623309,0.00325031744798773,0.154082296903115,0.00339853861709607,-2.25134183834931,0.00855200460280703,0.157491043078955,0.00913510825940812,-2.25063239306007,0.00283765795147457,0.159419214288843,0.00270971800686589,0.954120292079237,""
"11422-222",2200,-2.245641,0.1549768,-0.7,0.8,0.1,5,0.121006322610738,0.325732899022801,-2.24519473386898,0.00271872580094318,0.153318313976246,0.00290140626213799,-2.24624651504684,0.00331236509134074,0.147320095053537,0.00345744589647163,-2.24299016064548,0.00898896589929293,0.151797711823372,0.00953544994447612,-2.24562274510735,0.00286703798263986,0.153779485186832,0.002730430217505,0.950032922701147,""
"11422-223",2200,-2.245641,0.1549768,-0.7,0.8,0.1,5,0.121106340885601,0.326797385620915,-2.24567480433464,0.00272432972636835,0.154731341267798,0.0029065088951065,-2.24503005049232,0.00331892636128573,0.146826425751716,0.00346364508314336,-2.25879393075587,0.0092367142736642,0.165534882289739,0.00976757199173668,-2.24517311521555,0.00291442251031433,0.153918513460374,0.00277742363667868,0.951468859848631,""
"11422-224",2200,-2.245641,0.1549768,-0.7,0.8,0.1,5,0.121210693245944,0.302721088435374,-2.24980120753171,0.00278297829452647,0.159461671662591,0.00296045646823011,-2.24936146474538,0.00333065040596685,0.152393219017073,0.00347471155571183,-2.25687056486527,0.00778239442298238,0.166843152659113,0.00843989082288414,-2.25099228616366,0.00297328080656956,0.160698926455823,0.00288589687900243,0.956145843164949,""
"11422-225",2200,-2.245641,0.1549768,-0.7,0.8,0.1,5,0.121224539172396,0.331058020477816,-2.24510123494107,0.00278185822933555,0.154217187331315,0.0029592406297045,-2.24525027324626,0.00339998290395355,0.147454047918775,0.00354059343594401,-2.23131993283877,0.00895214624802776,0.138704366301794,0.00950139628460877,-2.2452128211909,0.00291677976129171,0.154154976485374,0.00273634002831556,0.952874534817681,""
"11422-226",2200,-2.245641,0.1549768,-0.7,0.8,0.1,5,0.121212758307245,0.283870967741935,-2.24661607804602,0.00270589593320252,0.157133490729667,0.00288938621770908,-2.24485518296889,0.00319377886506707,0.148719099548797,0.00334482063489313,-2.22689607830995,0.00923514017258629,0.137910526975261,0.00976179856553098,-2.24524908999159,0.00283063791555756,0.155664314554494,0.00274704871661082,0.954906651280454,""
"11422-227",2200,-2.245641,0.1549768,-0.7,0.8,0.1,5,0.121316839304868,0.268041237113402,-2.24153949083026,0.0027853849272919,0.150904359071787,0.00296241311369178,-2.24279086908976,0.00325725923455198,0.146759467430972,0.00340479309473854,-2.23891634375306,0.0105892741414371,0.144099129169273,0.0110404132318467,-2.24355032766731,0.00285604643669856,0.15252332109467,0.00269835944280618,0.965174268611695,""
"11422-228",2200,-2.245641,0.1549768,-0.7,0.8,0.1,5,0.121331108377072,0.315985130111524,-2.25092059847373,0.00290949716173655,0.159924398442009,0.00307762597562549,-2.25291448637241,0.00351881439633526,0.155833380462598,0.00365406216527057,-2.24496178792064,0.0089791765700162,0.155603629256208,0.00952599629256733,-2.25168649794699,0.00310200831300569,0.160556896434446,0.00296233844434719,0.959332673950798,""
