"sim","N","beta0","beta1","beta2","q","eta0","eta1","ppv","queried_ppv","avg_prev","fpr","beta0_gs","se_beta0_gs","beta1_gs","se_beta1_gs","beta2_gs","se_beta2_gs","eta0_gs","se_eta0_gs","eta1_gs","se_eta1_gs","beta0_n","se_beta0_n","beta1_n","se_beta1_n","beta2_n","se_beta2_n","beta0_cc","se_beta0_cc","beta1_cc","se_beta1_cc","beta2_cc","se_beta2_cc","eta0_cc","se_eta0_cc","eta1_cc","se_eta1_cc","beta0_mle","se_beta0_mle","beta1_mle","se_beta2_mle","beta2_mle","se_beta1_mle","eta0_mle","se_eta0_mle","eta1_mle","se_eta1_mle","mle_msg","sim_msg"
"1031-1",2200,-2.2778541,0.182321556793955,0.1413503,0.1,0.405465108108164,0.3897812,0.6,0.701219512195122,0.113508275032462,0.501216545012166,-2.27711983946219,0.00161899647314246,0.180372045410713,0.00196967193558723,0.147960289905515,0.0064164143343101,0.499217379512159,0.0664977285536858,-0.466353648494066,0.378018475811681,-2.27673537670285,0.00216659376603923,0.11528485871803,0.00225572148604331,0.135957765730863,0.00642917540477937,-2.28124628047801,0.00534112148451881,0.182359193984757,0.00622282721830256,0.150433747918454,0.0207247030430829,0.850005318220357,0.222728662920115,0.0284137384234472,1.31088297854744,-2.27733264820421,0.00176008866508186,0.180253481961392,0.00708298672601529,0.144322731014725,0.00194810877137721,0.505504215394622,0.0705333842026619,-0.314663723613997,0.394575459432043,"Converged",""
"1031-2",2200,-2.2778541,0.182321556793955,0.1413503,0.1,0.405465108108164,0.3897812,0.6,0.623529411764706,0.112970848999358,0.50354609929078,-2.27995216719875,0.00156799349712443,0.182124059432745,0.00197023117134657,0.154360371932479,0.006562646695063,0.313963952440626,0.065435979535353,0.580936538098482,0.381770114346416,-2.28044850397212,0.00211833477302201,0.110191587588095,0.00223381985958968,0.169637631911122,0.00656959973776047,-2.28165426299356,0.00500425816828388,0.191558722422596,0.0061956568597241,0.145202480005973,0.0156592139988048,0.529102745057574,0.18420436994843,-0.213337549758759,0.812573318072467,-2.27948784398736,0.00169371049872128,0.182072949648296,0.00710999547560581,0.152607409319612,0.00195062069658094,0.300888972641833,0.0684870501641643,0.63542921848813,0.396510743347726,"Converged",""
"1031-3",2200,-2.2778541,0.182321556793955,0.1413503,0.1,0.405465108108164,0.3897812,0.6,0.578616352201258,0.113301386083073,0.497572815533981,-2.27583767263303,0.0015656650159146,0.179638812343596,0.00196541051662128,0.129966136522888,0.00611121025975533,0.423797462641278,0.065072284623076,0.23546581572169,0.365443494924854,-2.27692542634989,0.00210995813656355,0.113963428624036,0.00224290237250048,0.135679646406747,0.0061159113501055,-2.27465834031313,0.00484393543205694,0.184127162598634,0.00622604108217741,0.144467928278374,0.0217151426820761,0.214053189661783,0.20415698854784,0.975255258733082,1.2129500643613,-2.27528980526981,0.00168799719760826,0.179437630515294,0.00665375646423736,0.12829643820431,0.00194356665247803,0.408877052339106,0.0685398550469122,0.297985137563788,0.380495337551354,"Converged",""
"1031-4",2200,-2.2778541,0.182321556793955,0.1413503,0.1,0.405465108108164,0.3897812,0.6,0.598684210526316,0.113445251976502,0.460420032310178,-2.27875939819719,0.00159365929380302,0.184751343909411,0.001967498904099,0.145412535094169,0.00630329164587462,0.543533201644102,0.0667590914740402,-0.185353791232054,0.373470536492778,-2.28039904847016,0.00207193241881759,0.122798144618683,0.00219690809595959,0.1418110407774,0.00632581172279433,-2.28009893694698,0.00498841279187726,0.194229996557147,0.00626660472686599,0.150432572151201,0.0156331551144001,0.50387767567766,0.203056299174177,-0.809562966259908,0.904455322862992,-2.27932380175121,0.00172191112782927,0.184891199083269,0.00690092723533904,0.144450681382288,0.00193836855400546,0.558282784032231,0.0700796175644809,-0.137337302500473,0.384284147827211,"Converged",""
"1031-5",2200,-2.2778541,0.182321556793955,0.1413503,0.1,0.405465108108164,0.3897812,0.6,0.636363636363636,0.113479294374696,0.461476074614761,-2.27926797940564,0.00156256718226962,0.184158456188292,0.00196278162427691,0.143469829084043,0.00588396439617093,0.458781579659882,0.0667745390261787,0.623564303606561,0.362506718756579,-2.28361460314387,0.00204870439500466,0.12289955501525,0.00219586615280647,0.160376333775931,0.00589670670084657,-2.27750203584459,0.00518101808952668,0.182807505729689,0.00619997510828918,0.122571559559935,0.0226741760096502,0.43071612485352,0.214369822246769,1.15261031631657,1.29026447545571,-2.27939576423257,0.00166274965043413,0.18406740399791,0.00640926641961449,0.141452134177133,0.00193985234396826,0.462238352391883,0.0699825275855459,0.718545431386888,0.379654560463,"Converged",""
"1031-6",2200,-2.2778541,0.182321556793955,0.1413503,0.1,0.405465108108164,0.3897812,0.6,0.57516339869281,0.112977603403579,0.501582278481013,-2.28085015080839,0.00158226265486056,0.183304287639667,0.0019698486334596,0.151193736467742,0.00653879618432607,0.350433574632118,0.0665520194483774,0.353287959681344,0.383573504301181,-2.2814035249801,0.0021246429813537,0.112611406259509,0.00223517281635223,0.160149354138049,0.0065498186965035,-2.28704207321207,0.00504766890854643,0.185688700477642,0.00629236340318404,0.157207184012905,0.0205518918105899,0.229869129676327,0.215036025186254,0.671993127882855,1.29457348997245,-2.2810681977931,0.00172133208399986,0.182995355955967,0.00721768130155431,0.15203179755941,0.00194290695788374,0.362860532182771,0.0699390550236544,0.31667750433525,0.398194962651733,"Converged",""
"1031-7",2200,-2.2778541,0.182321556793955,0.1413503,0.1,0.405465108108164,0.3897812,0.6,0.635761589403974,0.112903922734249,0.47704280155642,-2.27722196149275,0.00153380432226856,0.181100637495991,0.00197334992687179,0.135594614729139,0.00585566598144905,0.302939003360706,0.065232696686252,0.912828303150679,0.374776750357579,-2.28035119390805,0.00205912305993957,0.112734957241925,0.00219504297170861,0.158479578657768,0.00589835852002832,-2.27952239596148,0.00507526977613803,0.181730147885866,0.00624974574594135,0.146375336645305,0.0191223097039341,0.541188356122149,0.221917231388187,0.157338665492121,1.43283784049559,-2.27743575447366,0.00165788946930422,0.181054539177146,0.00675635523587717,0.141298853286511,0.00196425883660027,0.313271049109224,0.0695444028469173,0.667244240669922,0.406925588055242,"Converged",""
"1031-8",2200,-2.2778541,0.182321556793955,0.1413503,0.1,0.405465108108164,0.3897812,0.6,0.601351351351351,0.113140834101427,0.475040257648953,-2.27898755569179,0.00157760823351476,0.180068131230311,0.00196679211943006,0.149204142448163,0.00644264346653579,0.475920377612787,0.0663202731939571,0.0804567061959593,0.372916220483742,-2.27718985492784,0.00206670684390459,0.11246371882245,0.00220568995876867,0.150898481482156,0.00644882808540687,-2.26699227498574,0.00484580583937042,0.164133607155895,0.00626291854884297,0.15567071312293,0.0206821666951188,0.48284819084032,0.219565921615235,-0.680666529366588,1.33071939772206,-2.27819949248107,0.001688487042664,0.179828107871608,0.00680274282588994,0.147697759886937,0.00193676415317613,0.453588236927868,0.0694677664972823,0.131228815213312,0.380811962410697,"Converged",""
"1031-9",2200,-2.2778541,0.182321556793955,0.1413503,0.1,0.405465108108164,0.3897812,0.6,0.611842105263158,0.113726435115066,0.450244698205546,-2.27532759751799,0.00158445496233358,0.180515366217682,0.0019608732724638,0.141390225412816,0.00615463003604455,0.545724464218215,0.067687212061857,0.194108332285188,0.368007129983339,-2.27525230106234,0.0020399263369916,0.118072808738637,0.00218035819275464,0.146277618477689,0.00616685396641585,-2.27655167179137,0.00511550670983433,0.186431375822144,0.00622787442748918,0.127280691663182,0.0222584809785282,0.431405422441056,0.216494503962184,0.22449863589499,1.31906558508985,-2.27535342188293,0.00168099159957594,0.180970547229846,0.00668618263158534,0.142691537243438,0.00193762625014973,0.540162204941228,0.0704541670569407,0.136678535603787,0.378628429101122,"Converged",""
"1031-10",2200,-2.2778541,0.182321556793955,0.1413503,0.1,0.405465108108164,0.3897812,0.6,0.632258064516129,0.113497146048799,0.465040650406504,-2.27368317598898,0.00157532170177142,0.180351370939806,0.00196365957457035,0.120138650259061,0.00625681187055734,0.489850764706926,0.0663839505738442,0.358060114657336,0.38056511335342,-2.27644266841124,0.00207001021667108,0.119471853744938,0.00220347206276541,0.129618701829038,0.00627713148916855,-2.27925595176518,0.00499759071395094,0.190563312209396,0.00620069561341227,0.136386868309448,0.0202634631447471,0.518470284195858,0.211219295233865,0.212533060214724,1.18348950128492,-2.27429328284622,0.00169002455674134,0.180191769073487,0.00680876615965763,0.122571883811594,0.00194084434046381,0.513805388927926,0.0698853958343942,0.261500148352705,0.393433108664117,"Converged",""
