"sim","N","beta0","beta1","q","avg_prev","fpr","ppv","beta0_gs","se_beta0_gs","beta1_gs","se_beta1_gs","beta0_n","se_beta0_n","beta1_n","se_beta1_n","beta0_cc","se_beta0_cc","beta1_cc","se_beta1_cc","beta0_smle","se_beta0_smle","beta1_smle","se_beta1_smle","ppv_smle"
"11422-34",390,-2.245641,0.1549768,0.25,0.11100769121078,0.338235294117647,0.561904761904762,-2.24943241332543,0.00289306175111208,0.1602498464818,0.00498383042386589,-2.25311321860282,0.00356203508563815,0.099694404572887,0.00474884275980861,-2.24319250744316,0.00553043276408619,0.147588977437119,0.0105782653024481,-2.24955615792234,0.00291403670152898,0.160319417135641,0.00507088651115266,0.562803764512581
"11422-35",390,-2.245641,0.1549768,0.25,0.110144659305111,0.287671232876712,0.538461538461538,-2.24780050746172,0.00279146610912243,0.157001383751861,0.0052516433864142,-2.24672749910785,0.00330421801550438,0.0855841122666292,0.00473029211259442,-2.25638482075045,0.00545601333174443,0.176920448281021,0.0110041931733137,-2.247361131943,0.00276861832381571,0.155972829384342,0.00594361846308453,0.536777617289104
"11422-36",390,-2.245641,0.1549768,0.25,0.112141230758334,0.352272727272727,0.575342465753425,-2.24381540347252,0.00292839808505913,0.163510298119002,0.0048818712727806,-2.24385554062552,0.00363898595104298,0.0973671359759987,0.00475601261079451,-2.24445911857021,0.00580904519296347,0.166853285412328,0.00978023369346525,-2.24308947902903,0.00294318206654065,0.16414103839973,0.00488874464223733,0.565427160990252
"11422-37",390,-2.245641,0.1549768,0.25,0.11114473046934,0.277372262773723,0.604166666666667,-2.24393154317177,0.00287395395802491,0.15013119081742,0.00500519052673395,-2.2457681033732,0.00338446686965423,0.0968928362902231,0.00470852964880513,-2.24962694623808,0.00558571811775774,0.158764542559991,0.0104343745765564,-2.24417783657719,0.00287344865050841,0.149020671340838,0.00535880971226439,0.612348965987891
"11422-38",390,-2.245641,0.1549768,0.25,0.111486616128273,0.280898876404494,0.621212121212121,-2.2435791621687,0.00291028566508595,0.149854715668815,0.00493322683416765,-2.2450699832035,0.00343374997824708,0.0984573049891434,0.00470926402356239,-2.25267950766794,0.00583479628401324,0.160486552199829,0.00985820046505014,-2.24332097258285,0.00290135433768514,0.148855753173949,0.00501060378078751,0.622373936109894
"11422-39",390,-2.245641,0.1549768,0.25,0.110392157517341,0.246428571428571,0.614525139664804,-2.25111699020963,0.00285304599884619,0.158853395578292,0.00508019021191643,-2.25038799760403,0.00328664679776719,0.0989952787217904,0.00472363710769602,-2.2503279111962,0.00591043660643704,0.154716990753115,0.00970058477821309,-2.2507000502026,0.00283176887673116,0.158929441814981,0.00513841935969612,0.608479932851303
"11422-40",390,-2.245641,0.1549768,0.25,0.111508393586202,0.284615384615385,0.637254901960784,-2.24486200101777,0.00295316848438906,0.146620324722012,0.00488170513678936,-2.24359150024873,0.00348893979370866,0.0934746790706554,0.00472281290742556,-2.23962544697225,0.00618593376600934,0.137422278815974,0.00943051391181936,-2.24525960657548,0.00292754728116514,0.147508709082277,0.00485653239336727,0.637768637597987
"11422-41",390,-2.245641,0.1549768,0.25,0.111309464829739,0.309963099630996,0.586206896551724,-2.24642928282704,0.00289364320188617,0.158156539642106,0.00496439675101885,-2.24821730170236,0.00348694518463817,0.098994464767282,0.00472193772716777,-2.24861052801333,0.00591322523542212,0.16462129144939,0.00965967272950564,-2.2468489597321,0.00293023346049247,0.158266666407465,0.00489110349887084,0.590824724492294
"11422-42",390,-2.245641,0.1549768,0.25,0.111707486977758,0.361940298507463,0.557077625570776,-2.24191076909805,0.00290701267110092,0.151982642377824,0.00493313607286773,-2.24406046794429,0.00364429856617528,0.0912800290422842,0.00476610754255171,-2.24035547255866,0.00589490871343065,0.15211011891543,0.00966477213630943,-2.24319020214837,0.00289243458322274,0.150708690980873,0.00521117079219581,0.577080397675888
"11422-43",390,-2.245641,0.1549768,0.25,0.111590986137516,0.318181818181818,0.6,-2.24399557604865,0.00292755681995393,0.150419169962946,0.00490600972153705,-2.24525162203556,0.00354940221524664,0.0949876371585085,0.00473486665870165,-2.24312394390796,0.00598555274872296,0.147664062915556,0.00958232711948739,-2.24537698738935,0.00293426538424642,0.149284510758217,0.00488230934343155,0.621577268427684
