"N","access","avg_fpr","bias_beta0_gs","ese_beta0_gs","bias_beta1_gs","ese_beta1_gs","bias_beta0_n","ese_beta0_n","bias_beta1_n","ese_beta1_n","bias_beta0_cc","ese_beta0_cc","bias_beta1_cc","ese_beta1_cc","re_beta1_cc","bias_beta0_smle","ese_beta0_smle","ase_beta0_smle","bias_beta1_smle","ese_beta1_smle","ase_beta1_smle","cp_beta1_smle","re_beta1_smle"
390,0.5,0.301079335479875,9.47660301925484e-05,0.00268564596330139,9.02619839776398e-05,0.00561919074328183,7.54577215539485e-05,0.00324230910643967,-0.0859472747540269,0.00783926368137951,1.80273756889607e-05,0.00879923578365765,0.000384393066337654,0.0192603562993329,0.0851175109112622,8.53362656896376e-05,0.00282217409711533,0.00269807680420834,-4.50419171718195e-06,0.00622250410357611,0.00688923910825077,0.968,0.815487231665026
390,1,0.302883435565088,8.55190082038395e-05,0.00287657877916685,4.02305410499971e-05,0.00483356467815761,8.23871621300696e-05,0.00352008701230222,-0.0563415032415237,0.00709210273431179,0.00012595042437726,0.0090894958920074,0.0001426508972627,0.0157515830609813,0.09416438043364,7.80875351131274e-05,0.00304907676345163,0.00306294705108656,6.8027032639667e-05,0.0049403526403885,0.00499015416907123,0.954,0.957236321044303
390,5,0.305151115145039,9.76376117578599e-05,0.00676822293619104,-1.3587785153807e-05,0.00725357980365947,0.000109928411962522,0.0082324429956978,-0.00660492858431074,0.0088484964148234,-0.000100991705900653,0.0217975948210634,-0.000213720721422786,0.0232196020267397,0.0975877361456165,5.50730148960822e-05,0.0074419212281836,0.0236877743963103,2.06136752015756e-05,0.00772331990668638,0.0121274476191021,0.954128440366973,0.882057178723315
390,10,0.299967618023174,-0.000420242741944687,0.019675295134115,0.000563857717167566,0.0192076696387854,-0.000316052473751917,0.0260505440877479,0.000130143759013469,0.0243383454954752,-0.0044384492847982,0.0434608724505916,0.00451450187134526,0.0436797706340624,0.193369803811823,-0.00041414589278327,0.020451983275904,0.0208110713433635,0.000330225248580167,0.0203804794688935,0.0209322933248704,0.94314381270903,0.888220026872744
2200,0.5,0.30109779412387,4.71018197014356e-06,0.00111597836359495,-0.000128881895370349,0.00258895594050684,-1.4224902740096e-05,0.00133122096222813,-0.086348292922505,0.00329466844876844,-3.60073309855008e-05,0.00362693288958617,-0.000558070331400498,0.00790617633829995,0.107230004943764,9.64318857086652e-06,0.00116066496114663,0.00114648544480564,-0.000114030478483347,0.00275677870934818,0.00271333911226092,0.947,0.881953132384495
2200,1,0.301162529140272,-6.94594793972964e-06,0.00122751933969036,1.71024064486259e-05,0.00196579862645001,-3.93819018932281e-08,0.00151769296676708,-0.0560264818017897,0.00298636408375275,0.000151713326864252,0.0038782511833586,0.000126957786714296,0.00656366926718781,0.0896983956924212,-3.8049324265157e-06,0.00130488424939075,0.00128249206077654,3.2148035391309e-05,0.00206368703820545,0.00207893012785755,0.944,0.907382463679099
2200,5,0.302124500748105,-9.07300959275716e-05,0.00271768981413236,8.19818659614295e-05,0.00284357280114356,-0.000162480728412334,0.00334165312522344,-0.006361701504593,0.00350091999343373,0.000172437642287149,0.00921634595154776,-0.000185607883062772,0.0096917869077985,0.0860837127213026,-6.82720016980711e-05,0.00297860793289455,0.00289155103505143,6.80905788829201e-05,0.00302384123094028,0.00274277488129499,0.924,0.884322620412883
2200,10,0.298592643180702,-6.01649591334351e-05,0.00757587552562088,4.30525206364754e-05,0.00760802426184275,8.843369231424e-05,0.00902229330858464,-0.000907180572971166,0.00902957393167153,-0.00141740461619392,0.02615556912822,0.00133091741777918,0.026350458665081,0.0833618644901441,-6.12653477202135e-05,0.00823209716775898,0.00653220612442526,4.7999489350367e-05,0.00819138807884153,0.00628540908641507,0.83493077742279,0.862638375362184
