"sim","N","beta0","beta1","q","ppv","avg_prev","fpr","beta0_gs","se_beta0_gs","beta1_gs","se_beta1_gs","beta0_n","se_beta0_n","beta1_n","se_beta1_n","beta0_cc","se_beta0_cc","beta1_cc","se_beta1_cc","beta0_smle","se_beta0_smle","beta1_smle","se_beta1_smle","ppv_smle"
"11422-1",2200,-2.245641,0.1549768,0.1,0.5,0.11046810437392,0.340333539221742,-2.2465187343063,0.00118446217746318,0.155602554030561,0.00217862133245971,-2.24708672452953,0.0014584834329001,0.0839999262073005,0.00199322969921065,-2.24075723553104,0.00366908772247554,0.151828127980065,0.0071190722547676,-2.24642676342482,0.00122238302520373,0.155280309415295,0.00229290058972693,0.513264790230757
"11422-2",2200,-2.245641,0.1549768,0.1,0.5,0.110087858509762,0.33050333535476,-2.24664810832554,0.00117336992873228,0.151480448138011,0.00221747775127658,-2.24634247152731,0.00143411028346406,0.0784070934765573,0.0019925700852465,-2.24829321364953,0.00374368919078295,0.150723583093424,0.00690069606351501,-2.24690876970226,0.00121474646547349,0.150557638699733,0.00232127197543677,0.509410809635311
"11422-3",2200,-2.245641,0.1549768,0.1,0.5,0.11035569486725,0.348612786489747,-2.24510624111622,0.00116923524626717,0.157121416823659,0.00222257212224851,-2.24475190800565,0.00144855246548811,0.0784544159438469,0.00199202679995664,-2.24496939873156,0.00384683572215458,0.159033532939702,0.00660995637682207,-2.2448766291229,0.00119999286403848,0.157387917726252,0.00233776834370864,0.48025718367431
"11422-4",2200,-2.245641,0.1549768,0.1,0.5,0.110726339798949,0.322501532801962,-2.24306605218624,0.00117769493890605,0.154721300653833,0.00218958743358057,-2.24438975133877,0.00143176963911056,0.0859081646737075,0.00198712660203935,-2.23915346890816,0.00365964056632302,0.154308136996116,0.00711119297097407,-2.24350952113136,0.0012213261669668,0.154144761111813,0.00226964506486329,0.527333780363045
"11422-5",2200,-2.245641,0.1549768,0.1,0.5,0.110186135969231,0.320995145631068,-2.2465740622841,0.00117328029556626,0.154165163349676,0.00221446599758091,-2.24633371221847,0.00142370235876976,0.0811634589657599,0.00199065669590573,-2.24767209021495,0.00371134717766273,0.155837821945575,0.00701874419755142,-2.24627684406082,0.00120726223965662,0.154212554740692,0.00234218501277785,0.506719389866963
"11422-6",2200,-2.245641,0.1549768,0.1,0.5,0.110458295691143,0.326140567200986,-2.24615570665739,0.001183048865061,0.154775088984878,0.0021828847876013,-2.24610472009202,0.00144083788797761,0.083717092626709,0.00199073151812517,-2.24585576201463,0.00375661122870778,0.151899030904896,0.0068750573069311,-2.2460938937333,0.00122215678662824,0.155152667777627,0.00226376322470374,0.519968135392453
"11422-7",2200,-2.245641,0.1549768,0.1,0.5,0.110270180916392,0.334350213544844,-2.24624858212566,0.00117680657423494,0.153419739535927,0.00220263326035342,-2.24636383565722,0.0014424499336407,0.080810421582851,0.00199190746059347,-2.24365174113617,0.00376195045151769,0.137809177553247,0.00685254880078582,-2.24680752642737,0.00121182670738617,0.152472479762402,0.0023291209238794,0.516433374765449
"11422-8",2200,-2.245641,0.1549768,0.1,0.5,0.110589668823092,0.333129957291031,-2.24449897662651,0.00117559434150491,0.15753263071475,0.00219825897163888,-2.24515856642426,0.00144018780742215,0.0841611170457517,0.00198906486688597,-2.23813697415189,0.00366062105341935,0.148887639718026,0.00711656098242242,-2.24433997283375,0.00121540532128453,0.157255564915211,0.00229692196487492,0.505763549184638
"11422-9",2200,-2.245641,0.1549768,0.1,0.5,0.110393292218093,0.316339066339066,-2.24739945835607,0.00118134547811641,0.158561253305113,0.00218764902824212,-2.24690445554906,0.00142833782317673,0.0855998332583176,0.00198952627368246,-2.24756333215248,0.00365775498684662,0.150059089430817,0.00725169906886296,-2.24730295914907,0.00120823681101803,0.159258287190902,0.00226615927102421,0.522435937991095
"11422-10",2200,-2.245641,0.1549768,0.1,0.5,0.110386661326661,0.352689486552567,-2.24652519914487,0.00117783141557504,0.157386208741429,0.00219814263171043,-2.24825091424318,0.001465335142943,0.0840073375097288,0.00199515099827268,-2.24944287832231,0.0037871979963531,0.16827824960963,0.00677066370769895,-2.24670423659754,0.00121830380328821,0.157686511465973,0.00233701388882567,0.49514945046296
"11422-11",2200,-2.245641,0.1549768,0.1,0.5,0.11022007637513,0.339177750906892,-2.24478740027757,0.00117036057178908,0.150534040628628,0.00222247575117505,-2.24395363608647,0.00143905553965067,0.0754863649707905,0.00199179858670192,-2.243888583263,0.00378329323392042,0.148564970184247,0.00677126849942899,-2.24502967398439,0.00121135019733716,0.150829336657518,0.00234926853005861,0.495224537461225
"11422-12",2200,-2.245641,0.1549768,0.1,0.5,0.110390641079812,0.333128078817734,-2.24686107441692,0.00118292218008034,0.155585908816415,0.00218492745762236,-2.24730537222612,0.0014489735535165,0.084100612575672,0.00199243843449746,-2.24934997088837,0.00379447054013015,0.165146358357022,0.00674689405342645,-2.24708026645444,0.00122227128812117,0.155300217590063,0.00229610616767862,0.51945620529245
"11422-13",2200,-2.245641,0.1549768,0.1,0.5,0.110318822541634,0.32043530834341,-2.24442758488549,0.0011706740973972,0.152427239140322,0.00222125836007257,-2.24453883266926,0.00142005584935627,0.0804907522092042,0.0019901145586239,-2.24887263993645,0.00373720014249843,0.149302651122116,0.00696167193806073,-2.24491011968571,0.00120731317567967,0.151864328352836,0.00232725150993012,0.515757907753928
"11422-14",2200,-2.245641,0.1549768,0.1,0.5,0.109847975358099,0.339811542991755,-2.24526401356366,0.00115531809632273,0.151298800936777,0.00228390090026338,-2.24515187368259,0.00142188216405792,0.0730130952821961,0.00199350121980951,-2.24620711948256,0.00358519594471197,0.148225728833198,0.00763638377927871,-2.244799732007,0.00119099740257648,0.151545552713795,0.00243324892454461,0.458397581969348
"11422-15",2200,-2.245641,0.1549768,0.1,0.5,0.110021751543261,0.353115727002967,-2.24533905883046,0.00116006589686156,0.154138899540984,0.00226270824983755,-2.24731054892928,0.0014436504253981,0.0782548472782511,0.00199430313770745,-2.24286776308744,0.00364871062514553,0.153136620569415,0.00721833264807308,-2.24573012151836,0.0011997838740251,0.154188502350834,0.00238866164518694,0.468731846806462
"11422-16",2200,-2.245641,0.1549768,0.1,0.5,0.110262048083919,0.352409638554217,-2.24520689712259,0.00116827012401365,0.154944904121225,0.00222599498212449,-2.24613292782453,0.00145217081008135,0.0791773137679509,0.00199272284353021,-2.2410470351574,0.00376618983687751,0.150989997315295,0.00678098016382548,-2.24548388611695,0.00120795435996263,0.154292824857236,0.00234475964098241,0.485569578863558
"11422-17",2200,-2.245641,0.1549768,0.1,0.5,0.110159027718043,0.337174044875682,-2.24642927817469,0.00117355902003735,0.1531095038989,0.00221659810490375,-2.24592186626209,0.00144125994917099,0.0781560332433799,0.00199324488053003,-2.24702836821316,0.00362304447209961,0.164909600101359,0.00736821274135799,-2.24635435915219,0.00121216427793499,0.153692297317867,0.00232283379909864,0.494807845903493
