"sim","N","beta0","beta1","q","ppv","avg_prev","fpr","beta0_gs","se_beta0_gs","beta1_gs","se_beta1_gs","beta0_n","se_beta0_n","beta1_n","se_beta1_n","beta0_cc","se_beta0_cc","beta1_cc","se_beta1_cc","beta0_smle","se_beta0_smle","beta1_smle","se_beta1_smle","ppv_smle"
"11422-1",390,-2.245641,0.1549768,0.1,0.9,0.114079272113142,0.107476635514019,-2.24260789603753,0.00325220784669038,0.152502467280691,0.00464936249287456,-2.24290571240865,0.00344248756275625,0.136603494321844,0.00466655672854427,-2.24580338358697,0.0109520370703831,0.147739148942741,0.0147640339886423,-2.24228079235264,0.00341093651541546,0.151966127608504,0.00409364943367778,0.883575946905929
"11422-2",390,-2.245641,0.1549768,0.1,0.9,0.113115962434182,0.0958904109589041,-2.25001046303372,0.00322724968973288,0.15442100689207,0.0046741864235714,-2.25043048491917,0.00339525660490535,0.139403762401385,0.00467604265468282,-2.26133584342763,0.00958882437789011,0.156760957260008,0.015269202187974,-2.24966675337658,0.00335938117349528,0.15382308499713,0.00425224538596782,0.889892557840385
"11422-3",390,-2.245641,0.1549768,0.1,0.9,0.11375727658476,0.0861244019138756,-2.24944185690117,0.00330135363126014,0.156713079029378,0.00465042727056646,-2.24997721775667,0.0034541937607797,0.144531800875794,0.00467086352149768,-2.24591700791474,0.0101581738547691,0.139828222514118,0.0148080551821454,-2.24930139436345,0.0033663407064642,0.155770143595289,0.0047117682587864,0.913703588577425
"11422-4",390,-2.245641,0.1549768,0.1,0.9,0.113725967157257,0.113636363636364,-2.24422857221555,0.00320779753517168,0.1545723268976,0.0046591104803869,-2.24301219017996,0.00340530150180928,0.133738058160653,0.00466315756903237,-2.23523286899887,0.0101190921360144,0.154666594324696,0.0146605775244821,-2.24461605717305,0.00338671282606588,0.154022578807093,0.00424761483319439,0.880019592222054
"11422-5",390,-2.245641,0.1549768,0.1,0.9,0.113833795395052,0.120192307692308,-2.24890299506823,0.00330908123066934,0.155997368258647,0.004651334770868,-2.24973131684278,0.00352890042886918,0.139924023626189,0.00469171170353945,-2.2507844357948,0.0107112773057889,0.129181601497337,0.0148243858558939,-2.24860795611737,0.00344290618324127,0.155485537158759,0.00416139055114314,0.878906877009627
"11422-6",390,-2.245641,0.1549768,0.1,0.9,0.113063140984917,0.120171673819742,-2.24596440270642,0.00312053755402338,0.156749108394006,0.00470290924294443,-2.24463502845054,0.00332502980823152,0.131853211403681,0.00466969414223243,-2.24390123610886,0.0103778868569443,0.16182327147657,0.0146596226703827,-2.24543321985822,0.00323957167249582,0.157966373232784,0.00439104801193192,0.834501408971254
"11422-7",390,-2.245641,0.1549768,0.1,0.9,0.114164381476876,0.0990566037735849,-2.24072169822996,0.00326335840874549,0.148674796335058,0.00464634331584628,-2.24015369118082,0.00343662805407581,0.132967361352008,0.00466328277233692,-2.23023206271714,0.0108490728527737,0.13428196443479,0.0146644080252471,-2.23964748754999,0.00334478069965786,0.14903978657972,0.00422257088009685,0.878131852593176
"11422-8",390,-2.245641,0.1549768,0.1,0.9,0.114524758114399,0.0817307692307692,-2.24544155419457,0.00330149789842794,0.161150106253997,0.00463841776353757,-2.2451870590519,0.00344598093214807,0.147788862952244,0.00465874837944809,-2.24822876380955,0.0112515896506946,0.173228723055093,0.0147638924589671,-2.24566674815101,0.00347956058094468,0.161104164737691,0.00403760113598494,0.917627581312326
"11422-9",390,-2.245641,0.1549768,0.1,0.9,0.113675676501123,0.0723981900452489,-2.24612350920937,0.00320450194610412,0.158343656610694,0.00466187056708767,-2.24590448541411,0.00332655686512014,0.145191842020405,0.00465583835974371,-2.249374200097,0.0101834238498498,0.15551579987588,0.0147586657441592,-2.24657368212254,0.00334701561039242,0.157938486880676,0.00411492173017578,0.922032643995403
"11422-10",390,-2.245641,0.1549768,0.1,0.9,0.113472590202131,0.0926829268292683,-2.25085068078789,0.00333808330346882,0.151379842243087,0.00466104777275493,-2.25065046958516,0.00350422238031958,0.137875776669366,0.0046911513784304,-2.25235584964037,0.0115740417585051,0.157821427848043,0.0149251603189662,-2.25058907075108,0.00346685381060476,0.150779218182716,0.00416548973634564,0.907392794197525
