"sim","N","beta0","beta1","beta2","q","eta0","eta1","ppv","queried_ppv","queried_strat_ppv","avg_prev","fpr","beta0_gs","se_beta0_gs","beta1_gs","se_beta1_gs","beta2_gs","se_beta2_gs","eta0_gs","se_eta0_gs","eta1_gs","se_eta1_gs","beta0_n","se_beta0_n","beta1_n","se_beta1_n","beta2_n","se_beta2_n","beta0_cc","se_beta0_cc","beta1_cc","se_beta1_cc","beta2_cc","se_beta2_cc","beta0_mle","se_beta0_mle","beta1_mle","se_beta2_mle","beta2_mle","se_beta1_mle","eta0_mle","se_eta0_mle","eta1_mle","se_eta1_mle","mle_msg","beta0_mle_strat","se_beta0_mle_strat","beta1_mle_strat","se_beta2_mle_strat","beta2_mle_strat","se_beta1_mle_strat","eta0_mle_strat","se_eta0_mle_strat","eta1_mle_strat","se_eta1_mle_strat","mle_strat_msg","sim_msg","sim_strat_msg"
"1031-1",390,-2.2778541,0.1764544,0.1413503,0.1,0,0.3897812,0.5,0.444444444444444,0.461538461538462,0.111011230240789,0.523076923076923,-2.27170688511486,0.00356440101219955,0.164955748519545,0.00487904064907157,0.12797106352169,0.015806592202375,-0.0448804413460747,0.160474734086737,-0.00205905739777593,0.887772229457366,-2.27103112557866,0.00477076713857269,0.0830298132285799,0.00514321421623156,0.127501652921978,0.0158062339640275,-2.29064906104134,0.0109779871307442,0.188386877996591,0.0159422596806794,0.131548624862953,0.053451226313374,-2.26820257755058,0.0038641918063752,0.167196963717909,0.0186042196052672,0.1150365197734,0.00495877215456491,-0.194408620109014,0.172118148211601,0.467226087688767,0.9507072965731,"Converged",-2.27011014329589,0.00380344752828383,0.165696989415876,0.0180578530071584,0.120050031294871,0.0048478938100359,-0.109805352765783,0.171414594297192,0.287010810528769,0.940100300885176,"Converged","",""
"1031-2",390,-2.2778541,0.1764544,0.1413503,0.1,0,0.3897812,0.5,0.454545454545455,0.564102564102564,0.111147870697129,0.507936507936508,-2.27690044601183,0.00366268733747152,0.176075500172851,0.00481289044092072,0.125330945355633,0.0181400243180133,-0.0503297243074048,0.161225265036769,1.23660611155383,1.0371284857908,-2.27726986532869,0.00495547713957495,0.0906486774158498,0.00516835422693926,0.157905544403624,0.0183001167878389,-2.27715756469968,0.0102975349405714,0.174191147475437,0.017189492913806,0.215611883192815,0.0552130761385668,-2.27710167937054,0.00431214314171364,0.177960543953311,0.0224180835685991,0.127987677047025,0.00476647303463374,-0.0658325928741241,0.174289619312615,1.11781812381958,1.08826382518296,"Converged",-2.27767631421416,0.00400027226121535,0.178036961670189,0.0216184433693603,0.133485693688644,0.00467652098555875,-0.0469350713689816,0.168205507829547,0.908296088836426,1.07539549684857,"Converged","",""
"1031-3",390,-2.2778541,0.1764544,0.1413503,0.1,0,0.3897812,0.5,0.586206896551724,0.487179487179487,0.11198084933896,0.538461538461538,-2.28020188659235,0.00365149552304328,0.178112315530246,0.0047274591547258,0.132586813804318,0.0148601677461297,0.120132098278848,0.152596135170875,0.927099093875379,0.952147923319248,-2.29060894201573,0.00523243643315015,0.112063777370024,0.00543706508276452,0.160023328227593,0.0151201565806749,-2.25858977139229,0.0126185669843243,0.1452822898257,0.015185109595917,0.0757752445667591,0.0575610271605307,-2.27929623237441,0.00412559064059216,0.177864389618493,0.0206742594597023,0.129739323105523,0.00454449238623528,0.0940702892997634,0.165663194697104,1.04662615834745,1.01540777287423,"Converged",-2.27873202629534,0.0042387429420921,0.178017369849749,0.0204306969385384,0.128162147319847,0.00462143199914156,0.0741873215287441,0.168147391841946,1.1074570522749,1.01598714100963,"Converged","",""
"1031-4",390,-2.2778541,0.1764544,0.1413503,0.1,0,0.3897812,0.5,0.620689655172414,0.641025641025641,0.11209464792008,0.525641025641026,-2.28058724315883,0.00363423073422056,0.173576748239237,0.00471702497398656,0.152356308764796,0.0142859463745488,0.125966403251997,0.156363145329052,0.995566521100483,0.900154291201089,-2.28621542149198,0.00506224968299428,0.104414445383786,0.00533483943792393,0.176644762170673,0.0143465746704087,-2.28845001602206,0.0133634085909418,0.196596983015583,0.0148028105107067,0.0702154559997556,0.0636507962569501,-2.27995616556858,0.00406085650545892,0.175126110895432,0.0164685499233771,0.149969820665136,0.00456783761873062,0.0826668382565904,0.168755943529999,1.08599343978476,0.955405346835219,"Converged",-2.28051167614934,0.00400357245081178,0.174478742084646,0.0163661032045057,0.152374935820553,0.00454581052421708,0.111522279947814,0.166460109887229,0.983994497318902,0.949575541912204,"Converged","",""
"1031-5",390,-2.2778541,0.1764544,0.1413503,0.1,0,0.3897812,0.5,0.230769230769231,0.41025641025641,0.111057876517828,0.555555555555556,-2.2759229529397,0.00356219579239864,0.166080393484482,0.00482390500099077,0.139864956316796,0.016876453737808,-0.169995777037475,0.157799716384393,1.41641910601676,0.938957826295822,-2.27905697711451,0.00500814109228815,0.0841667624542359,0.0053046130698294,0.178284454004169,0.0168913471804125,-2.27214273596077,0.00991242326792864,0.152158610099153,0.0201143778078841,0.110035398423437,0.046536092179971,-2.27626864353631,0.00400523494554597,0.164869479796969,0.0193100957266995,0.146630678424824,0.00502811067002986,-0.138627410266833,0.17227915159828,1.15536542752572,0.969771529869028,"Converged",-2.27723421035913,0.00387309762157707,0.164581285815235,0.0189913799046677,0.149369194337177,0.00500054993695403,-0.102582075827434,0.171500849557681,1.06003349517792,0.968430820876942,"Converged","",""
"1031-6",390,-2.2778541,0.1764544,0.1413503,0.1,0,0.3897812,0.5,0.5,0.615384615384615,0.111446402941285,0.485943775100402,-2.27913991842198,0.00367421583769817,0.180284872178264,0.0048229074394816,0.13810564989433,0.0157355150846447,0.143629217317243,0.16232886932089,0.10015584168729,1.12495412111151,-2.27484641087902,0.00498416453257035,0.0951271425898458,0.00520604783311606,0.136130925002016,0.0159932379000756,-2.25731447256277,0.0102834387423658,0.171547609818999,0.0164590664266588,0.11606390912783,0.0348984746709389,-2.28061403191455,0.00407521830324306,0.179704117350338,0.0166776548825427,0.141802781679369,0.00462303714986369,0.200721208347468,0.172717086961753,-0.0582668132190163,1.14566763112642,"Converged",-2.28092377586439,0.00394142546363538,0.179507482569299,0.0164397589388237,0.142546312536823,0.00464219047640393,0.21363672115621,0.172017278325249,-0.089472517009539,1.14525147516675,"Converged","",""
"1031-7",390,-2.2778541,0.1764544,0.1413503,0.1,0,0.3897812,0.5,0.571428571428571,0.461538461538462,0.111829277920045,0.572649572649573,-2.28109045819512,0.00366858900497625,0.170374024872665,0.00472560948981667,0.153369396375433,0.015274517616975,0.0848782343098476,0.149172355170784,0.594526809170801,0.817021358639194,-2.27964609278695,0.00525797245715526,0.0909792956405555,0.00550701082435516,0.169643829245067,0.0152830190842357,-2.26517187809279,0.0114309249772661,0.190783073462883,0.0146570036322599,0.131710783162941,0.033859835243673,-2.27705861719247,0.00412085587973781,0.170635219924915,0.0196275839284202,0.137470430672325,0.00495220381429685,-0.0424638962429176,0.16766487150472,1.11542637382407,0.906157358314999,"Converged",-2.27716479066272,0.00402144300261729,0.170617390696211,0.0192486246997245,0.137219842477396,0.00483348927984288,-0.0396117211512585,0.164002313324666,1.1289063131346,0.902146413994145,"Converged","",""
"1031-8",390,-2.2778541,0.1764544,0.1413503,0.1,0,0.3897812,0.5,0.636363636363636,0.538461538461538,0.112022909406287,0.555555555555556,-2.27748160464679,0.00360264464103728,0.173828080363072,0.00472382929577813,0.127877568478266,0.014264174735885,0.201418200270936,0.14485258088853,-0.163188085281101,0.70779691876057,-2.27872343581477,0.00503027602221524,0.101345940872068,0.00543655914480859,0.120965361736043,0.0142385135553587,-2.26435523435656,0.0131195183524306,0.176784455407212,0.0150222811759133,0.046358712596043,0.0542261746619717,-2.27801064908146,0.00419010266808271,0.173022031149716,0.018079599312622,0.130631700828359,0.00454324568218399,0.228719386909868,0.157877454016859,-0.242064468932207,0.768439394192197,"Converged",-2.27858442933996,0.00421636374281387,0.172835172792103,0.0179795778929908,0.132541809605032,0.00447866341053388,0.248597304988042,0.156673275397045,-0.297221052061452,0.769696199885153,"Converged","",""
"1031-9",390,-2.2778541,0.1764544,0.1413503,0.1,0,0.3897812,0.5,0.478260869565217,0.435897435897436,0.110699358107139,0.55859375,-2.27867596267337,0.00358274627519246,0.170313448685834,0.00486915404236067,0.129963175547737,0.0145143393645914,-0.00270777112490397,0.154348763382654,-0.566436261913535,0.883089918065501,-2.27381559152947,0.00503661679229503,0.0817749827461295,0.00532133499381803,0.115392064735222,0.0145466159744159,-2.27356677535902,0.0110142195495599,0.132131688552532,0.0162683448114656,0.173048854138594,0.045973346633786,-2.27953187911364,0.00391759944109392,0.16836710866001,0.0159517846887517,0.132646299039005,0.00479770643614124,0.0518705758434225,0.164790293930058,-0.680899333623114,0.9248825563265,"Converged",-2.27913064200507,0.0039264666194178,0.168906274194173,0.0161232476554704,0.133216348047594,0.00481487071376879,0.0333144629824615,0.164066157613989,-0.716036705293087,0.926121534584371,"Converged","",""
"1031-10",390,-2.2778541,0.1764544,0.1413503,0.1,0,0.3897812,0.5,0.535714285714286,0.512820512820513,0.111676119936566,0.566265060240964,-2.27825062487656,0.00366169003876656,0.184033678427041,0.00479631037431989,0.133854999543559,0.0159824448792209,0.0721213243177184,0.151228719778327,-0.663896091714384,0.859728371071624,-2.27564597609905,0.00511878995747816,0.0962642304848548,0.0053813907012236,0.111712167613549,0.0159324229902011,-2.27574975510784,0.0121686339007373,0.171162953305562,0.0150619934813695,0.159304630907836,0.0674780322128309,-2.27840809162842,0.00411182191583641,0.183446444732803,0.0174940014893546,0.136804593767897,0.00454422433030872,0.0856129023510122,0.158137432413599,-0.769285949831829,0.875628419593573,"Converged",-2.27939446663826,0.00407561580594734,0.183055027339029,0.017187254228554,0.138921937710196,0.00452660171816763,0.119017341466496,0.158409871154661,-0.832278056678064,0.874145670905818,"Converged","",""
