"sim","N","beta0","beta1","q","avg_prev","fpr","ppv","beta0_gs","se_beta0_gs","beta1_gs","se_beta1_gs","beta0_n","se_beta0_n","beta1_n","se_beta1_n","beta0_cc","se_beta0_cc","beta1_cc","se_beta1_cc","beta0_smle","se_beta0_smle","beta1_smle","se_beta1_smle","ppv_smle"
"11422-11",390,-2.245641,0.1549768,0.1,0.110873701922398,0.601092896174863,NA,-2.24794803493984,0.00284992732487624,0.162504710019066,0.00507124128861351,-2.24628404990793,0.00331013233587711,0.0974982793123665,0.00471511943276745,-2.23745703232079,0.00894856514343508,0.1541517696421,0.0160012532398794,-2.24856951995052,0.00295247204881948,0.162380392838352,0.00521035751686359,0.609958310938742
"11422-12",390,-2.245641,0.1549768,0.1,0.111648249737105,0.654639175257732,NA,-2.24492004150542,0.00293585990098118,0.153055033871052,0.00489323632623488,-2.24581276125319,0.00340202877512009,0.104507305103559,0.00470257954684583,-2.23394663630667,0.00863868335128397,0.152582633285198,0.0169834914106603,-2.24414104767561,0.00302666655566726,0.153988222207866,0.00515668312657012,0.640775419946022
"11422-13",390,-2.245641,0.1549768,0.1,0.112170146384382,0.714285714285714,NA,-2.24602034372504,0.00298289478375874,0.159839824920259,0.00481709671801996,-2.24805798068641,0.00336545742075019,0.120554027497451,0.0046866827427738,-2.24441830491421,0.00969731747698063,0.183859386310815,0.0148004585958335,-2.24649383703851,0.00311064479732958,0.159655899897789,0.00476553992752919,0.721334559319639
"11422-14",390,-2.245641,0.1549768,0.1,0.111685693091432,0.658291457286432,NA,-2.24696352864166,0.00295980992773427,0.15525024116717,0.00485969756738926,-2.24597048403059,0.00344448853413671,0.102975186414213,0.00470691373223458,-2.22396007736902,0.00924697719990326,0.132381452433833,0.0153182564403876,-2.24706111403785,0.00307135714042776,0.15454288260026,0.00491638041616894,0.662551221865725
"11422-15",390,-2.245641,0.1549768,0.1,0.112185605586895,0.676767676767677,NA,-2.24385152618097,0.00297584708330231,0.155668938338057,0.00482438032172672,-2.24646968399265,0.00343994075231501,0.113021485785803,0.00469697130616531,-2.23929400716795,0.0088288382367384,0.140750638372918,0.0165525928506929,-2.24309845955957,0.00311419062150736,0.156706572508924,0.00479150340575596,0.662790283949256
"11422-16",390,-2.245641,0.1549768,0.1,0.111649833432018,0.668449197860963,NA,-2.24345082156293,0.0029217034408357,0.151536183822269,0.00491053945023795,-2.24354532660825,0.00333830647402679,0.103931946938117,0.00469680172050556,-2.24612025925988,0.00882642985027447,0.161048966153785,0.0164596091561086,-2.24396520645804,0.00303853467606672,0.150382478799407,0.0050759694557883,0.680830849129605
"11422-17",390,-2.245641,0.1549768,0.1,0.111713871973813,0.642156862745098,NA,-2.24282504294162,0.00295459862567683,0.144706757814484,0.00486513254334327,-2.24159288171163,0.00348669069994615,0.0929208334600332,0.00471535234764059,-2.2363732914357,0.00895681901340911,0.115430917610656,0.0161501630377145,-2.24409137058669,0.00311497754175476,0.142321331381266,0.00493819179827616,0.670118475231377
"11422-18",390,-2.245641,0.1549768,0.1,0.111462316334351,0.631868131868132,NA,-2.24012073747777,0.00286301425618347,0.14833141485477,0.00501063319312842,-2.24026209784083,0.00329260944666876,0.0964919230892552,0.00470003299822904,-2.24284847930444,0.00970233668043785,0.129817090341075,0.0150661957034935,-2.24127677320506,0.00293245016948742,0.147517035838939,0.0050783820544394,0.651865312776613
"11422-19",390,-2.245641,0.1549768,0.1,0.111488325161077,0.655555555555556,NA,-2.24385509091752,0.00288213019188718,0.15655706798421,0.00496994767650067,-2.24598669207929,0.00328251764768225,0.109755759628791,0.00469729665592059,-2.2393779065316,0.00913250891983486,0.163305802456053,0.0156071149586698,-2.24367390355948,0.00297364009587386,0.15543634682784,0.00509241298054271,0.658144838389452
"11422-20",390,-2.245641,0.1549768,0.1,0.111292424259266,0.624338624338624,NA,-2.24412025688508,0.00288423991059285,0.152035684604789,0.00498127815762041,-2.24548211146026,0.0033574432467676,0.100224188093282,0.00470396561747875,-2.24074997051564,0.0094950000131142,0.150883911499987,0.0151463310525919,-2.24386252177156,0.00293944797272315,0.1525540121853,0.00527178027812183,0.618691191038208
