"N","q","avg_fpr","avg_ppv","bias_beta0_gs","ese_beta0_gs","bias_beta1_gs","ese_beta1_gs","bias_beta0_n","ese_beta0_n","bias_beta1_n","ese_beta1_n","bias_beta0_cc","ese_beta0_cc","bias_beta1_cc","ese_beta1_cc","re_beta1_cc","bias_beta0_smle","ese_beta0_smle","ase_beta0_smle","bias_beta1_smle","ese_beta1_smle","ase_beta1_smle","cp_beta1_smle","re_beta1_smle","bias_ppv_smle"
390,0.1,0.285283961551924,0.600283862809821,3.78087053122472e-05,0.00281424131286562,0.000159405794263969,0.00505589739253658,-4.04184766244372e-05,0.00329667214783668,-0.0588621407419431,0.00692970646081868,0.000319897282958352,0.00899999027212774,0.000372968152701335,0.0156153161712647,0.104832257695631,9.77468708287603e-06,0.0028871666784796,0.00297868534985455,0.000167983642282228,0.00530443934040217,0.0052173701414881,0.952,0.908484513222968,0.000478015956920402
390,0.25,0.28605435265095,0.599125610722355,-2.49330182629827e-05,0.00289611665562715,0.000121934290453117,0.00516608259752302,5.02071530654791e-05,0.00344299831798236,-0.0593456814390908,0.0071301661392691,-7.56305882723386e-05,0.00583482103425015,0.000273913061021245,0.0100746809217808,0.262942077784577,-1.00478780366983e-05,0.00299876665013838,0.0028871882756955,0.000131905771866801,0.00527666091816289,0.00508073731538484,0.935,0.958526925927175,-0.000157476025440342
390,0.5,0.286240534878342,0.600161686872537,0.000125272135558855,0.00284565051765438,-5.05790439297941e-05,0.0049787557476943,7.50518705109377e-05,0.00340854422085046,-0.0590705695742166,0.00731203620791418,0.000213625787536216,0.00400418179421952,-3.768370767529e-05,0.00702780133270932,0.501883235980066,0.000135455650190316,0.00292482193838611,0.00282645663976157,-2.54526508915674e-05,0.00511505021329461,0.00495782360294295,0.933,0.947418451700869,-0.000150422636107514
390,0.75,0.287359113521393,0.598967478910249,8.43215238576023e-05,0.00290245492766699,-0.000117164276429013,0.00495416846523817,0.000249172431142217,0.0033705265526746,-0.0596849151744617,0.0070294319588704,4.99259298347581e-05,0.00319690171862473,-0.000155671782279867,0.00556469935696418,0.792607412654101,6.77647338951277e-05,0.00292981871013431,0.00280971673143359,-0.000134630256256285,0.0049826323052617,0.00490498808373667,0.95,0.988607411961343,0.00030021408889748
2200,0.1,0.286345542223875,0.599476451723578,-4.73853113559357e-05,0.00123780184708848,3.61410791344364e-05,0.00213899796099518,-3.28390617726889e-05,0.00147055009055177,-0.0592309438590479,0.00307264649233623,-0.000120321035517815,0.00375224670670929,4.55167097263273e-06,0.00629435018940956,0.115483234233119,-5.23092876990702e-05,0.00129435461947468,0.00125012746060718,4.82159608916814e-05,0.002192210282093,0.00215355202652873,0.947,0.952042465568485,2.70401547753332e-05
2200,0.25,0.285641067427787,0.599770112753048,1.83699820309652e-05,0.00124310408619973,-2.76654195822993e-05,0.00208229763146781,-3.64491720938481e-06,0.00146080453652281,-0.059156554116821,0.00300326642704558,8.38396481329668e-06,0.00243910161456225,2.99139648674043e-05,0.0041130985435431,0.256299276913723,7.81513564957413e-06,0.00128493457766865,0.0012359859740275,-3.39494101293423e-05,0.00216575418525048,0.00213675921891433,0.951,0.924415642097554,0.000181725790618643
2200,0.5,0.28565998153797,0.600217301716835,-2.52514887352813e-05,0.00119347365199256,0.000157397030857506,0.0020790175855902,-5.2526842692896e-05,0.00141855753438883,-0.0589609578279934,0.00281506969049865,-1.91587159464684e-05,0.00171824197040878,0.000134940592390208,0.0030116827178632,0.476538388793385,-3.55160295092094e-05,0.00120405997662901,0.00122019539164258,0.000149479002752952,0.00212571976341187,0.00211328390103692,0.945,0.956542575428604,0.000171121230904836
2200,0.75,0.286549351697934,0.599901231112307,1.05764461606394e-05,0.00119435770532406,-3.48634345138261e-05,0.00209742260811722,-2.24796200224701e-05,0.0014077508478571,-0.0591184525491776,0.00294838083183533,1.4113431592467e-05,0.0013604432735544,-8.8583663878907e-05,0.00244164884564263,0.737913542713228,2.93625297383935e-06,0.00120510673872025,0.00120949145645203,-4.19341752525186e-05,0.00211014489193478,0.00209499282275321,0.943,0.987978141332872,0.000124876117078448
