"N","q","avg_fpr","bias_beta0_gs","ese_beta0_gs","bias_beta1_gs","ese_beta1_gs","bias_beta0_n","ese_beta0_n","bias_beta1_n","ese_beta1_n","bias_beta0_cc","ese_beta0_cc","bias_beta1_cc","ese_beta1_cc","re_beta1_cc","bias_beta0_smle","ese_beta0_smle","ase_beta0_smle","bias_beta1_smle","ese_beta1_smle","ase_beta1_smle","cp_beta1_smle","re_beta1_smle","avg_ppv_smle"
390,0.1,0.644320004743327,-5.39737954708172e-06,0.0029214755287193,-2.98391361099524e-06,0.00492495101385064,2.63267611040244e-05,0.00341063627929476,-0.0524870233788233,0.00692488028978037,0.000312104113752833,0.00930268122233607,-0.000362083862465992,0.0157365936775176,0.0979450218614331,1.5165722138321e-05,0.00304994757627585,NA,4.61211261996888e-06,0.00498940412891421,NA,NA,0.974330877681144,0.644129134610572
390,0.25,0.643130015787717,4.06113841313501e-05,0.00292376369920764,8.63322813458737e-05,0.00487167893678777,2.57682397044297e-05,0.00335422239685345,-0.0525088444925487,0.00692652213870725,0.000391550499223037,0.00588736399176803,-0.000281375204358246,0.00967007429874551,0.253803551981026,3.61202049819166e-05,0.00300020432256946,0.00293183300129956,0.000124472647630455,0.00502055453619487,0.004925029306549,0.938,0.941572876848991,0.643108279785516
390,0.5,0.643974308065953,0.000117357457124534,0.00302877021518167,-0.000321766271249171,0.0049171999747574,0.00015636741357973,0.00356401344322414,-0.0527756910921628,0.00668612437533119,0.000140270816392637,0.00420146727263762,-0.000332512717004402,0.00701263341428053,0.491669726060708,0.000111773107827335,0.00306072413526177,0.00286619142698698,-0.000340380694408686,0.00497619069087421,0.0048370040844099,0.949,0.976431345062993,0.644206625628159
390,0.75,0.644373427152805,-9.15274954237468e-05,0.0029229644129211,0.000124010742472463,0.00481484962122089,-0.000120540242148426,0.00338290652631984,-0.052281678106831,0.00727512605720807,-0.000107419248047781,0.00332301999398862,0.000155558460481922,0.00549860367586282,0.766762066518652,-9.31846452099361e-05,0.00295423964593353,0.00284949730895486,0.00014239897669946,0.00486308399838665,0.00480929380605715,0.942,0.980261426103629,0.644332577916253
2200,0.1,0.643486319817835,-3.67959046456891e-05,0.00118901901164187,4.05877442004003e-05,0.00208137209178084,-8.87339108285389e-06,0.00138773805336873,-0.0525677170380119,0.00293018460953249,-7.85275167948305e-05,0.00394348597253727,-0.00016056317345233,0.00642285187771858,0.105013139131032,-2.97174604914557e-05,0.0012222728767124,0.00126668885801825,3.56742283516993e-05,0.00215077025421365,0.00209901452665038,0.939,0.936507826434703,0.643431647915881
2200,0.25,0.643080926578822,-5.13105833263261e-05,0.00124921723818641,4.14885574468241e-05,0.00210263167507558,-5.31694247885538e-05,0.00145344556824523,-0.0525719890901588,0.00306602119595017,-0.000169571694800063,0.00244543772279395,0.000133285947534599,0.00420686427529109,0.249809760855284,-5.27734529585535e-05,0.00128045158863674,0.0012533741948332,3.39978287430913e-05,0.00215637530166201,0.00208653903525556,0.947,0.950774898235966,0.643149693652007
2200,0.5,0.644765503707351,2.83953958282642e-05,0.00122004868902673,1.49890899144342e-05,0.00209814895548674,1.39029624644185e-05,0.00142705061382306,-0.052306370422727,0.00291370628814045,5.93715725129317e-05,0.00173490045008859,2.33810290070141e-05,0.0029551981336998,0.504079953622965,1.8798461833671e-05,0.00123275180372641,0.00123832330820987,-6.32810490258038e-06,0.00215115130855039,0.00206919677161898,0.942,0.951328957017678,0.645001192051691
2200,0.75,0.644383277652756,2.1411628502197e-05,0.00122555886267008,-1.41581705137322e-05,0.00208153649078539,2.94632185415684e-05,0.0014231536179593,-0.0524321985269501,0.00293107807635676,3.65098272938649e-06,0.001431920033256,3.01291469013479e-05,0.00242785020329698,0.735062525590294,2.83968026435683e-05,0.00123531020416994,0.00122679613498845,-3.87204274032721e-06,0.00210220360230185,0.00205812393020071,0.937,0.980434320826828,0.64425554390983
