"sim","N","beta0","beta1","beta2","q","eta0","eta1","ppv","queried_ppv","avg_prev","fpr","beta0_gs","se_beta0_gs","beta1_gs","se_beta1_gs","beta2_gs","se_beta2_gs","eta0_gs","se_eta0_gs","eta1_gs","se_eta1_gs","beta0_n","se_beta0_n","beta1_n","se_beta1_n","beta2_n","se_beta2_n","beta0_cc","se_beta0_cc","beta1_cc","se_beta1_cc","beta2_cc","se_beta2_cc","eta0_cc","se_eta0_cc","eta1_cc","se_eta1_cc","beta0_mle","se_beta0_mle","beta1_mle","se_beta2_mle","beta2_mle","se_beta1_mle","eta0_mle","se_eta0_mle","eta1_mle","se_eta1_mle","msg"
"11422-11",2200,-2.2778541,0.1764544,0.1413503,0.1,0.847297860387203,0.3897812,0.7,0.687898089171974,0.114548729844528,0.431947069943289,-2.27959877611174,0.00164093139890842,0.176114249975325,0.00196951218330212,0.15071483201023,0.00634186241079915,0.744510388154925,0.070163860227275,1.67129965602287,0.451492675656662,-2.28344099576718,0.0021239963175398,0.128646819003037,0.00226044284545826,0.185572023352269,0.00634086755697117,-2.27371666026153,0.00502566960953848,0.169300487312458,0.00619089942912677,0.149981272580907,0.0168718407596258,0.699282563865974,0.208357529929429,0.798110361055366,1.0753320358546,-2.27941346916496,0.00177459196664002,0.176303913402882,0.00695302629804344,0.150335880804816,0.00193588406184115,0.733716573522433,0.0751102214576404,1.68271116421922,0.476414967023808,""
"11422-12",2200,-2.2778541,0.1764544,0.1413503,0.1,0.847297860387203,0.3897812,0.7,0.751592356687898,0.114388548329418,0.39426523297491,-2.27756253212327,0.0016430366117248,0.177359663002671,0.0019609727588591,0.143586678258399,0.00591024940979437,0.90773791137602,0.0716728521726404,-0.0514029229154759,0.370578664880848,-2.27636432925673,0.00202757445839958,0.127926856296439,0.00217684541435885,0.14173405976259,0.00590899368319144,-2.27672268140651,0.00593456259487365,0.174642943855616,0.00642129992481436,0.169741173708009,0.0209128425469954,1.37232043199016,0.245293842401102,-2.35801614404869,1.33871719373725,-2.2785728874668,0.00176844178198269,0.177425138870146,0.00626800397165023,0.145557451075299,0.00192995065023407,0.947256175796929,0.0760808960979483,-0.137519923114286,0.383392889457965,""
"11422-13",2200,-2.2778541,0.1764544,0.1413503,0.1,0.847297860387203,0.3897812,0.7,0.68944099378882,0.114207536681607,0.400179856115108,-2.27831137906644,0.00164435852605953,0.175967782680653,0.00196094968238384,0.146351304636507,0.00625710884172279,0.888822452986669,0.0710257417651749,0.045228387486521,0.377682114692696,-2.27759795655611,0.00203348733914073,0.126988694153847,0.00218418748236066,0.146412699113019,0.0062416924638094,-2.27547050543468,0.00521416435188467,0.176831523799519,0.00620346952231697,0.123272403133512,0.019825778703525,0.82331413952776,0.213026441405848,-0.212462394051682,1.04484643188848,-2.27853606926355,0.00177622213056357,0.176253333100072,0.00696848974567729,0.146798852805165,0.00192973077922084,0.890435231317502,0.0753679858977199,0.0304775788502436,0.395075289996921,""
"11422-14",2200,-2.2778541,0.1764544,0.1413503,0.1,0.847297860387203,0.3897812,0.7,0.70253164556962,0.114030914647993,0.416440831074977,-2.27836542847151,0.00164314938530593,0.174886396593443,0.00196380727605543,0.138474248557089,0.00636221047984345,0.833838505181139,0.0705576399302153,0.265045345499705,0.39573550544963,-2.28147800867079,0.00207161476259461,0.129230100407136,0.00221254914286996,0.145658711052254,0.00638069397550753,-2.28746776467944,0.00527280353798628,0.182838124114682,0.00622769076172562,0.153890529925602,0.0211579377036874,0.821795748924209,0.231080574426059,0.352619305505566,1.4407997960069,-2.27783686134546,0.00176891115261178,0.174629789655876,0.0074405402701244,0.136482043024127,0.00193300022223566,0.817457100625977,0.0747960768587549,0.356660716526797,0.419161566609507,""
"11422-15",2200,-2.2778541,0.1764544,0.1413503,0.1,0.847297860387203,0.3897812,0.7,0.717791411042945,0.114302095186878,0.433843384338434,-2.27760822537815,0.00165497774244584,0.178579840195767,0.00196049071242563,0.138236541697546,0.00673197127064908,0.681189004875974,0.0712200300090236,1.2791025467795,0.453969184772812,-2.2799017416435,0.00213231010897618,0.126010448413124,0.00223074184223181,0.165302352081566,0.00675874843398092,-2.280125456575,0.00529867007930783,0.178194762314756,0.0062369898206615,0.144299253128411,0.0194703734558433,0.694881552936912,0.223398041029578,2.25757899857383,1.45403816580545,-2.27714966058814,0.00177954974761025,0.179107434693286,0.00722001569147613,0.138372547061019,0.00192545408836501,0.657706112720893,0.0747386606410928,1.23986021764664,0.466862404585715,""
"11422-16",2200,-2.2778541,0.1764544,0.1413503,0.1,0.847297860387203,0.3897812,0.7,0.662420382165605,0.114343078015554,0.416131989000917,-2.27928588724487,0.00166177076319973,0.177491311901793,0.00196476628168141,0.146033422613913,0.00633762895394108,0.829192961164616,0.0713761444655804,0.600738248770074,0.428731224410992,-2.28229332067805,0.0021107443164579,0.131178350603408,0.00222555184588035,0.15879031647495,0.00635956240939524,-2.27941424671221,0.0051629328137272,0.174694981349975,0.00621774650747194,0.148484944297571,0.0197745783191899,0.6622416528382,0.216754507101234,0.111154708743957,1.27885765366594,-2.28004618305044,0.00181106331737074,0.177569356865211,0.00677437810845566,0.147563873270916,0.00193353234867199,0.857217552218657,0.0760263288801019,0.534070639061276,0.443538413304261,""
"11422-17",2200,-2.2778541,0.1764544,0.1413503,0.1,0.847297860387203,0.3897812,0.7,0.695652173913043,0.114721678097406,0.40205223880597,-2.27549154290813,0.00167954678510834,0.175056078033016,0.00196414548942449,0.136324168305377,0.00633847351008654,0.945037927870507,0.0723559402570155,0.149005720894416,0.395917100748267,-2.27468095507568,0.00208951636133914,0.127932612875195,0.00221154803412334,0.139872912910509,0.00635452593725777,-2.26803426770077,0.00515715642639222,0.170669171347896,0.00620487281947633,0.118388163030887,0.019603749625688,0.598770614773749,0.227831921883271,1.97839206413608,1.40025506073005,-2.27566814001673,0.00181255243424345,0.175224425873529,0.00682125177616493,0.138610116362122,0.00193251220417503,0.948906689157052,0.0764496618217049,0.0444455271016976,0.406607383731896,""
"11422-18",2200,-2.2778541,0.1764544,0.1413503,0.1,0.847297860387203,0.3897812,0.7,0.671140939597315,0.114050997006154,0.408108108108108,-2.27923298920026,0.00162749361170989,0.177358239417009,0.00196471988676994,0.144181631405862,0.00615542769719255,0.859267875529145,0.0689257189455936,0.181209624554993,0.39222208712669,-2.27853662040308,0.00204611769690657,0.127107974196493,0.00220092213951727,0.147310586021786,0.00615379088652226,-2.27538078980219,0.00494197060705054,0.166883106730424,0.00622506400965426,0.14260161654232,0.0226932834214544,0.651253524661511,0.21931617319699,0.636028481103632,1.38959388661035,-2.27814347384492,0.00175138899508533,0.17745159105559,0.00678567618229589,0.136916663911914,0.00193995484182911,0.813774753095602,0.0730349708257275,0.505374405101741,0.441649130644363,""
"11422-19",2200,-2.2778541,0.1764544,0.1413503,0.1,0.847297860387203,0.3897812,0.7,0.685534591194969,0.113755412350917,0.404865334491746,-2.2784087947373,0.00164129683287552,0.173565683442742,0.00196267727666885,0.147922371432358,0.00627855166723347,0.752216174546447,0.07082795315153,0.54530378299364,0.411430260197497,-2.28149499527548,0.00206523328151997,0.125578572281361,0.00217925281917196,0.160294153739541,0.00631445466308291,-2.28153790315581,0.00513502271637589,0.180820727269907,0.00620671677231575,0.128677784737255,0.0173754093321364,0.593537813329778,0.213575880312198,1.63158236345231,1.21055893188799,-2.27851331519196,0.0017828469693219,0.173583271634973,0.00692873412024397,0.147298812626957,0.00193138520848861,0.755103889319248,0.0763180789657507,0.581445102530965,0.437406032169443,""
"11422-20",2200,-2.2778541,0.1764544,0.1413503,0.1,0.847297860387203,0.3897812,0.7,0.803680981595092,0.114171667885379,0.402727272727273,-2.27943677227633,0.00166908161709389,0.176577892798128,0.00196613741242055,0.141220270736916,0.00625040286244857,0.900396841890628,0.07244834796189,0.0815617428608407,0.410265484108011,-2.27796537691356,0.00208270033059746,0.126705524342509,0.00220192880566164,0.14254114881569,0.00627212531914059,-2.2813310197046,0.00564989588721889,0.178511550073424,0.00638016085386502,0.1614347734298,0.0215951088755419,1.39755846701428,0.246198905876855,0.116877072851066,1.45697506495748,-2.27978586252446,0.00180928550226018,0.176142386024622,0.00704461443509061,0.143662279476989,0.0019373387121694,0.92551578906015,0.0773275006264616,-0.0387692510256459,0.431421941985363,""
