"sim","N","beta0","beta1","beta2","q","eta0","eta1","ppv","avg_prev","fpr","beta0_gs","se_beta0_gs","beta1_gs","se_beta1_gs","beta2_gs","se_beta2_gs","eta0_gs","se_eta0_gs","eta1_gs","se_eta1_gs","beta0_n","se_beta0_n","beta1_n","se_beta1_n","beta2_n","se_beta2_n","beta0_cc","se_beta0_cc","beta1_cc","se_beta1_cc","beta2_cc","se_beta2_cc","eta0_cc","se_eta0_cc","eta1_cc","se_eta1_cc","beta0_mle","se_beta0_mle","beta1_mle","se_beta2_mle","beta2_mle","se_beta1_mle","eta0_mle","se_eta0_mle","eta1_mle","se_eta1_mle"
"11422-11",2200,-2.2778541,0.1764544,0.1413503,0.1,1.38629436111989,0.3897812,0.8,0.113045010451957,0.162287480680062,-2.27979265243937,0.0017752384054071,0.178781433069592,0.00216040665682014,0.145073109858879,0.00503682486303168,1.41233031512889,0.10770589456367,0.840039140721043,1.30344102202598,-2.28190855489037,0.00201892283904969,0.150255320143576,0.00225316616464314,0.149085983655824,0.00526057148245894,-2.27601923079511,0.00533535109870505,0.173842423335038,0.00686657926270225,0.139092774156117,0.0162983237303681,0.330603029890606,0.3917311425601,15.9802353843222,6.68167672883902,-2.28032476932106,0.00185158253594615,0.178296316108443,0.0051158445830645,0.145831267702907,0.00212167879086107,1.45169793080034,0.11755528758063,0.962071981191825,1.4033142317222
"11422-12",2200,-2.2778541,0.1764544,0.1413503,0.1,1.38629436111989,0.3897812,0.8,0.11289349848373,0.147328244274809,-2.27844822735348,0.00176545427593843,0.178473827738252,0.00216468399588839,0.133158075314648,0.0048932066398754,1.48319061591562,0.108160326075986,0.765013972792044,1.26089822711972,-2.27837132605273,0.00198152346277527,0.14867149965059,0.00224028405871061,0.13367273437891,0.00509145810658489,-2.2634003481984,0.00624417512727834,0.167043026989728,0.00714268823986703,0.108248914984403,0.0183240237345247,1.64125232229805,0.35481345528272,-1.27840019339776,4.40744127015264,-2.27875850604907,0.00184534705726029,0.178422908878723,0.00497402885109719,0.133966220860003,0.00213168579352928,1.52278293898057,0.11487107297652,0.363488193191396,1.28811158235938
"11422-13",2200,-2.2778541,0.1764544,0.1413503,0.1,1.38629436111989,0.3897812,0.8,0.112904140227559,0.161240310077519,-2.27954067478382,0.00177034169402799,0.178618607721322,0.00216746600580869,0.139179050160714,0.00509542853743491,1.60066530443223,0.111387583012216,-2.16881900984814,1.35349036037213,-2.2761460263008,0.00200231923154767,0.143348743071556,0.00225209445452908,0.132157679637521,0.00531208752593395,-2.27906901102317,0.00575773455517024,0.171712976494963,0.00692122882295757,0.139941644896554,0.0176611618415085,1.56766804992424,0.345899256643394,-1.48794654868205,4.51802297500471,-2.27965468335391,0.00183190741907119,0.178469263931791,0.00514415292732088,0.139346945461863,0.00213237708666696,1.61244750677872,0.118131872144272,-2.17362029999451,1.41199128462656
"11422-14",2200,-2.2778541,0.1764544,0.1413503,0.1,1.38629436111989,0.3897812,0.8,0.113310882712782,0.158339738662567,-2.27791406522792,0.00176803936868234,0.17841086418978,0.00216615094018483,0.141147207369656,0.00458915247249346,1.45064759993685,0.107215833414665,0.371758721812465,1.22404524183532,-2.27688691222279,0.0020046339134435,0.145929068415084,0.00225478406094133,0.139903892967769,0.00479561823803423,-2.28373860441672,0.00575974682400348,0.181301907823908,0.00691109230955103,0.15809473089429,0.012850196300683,1.83340901252275,0.311249925906826,-4.63379496761023,2.7654570418515,-2.27747057297953,0.00181025916928373,0.178348337984039,0.00461035347400076,0.1405611280466,0.00212993546575978,1.43252756980039,0.111461945874264,0.283099607372078,1.25420381959535
"11422-15",2200,-2.2778541,0.1764544,0.1413503,0.1,1.38629436111989,0.3897812,0.8,0.11281222969708,0.133282559025133,-2.27998717911371,0.00173493863045113,0.1782679862363,0.00215745780879225,0.141553560466571,0.00470631164299169,1.5602380772944,0.114821449256881,1.10986670526063,1.44014335959778,-2.2805142376596,0.00192108174820321,0.151600012555705,0.00221690911425789,0.143014161574127,0.00486591615229859,-2.26809675658251,0.00583316661924961,0.175221014251553,0.00697199722782275,0.0840057347854799,0.0179523828233317,1.15180604214348,0.379788467766657,9.70055069592848,6.92020856468182,-2.27963908074881,0.00177596828115582,0.17823139287413,0.00472859586012696,0.141120268881802,0.00212121430316813,1.54821637773548,0.12203467509612,0.933990345067959,1.4950018746379
"11422-16",2200,-2.2778541,0.1764544,0.1413503,0.1,1.38629436111989,0.3897812,0.8,0.113335021835945,0.154394299287411,-2.27904842467451,0.0018277712882126,0.17835427446656,0.00218408711029037,0.139890636639837,0.00506473107542495,1.65639630601016,0.110645240949119,-1.43233885696377,1.24886215741968,-2.27730358693521,0.00206635853847776,0.147686671415961,0.00228380538769042,0.13598948290559,0.00529404282970682,-2.28988965457377,0.00627770870798775,0.190839319540922,0.0070600011404626,0.166199120834682,0.0181339431011425,2.03229692219384,0.406493265827947,-2.71273146115577,4.63584987185982,-2.27951679382853,0.00190620216767468,0.178708266172703,0.00515013010874638,0.140827742797426,0.00214655854745175,1.68277490981748,0.11786656492057,-1.65915889264307,1.30207311675044
"11422-17",2200,-2.2778541,0.1764544,0.1413503,0.1,1.38629436111989,0.3897812,0.8,0.113027146229071,0.169753086419753,-2.27545889697389,0.00176651060435689,0.175116524796048,0.00216143464876749,0.12649276554624,0.00491965677630403,1.39337988063101,0.104505648836215,0.336799151452615,1.241529253956,-2.27752575681537,0.00202298808510771,0.145951593265539,0.00225973902327693,0.130002615989969,0.00515197564178156,-2.27131581988194,0.00537028024077026,0.178696729372324,0.0068217084983697,0.0800334383224723,0.0155971524993182,1.03170970946917,0.304753143362395,2.27740435577903,4.30962874665055,-2.27614720833832,0.00185639135704944,0.175067150719391,0.00501678126670794,0.127989332681125,0.00211649852992579,1.45801567980509,0.114728215690792,-0.176070990311964,1.3024946989158
"11422-18",2200,-2.2778541,0.1764544,0.1413503,0.1,1.38629436111989,0.3897812,0.8,0.112925888519306,0.151492537313433,-2.27748496052473,0.00172972822744498,0.180707270927504,0.0021616089469328,0.138255218434236,0.00478695839714985,1.37579462063615,0.109776749437286,1.18232012370669,1.37403253388655,-2.27867321057861,0.00194865038072506,0.150108449625504,0.00222965312789369,0.140909524188686,0.00498313597494431,-2.26713997512771,0.00533611143768381,0.170944749021399,0.00688148062723145,0.107133893684656,0.0143165871478787,1.33878356731959,0.366442182807489,1.69447823593594,4.64280458804756,-2.27782868488875,0.00179134909280691,0.180716775068547,0.00483555995370264,0.138766589625548,0.00212437242181588,1.39266127076156,0.116239943590779,1.23171341678862,1.42874054000527
"11422-19",2200,-2.2778541,0.1764544,0.1413503,0.1,1.38629436111989,0.3897812,0.8,0.112901176562179,0.156561780506523,-2.27901447789288,0.00179256233699882,0.176017132104224,0.00216739994493648,0.146351527909681,0.00528493710673052,1.47456263958152,0.110607797403201,0.10372111653605,1.28573763622709,-2.27865661656929,0.00202634153844464,0.14515024458328,0.00225134731442329,0.145858552185772,0.00551418962569232,-2.28220276994106,0.00538532508624201,0.178948863203563,0.0068777544703324,0.16265665154645,0.0145113226915671,1.66713864684781,0.395442796607634,-0.847623168842199,4.1179576766597,-2.27881901741764,0.00186294760327732,0.175673014995943,0.00538251374803929,0.146151023920936,0.00214546654011761,1.48198354567622,0.118295773645423,-0.0324800561348918,1.37857182917522
"11422-20",2200,-2.2778541,0.1764544,0.1413503,0.1,1.38629436111989,0.3897812,0.8,0.113081576926237,0.153963414634146,-2.27872519919108,0.0017846803792923,0.17640580476935,0.00217772403447737,0.146496645932818,0.00482091052949129,1.47251698985787,0.111415273473486,0.133405761034841,1.30033323838351,-2.27724620464096,0.00201849533067697,0.143857230260702,0.00226248424836675,0.144283847671914,0.00504081305162766,-2.28310168393086,0.00611724547034812,0.180735136852064,0.00700329711970222,0.166921087208919,0.019264531437897,2.01517823072105,0.449629434494833,-4.59203859385883,5.18120264474243,-2.27880138154231,0.00185288345752097,0.176242137673052,0.00487867655852278,0.146494049891557,0.00214257500487105,1.47322230278416,0.117345935422025,0.307395948486312,1.36165985351845
