"sim","N","beta0","beta1","beta2","q","eta0","eta1","ppv","avg_prev","fpr","beta0_gs","se_beta0_gs","beta1_gs","se_beta1_gs","beta2_gs","se_beta2_gs","eta0_gs","se_eta0_gs","eta1_gs","se_eta1_gs","beta0_n","se_beta0_n","beta1_n","se_beta1_n","beta2_n","se_beta2_n","beta0_cc","se_beta0_cc","beta1_cc","se_beta1_cc","beta2_cc","se_beta2_cc","eta0_cc","se_eta0_cc","eta1_cc","se_eta1_cc","beta0_mle","se_beta0_mle","beta1_mle","se_beta2_mle","beta2_mle","se_beta1_mle","eta0_mle","se_eta0_mle","eta1_mle","se_eta1_mle"
"11422-1",390,-2.2778541,0.1764544,0.1413503,0.1,0,0.3897812,0.5,0.109443062531541,0.339100346020761,-2.28265862266307,0.00363405807155588,0.172052599519674,0.00552024499125668,0.15494506737905,0.0119128945767833,0.291562548052089,0.200457335944154,-5.04924061510227,2.76390647348566,-2.28324563526073,0.00482001809421002,0.0932986488197642,0.00545526760406116,0.150328536404946,0.0129993975714564,-2.29002838903346,0.0108974838865658,0.174979301858835,0.0204179989863208,0.203259209250132,0.0612978705392125,-0.879868223616381,0.779643750546948,-0.73125400676262,12.3464016614532,-2.28079915231795,0.00371371923027178,0.174689951914508,0.0119302651206496,0.151128806227628,0.00586257545729624,0.163120586210463,0.216194516159398,-4.31286868571004,2.93399309783491
"11422-2",390,-2.2778541,0.1764544,0.1413503,0.1,0,0.3897812,0.5,0.109232828053646,0.321192052980132,-2.27887898095635,0.00340193803828074,0.171289029637706,0.00564768482080188,0.142117768437042,0.00974516513785859,0.00498147633183426,0.202035199514532,-1.70734917813132,2.31974093655008,-2.28035320393444,0.00435062723689925,0.0881518444495623,0.00522506641064616,0.142250102656472,0.0103713213465854,-2.26166272021943,0.0131383031046321,0.151410970253389,0.0181735022724594,0.0569528268778934,0.0790003671193579,0.814246254934539,0.693899842224424,-19.9835243135867,13.5585600962501,-2.28009864022802,0.00349525637446471,0.170171086607624,0.00962034462352146,0.144146659855468,0.00580423597081689,0.0851395747176694,0.217010592973066,-2.11814914739982,2.40190533447792
"11422-3",390,-2.2778541,0.1764544,0.1413503,0.1,0,0.3897812,0.5,0.109669389471218,0.338983050847458,-2.28188385384383,0.00361781615903078,0.188244664025973,0.0055223334598357,0.135504245566631,0.0111806859034811,-0.0865423208259978,0.199178040276442,0.536354360871244,2.10498370886952,-2.27885215414552,0.00479051231532571,0.0915970159979422,0.00538779223226619,0.13152700349139,0.0121846327650958,-2.27962630656853,0.01386250340005,0.16556416882766,0.0190639507452686,0.0889710255889664,0.0393679463799025,0.0357946742204898,0.774977323633795,6.78020889998813,10.8570749138175,-2.28140991808986,0.00373299644221805,0.188230282660037,0.011284252986799,0.134479977462527,0.00555505872979227,-0.109925588241447,0.207663402678468,0.69995636266402,2.16757644362606
"11422-4",390,-2.2778541,0.1764544,0.1413503,0.1,0,0.3897812,0.5,0.110797353557668,0.338235294117647,-2.277642116116,0.00376007353382695,0.1812273945414,0.00528065741719345,0.135077068831142,0.0124809068797146,0.482745315020544,0.203237475696558,-4.03342947203595,2.54532795111338,-2.2673742158507,0.00493598380039559,0.0932453585003014,0.00543764457138272,0.112133558037247,0.0135557969047872,-2.28268435540981,0.0112200943929741,0.183690967148356,0.016752112818593,0.124765794211056,0.0265934901206843,-0.21617523888598,0.56358659175773,-0.340042782647619,5.37203948111276,-2.27684058026753,0.00398385452754599,0.181222192076621,0.0126803269534768,0.133658622906005,0.00510422992225021,0.454073073999421,0.212370920093234,-3.96714953612194,2.59667594162437
"11422-5",390,-2.2778541,0.1764544,0.1413503,0.1,0,0.3897812,0.5,0.109627205409948,0.352159468438538,-2.27845651712867,0.00348729984701659,0.173921788840734,0.005641530794095,0.146094152654066,0.00983920882498178,-0.0675909641543688,0.198471617485186,-1.68648810208936,2.17139490882005,-2.27846350443264,0.00464598960328508,0.0840397773869682,0.00534927090564216,0.143961906509484,0.0106854720745531,-2.27120334084446,0.0139127070637879,0.169511733853428,0.0179679233377772,0.159022423190275,0.0492268935097972,0.753018702072137,0.885643829263419,-0.82369426683734,9.51714581024926,-2.27787069606724,0.00359124495824723,0.173763698522255,0.00984560059291402,0.143801434493432,0.00590140079272637,-0.151051791749264,0.211464271523242,-0.463877957598936,2.18303737513644
"11422-6",390,-2.2778541,0.1764544,0.1413503,0.1,0,0.3897812,0.5,0.110418858632483,0.279310344827586,-2.27593918364071,0.00360485670738188,0.175849912624228,0.00550772027161469,0.135048610546331,0.00962356056738697,0.27410715934232,0.209137298401773,-1.12279979417053,2.58448612068282,-2.26771228512623,0.004538274934015,0.0884709354960682,0.00537331760014143,0.122550467787313,0.0103991764570346,-2.28689258347358,0.0132381771392056,0.1799410856825,0.0182115033525158,0.227999150563609,0.0593205036591918,0.915438922248056,0.789662418877719,-13.8849312614995,12.7435796794811,-2.27562301571127,0.00380613103142134,0.177731250880744,0.00971353748995841,0.136555268723065,0.00536078613574837,0.360987126217619,0.222298939514361,-3.62553664482336,2.73556625771521
"11422-7",390,-2.2778541,0.1764544,0.1413503,0.1,0,0.3897812,0.5,0.11014409588995,0.31095406360424,-2.2831130220683,0.00360455783798206,0.175239881106901,0.0053699853057505,0.154389484974552,0.0100769865635058,0.119293323179786,0.213060788393477,1.22926628664463,2.5436941353573,-2.28421118020345,0.0046392990014954,0.101201865257986,0.00534023642753284,0.15697256361807,0.010857521766419,-2.28454263916804,0.0128670512716421,0.163414090141502,0.0170621697174202,0.142564964061174,0.0493722521085663,0.0552896513400965,0.751966485412089,3.78987477843609,8.65152567205365,-2.2817640366223,0.00374291372983592,0.174664556229355,0.0101208955100531,0.15109426048379,0.00535620521738003,-0.00150228153937951,0.225995602333433,2.73657565105729,2.69967309130319
"11422-8",390,-2.2778541,0.1764544,0.1413503,0.1,0,0.3897812,0.5,0.110669443764473,0.284172661870504,-2.27566200873515,0.0037852868127482,0.168017962075845,0.00533873609219198,0.146080859979712,0.0119953666447553,0.277188317338431,0.215657172249141,1.14878269308221,2.53886448673036,-2.27612603817095,0.00479136991224026,0.102288972810872,0.00538161042105436,0.148240432077488,0.0129631200603665,-2.27419156166834,0.0126843680424422,0.155587568831985,0.016768562013726,0.162420564050563,0.0422483077276687,-0.143973376478879,0.609167651557841,2.2313072400969,7.01929135960947,-2.27592596462384,0.00392264179587181,0.168071342671366,0.0120962993539248,0.147126255841087,0.00535764127749446,0.31595881693464,0.233018157970549,0.612856522133874,2.62933899861906
"11422-9",390,-2.2778541,0.1764544,0.1413503,0.1,0,0.3897812,0.5,0.109970188214644,0.36551724137931,-2.27352739305816,0.00368922564936251,0.179865676533858,0.0054628156040179,0.113727212001096,0.0129538101342638,-0.0596468080664539,0.203803456852712,0.022792410640614,2.45912014498626,-2.27178145319333,0.00507001723935054,0.0888157907450175,0.00550868781939219,0.110643122213073,0.0143628369589066,-2.26015379267934,0.0125177166721387,0.157631166719717,0.0170072071802726,0.0603952936625239,0.0668662684495004,0.719797048602311,0.746816655276114,-10.8957346414385,10.6125889578567,-2.27474043731309,0.00390761934072102,0.180325622643764,0.0132545830911748,0.117671156995301,0.0053562765409769,0.0292573954231996,0.211296694081106,-1.12257067103073,2.54757991334978
"11422-10",390,-2.2778541,0.1764544,0.1413503,0.1,0,0.3897812,0.5,0.111105193173676,0.363957597173145,-2.27032591795196,0.0034971600592942,0.16889002105796,0.00532945618639728,0.140431022433377,0.00924151858571528,0.127820169875336,0.193216957381848,-1.38284043298267,2.08536517184287,-2.26242125223349,0.00466690962228878,0.0787619134212649,0.005316015957796,0.129106027446315,0.00999613381484172,-2.27590678991754,0.0102287706283876,0.181969499167177,0.0204209539696993,0.156538676166306,0.0199351613680623,-0.923556262545694,0.742476949561644,1.59312536837188,11.5578487275924,-2.26992409755071,0.00368222045987739,0.170287585199394,0.00930409681151455,0.139981517541953,0.00536434443398786,0.0986769366605302,0.207782494504845,-1.42808773470336,2.30363194589272
