"sim","N","beta0","beta1","beta2","q","eta0","eta1","ppv","queried_ppv","avg_prev","fpr","beta0_gs","se_beta0_gs","beta1_gs","se_beta1_gs","beta2_gs","se_beta2_gs","eta0_gs","se_eta0_gs","eta1_gs","se_eta1_gs","beta0_n","se_beta0_n","beta1_n","se_beta1_n","beta2_n","se_beta2_n","beta0_cc","se_beta0_cc","beta1_cc","se_beta1_cc","beta2_cc","se_beta2_cc","eta0_cc","se_eta0_cc","eta1_cc","se_eta1_cc","beta0_mle","se_beta0_mle","beta1_mle","se_beta2_mle","beta2_mle","se_beta1_mle","eta0_mle","se_eta0_mle","eta1_mle","se_eta1_mle","mle_msg","sim_msg"
"11422-269",390,-2.2778541,0.1764544,0.1413503,0.1,2.19722457733622,0.3897812,0.9,0.870967741935484,0.117632531716233,0.223021582733813,-2.28119804416482,0.00460004423780713,0.182904478097946,0.00492458704237768,0.15542385156207,0.0157670333668743,2.03955231471036,0.252748133187734,0.446945481366117,1.46962607106718,-2.28060800120648,0.00512655201223536,0.162824500652842,0.00532019018758144,0.159793952759586,0.0157509569358869,-2.26063079865025,0.0158706262313847,0.163147881485241,0.0161165906808769,0.112189270191567,0.0645174100928062,1.95330236171684,0.827084756579242,-0.352144972950109,5.01081306831407,-2.28013532627142,0.00558499580040747,0.183520701140804,0.0182387982649349,0.152291401393512,0.0044423842583345,1.9258143909557,0.279047033924598,0.700141085156779,1.52235520188671,"Fitted probabilities numerically 0 or 1 at convergence",""
"11422-270",390,-2.2778541,0.1764544,0.1413503,0.1,2.19722457733622,0.3897812,0.9,0.925925925925926,0.117862373364311,0.214814814814815,-2.27754572446284,0.00461389415464291,0.178567726906531,0.00496733158268556,0.149135634713152,0.0138315813239085,2.3950348234217,0.256904242102926,-1.60037960328725,1.06418466098026,-2.27624746563042,0.00506189540897706,0.163387798462337,0.00534657407778075,0.129273276878232,0.0138141704967175,-2.28729953899325,0.01337444178216,0.195556924240313,0.0157992998697383,0.11616801970465,0.0605185428209847,2.38257969717118,0.901112832490682,1.74013557998396,7.1477012331258,-2.27981199692152,0.00581316367774517,0.179829640278719,0.0158673097357408,0.150839666265211,0.00465174521291361,2.53024194799481,0.305392579417573,-1.78707845230637,1.13036653302488,"Fitted probabilities numerically 0 or 1 at convergence",""
"11422-271",390,-2.2778541,0.1764544,0.1413503,0.1,2.19722457733622,0.3897812,0.9,0.966666666666667,0.116551269142979,0.186666666666667,-2.28060695429325,0.00432846995646863,0.176211945113192,0.00483917519408282,0.157909146683229,0.0149200613876305,1.99555460148112,0.24977971721353,1.46309358082661,1.59710524680761,-2.28098197833943,0.00475521024245324,0.157500338719614,0.00511826068582332,0.171742026253328,0.014947695215509,-2.26901995548311,0.0161311825370836,0.158017083587265,0.0171468682227791,0.194022531460004,0.062896118235545,-1.58470567828368,2.74961865740474,567.924152744354,615.940042700359,-2.28214482809426,0.00478203615045577,0.176743633188062,0.0175101290260097,0.166846058384742,0.00436046894972838,2.1083898304256,0.278999717404885,0.460267867044033,1.56568459673055,"Fitted probabilities numerically 0 or 1 at convergence",""
"11422-272",390,-2.2778541,0.1764544,0.1413503,0.1,2.19722457733622,0.3897812,0.9,0.869565217391304,0.116566780330243,0.170886075949367,-2.26873064673787,0.00433191531732642,0.168548614078289,0.0048077391808179,0.125181288507431,0.0132885729682503,2.380788956438,0.26138881076257,-1.76295794859674,1.10345065750926,-2.26731624001507,0.00465857911435257,0.153148338501116,0.00502629003844534,0.108750978642228,0.0133218848654267,-2.30229954723113,0.0128444262033464,0.20842373584624,0.0148393844257741,0.188041143491149,0.0544067048084903,1.56827535917706,0.839085351543849,4.02471234324101,7.99996966165597,-2.26922625747822,0.005143733690639,0.169540439144291,0.0201833640886477,0.126087718628567,0.00423542872660839,2.36074751878077,0.315075105880682,-1.77559190653486,1.40836203677893,"Fitted probabilities numerically 0 or 1 at convergence",""
"11422-273",390,-2.2778541,0.1764544,0.1413503,0.1,2.19722457733622,0.3897812,0.9,0.962962962962963,0.117303884066117,0.207407407407407,-2.27384112252934,0.00458120065223212,0.172093009552396,0.00496580713884391,0.136945962072502,0.0158939933296505,2.22078228090362,0.260705122366634,-0.113532159273508,1.61960668258197,-2.27591980117123,0.00508013722154984,0.159098495200435,0.00534206941777424,0.136939162099627,0.0159157512350977,-2.26080169012492,0.0154592493559478,0.155800985416445,0.0162018329605256,0.157116586912759,0.0278465236854227,-23.9979222499106,703.383072861304,95504.8064215678,2289867.06301302,-2.27619830521567,0.00550339459592064,0.17335786131606,0.0176310401277049,0.146023532586577,0.00463845392131587,2.37789053215874,0.310724925472154,-1.10728520705178,1.72611741294904,"Fitted probabilities numerically 0 or 1 at convergence",""
"11422-274",390,-2.2778541,0.1764544,0.1413503,0.1,2.19722457733622,0.3897812,0.9,0.875,0.117419047566523,0.182481751824818,-2.27720562085343,0.0047548480874676,0.176542615548423,0.00500616670948405,0.137327649261704,0.0145420344464914,2.00880878978931,0.273216894887886,3.52053820882996,2.39803323923626,-2.2790590582588,0.00529542458464379,0.161970937570962,0.005375840939564,0.151998889112405,0.0146866153480933,-2.28154345100171,0.015921479899714,0.176886300204001,0.0175779743189491,0.166485686476729,0.0360793368838609,1.7063882799812,0.869518209390655,5.49728164180602,15.3767691136719,-2.27623873047149,0.00587189833400831,0.175947028388147,0.0161768175161646,0.134566580201052,0.00477534761964866,1.93811569780757,0.307849558222801,4.22314494655993,2.69838012765866,"Fitted probabilities numerically 0 or 1 at convergence",""
"11422-275",390,-2.2778541,0.1764544,0.1413503,0.1,2.19722457733622,0.3897812,0.9,0.827586206896552,0.116577868117917,0.22875816993464,-2.27704022234305,0.00427842345198883,0.178560080305158,0.00481621006983834,0.124714964955649,0.0136689662602632,1.88844169520794,0.222222535823614,0.207015929893336,1.11850313759246,-2.2800420378302,0.00479742023697474,0.160871628245764,0.00517650520624306,0.128076732049175,0.0136817342402377,-2.30022505843107,0.0156237791782002,0.189545382507449,0.0159664984162723,0.173318887578071,0.0769401806987344,2.15448887128456,0.736542966824186,-6.29980783613109,4.98860603230801,-2.27935552588724,0.00506775049002968,0.179565636370196,0.0184083285765166,0.121455598152776,0.00436621578747562,2.00950749009646,0.275385339104822,0.556931594900859,1.40771649396383,"Fitted probabilities numerically 0 or 1 at convergence",""
"11422-276",390,-2.2778541,0.1764544,0.1413503,0.1,2.19722457733622,0.3897812,0.9,0.727272727272727,0.116566442168587,0.186666666666667,-2.27937120282995,0.00430406536665072,0.176744953271194,0.00484049715423633,0.148524654746294,0.0152294835489821,1.81813586400845,0.250658029402363,3.64804466144239,2.08725969923466,-2.28224339748646,0.00475722106551341,0.159624552058611,0.00512067212765615,0.173657628184982,0.0152087415056051,-2.28755502854374,0.0119807841534555,0.169837615662347,0.0149940200455126,0.176715449631883,0.0542671826168246,0.0216166547275866,0.711508307262548,9.83872282534794,6.66670356091624,-2.27859857272526,0.00527235752481359,0.176041473474103,0.0171300182644161,0.148051491028353,0.0044178366873766,1.79657885642723,0.2839222758017,3.63504307794368,2.1338298064531,"Fitted probabilities numerically 0 or 1 at convergence",""
"11422-277",390,-2.2778541,0.1764544,0.1413503,0.1,2.19722457733622,0.3897812,0.9,0.892857142857143,0.118330072049023,0.201680672268908,-2.28670921831852,0.00477740205813946,0.186722990613134,0.00515343389293329,0.150797820454432,0.0142756232211924,2.24185490541262,0.273369480437713,1.67661641209028,1.77741669344354,-2.2866228411363,0.00530162062768826,0.170644927123757,0.0055639373086218,0.163045414535238,0.0142527963556802,-2.30255805878992,0.0142018295636623,0.198762065723172,0.0156340471107311,0.176642302828246,0.0431322771346906,1.66876058293957,0.848766375177702,3.76965639886559,5.94401405303406,-2.28728532857539,0.00635183207387333,0.186922412736268,0.017683891879014,0.151424637458569,0.00506687206241759,2.27893218123906,0.327752456068313,1.64852862755067,1.89257678027971,"Fitted probabilities numerically 0 or 1 at convergence",""
"11422-278",390,-2.2778541,0.1764544,0.1413503,0.1,2.19722457733622,0.3897812,0.9,0.952380952380952,0.116488642590219,0.181208053691275,-2.28197159858624,0.00442316793873155,0.174485260625012,0.00485964076609569,0.155705406764796,0.0133298686774728,2.35711650268604,0.263880131228788,-1.22395922580098,1.11493240145038,-2.28038648245281,0.00478249095491915,0.158353256552385,0.00512812267207222,0.14286440115129,0.0133476516726594,-2.28286721944038,0.0125347001506492,0.181131571116362,0.0147861932252928,0.177020719774148,0.058038282414683,3.08663263369072,1.32962971757125,-0.766172750969392,6.71665696153073,-2.28208181275221,0.00534463297512246,0.173774741407173,0.017224824102097,0.158639001477319,0.00431486166592233,2.41763020383782,0.316473021128747,-1.49104417534249,1.16650895138718,"Fitted probabilities numerically 0 or 1 at convergence",""
