"sim","N","beta0","beta1","muU","sigmaU","q","access","avg_prev","fpr","beta0_gs","se_beta0_gs","beta1_gs","se_beta1_gs","beta0_n","se_beta0_n","beta1_n","se_beta1_n","beta0_cc","se_beta0_cc","beta1_cc","se_beta1_cc","beta0_smle","se_beta0_smle","beta1_smle","se_beta1_smle","ppv_smle","msg"
"11422-11",390,-2.245641,0.1549768,-0.7,0.8,0.1,1,0.111544395103402,0.315985130111524,-2.24459653863358,0.00290428962008595,0.156690345875607,0.00494747415092248,-2.24262580463842,0.00350827409648903,0.091377905101204,0.00472693705301397,-2.23914000874115,0.00931816041210681,0.172948562135377,0.0152603223879739,-2.24397106653352,0.00300847792672695,0.157432159084806,0.00512987140573295,0.577156341949386,""
"11422-12",390,-2.245641,0.1549768,-0.7,0.8,0.1,1,0.111839315739155,0.303846153846154,-2.24605234767438,0.00295678077019145,0.157700460091198,0.00486506020626132,-2.24471678710051,0.0035419803771581,0.0985859332835446,0.00473088753812858,-2.23868083180122,0.00951130651691608,0.138614275132174,0.0151919715675282,-2.24528204427521,0.00307208340323722,0.156367739255965,0.00474694961614229,0.618767211362279,""
"11422-13",390,-2.245641,0.1549768,-0.7,0.8,0.1,1,0.112552591737045,0.253968253968254,-2.23979210810001,0.00299208049607194,0.149343439953612,0.00479540460542513,-2.24079246421893,0.00346525121866473,0.10634751623953,0.00469521567529455,-2.23169477238133,0.00912110839398425,0.160137219819892,0.0155001418796034,-2.23991535764469,0.00315805701427915,0.149637315547903,0.00480481763702768,0.6836888069859,""
"11422-14",390,-2.245641,0.1549768,-0.7,0.8,0.1,1,0.110025868473826,0.341137123745819,-2.24506304044922,0.00275419292198467,0.153710035821024,0.00537653000010962,-2.24300691715259,0.00338998504555897,0.0714973220267207,0.00473238647396028,-2.25689111332315,0.00936667790995548,0.170407746979799,0.015391532771997,-2.24547412657923,0.00280146273573202,0.153334291940833,0.00599565589315855,0.478140654272378,""
"11422-15",390,-2.245641,0.1549768,-0.7,0.8,0.1,1,0.11212993151956,0.274131274131274,-2.2435709640302,0.00295526939063264,0.156774926730625,0.00484773308944177,-2.24304172403485,0.0034660832627359,0.103531377197763,0.00470283024775935,-2.23965391816277,0.0091374679284271,0.147937055716863,0.0157102478971568,-2.24353044469163,0.00305552695259697,0.155378370925878,0.00488261198257139,0.65434838815573,""
"11422-16",390,-2.245641,0.1549768,-0.7,0.8,0.1,1,0.111608403918186,0.301115241635688,-2.24388823035183,0.00290169637747901,0.156410231726592,0.00494060730938494,-2.24207922789855,0.00347015082636747,0.0931888344511986,0.00471365347682205,-2.25364752360093,0.00955331289935269,0.167220130622767,0.0151235797727609,-2.24468985358264,0.00300225112943761,0.155892399179673,0.00509718694590143,0.610314658888409,""
"11422-17",390,-2.245641,0.1549768,-0.7,0.8,0.1,1,0.112668836584845,0.298755186721992,-2.24659287671754,0.00307024356321671,0.157884504115174,0.00474291160362571,-2.24451578946132,0.00366199508853992,0.105523403774267,0.00476094222174122,-2.24933250767776,0.010163940572973,0.151438777799862,0.0147979527837344,-2.24786918128934,0.0032577419980901,0.156548943529888,0.0045716669822791,0.694433877669434,""
"11422-18",390,-2.245641,0.1549768,-0.7,0.8,0.1,1,0.111248911235674,0.353846153846154,-2.24934197943321,0.00295760827486171,0.152265167454672,0.00487539147209342,-2.25073337822965,0.00368057602023039,0.0943558315325532,0.00478396700602032,-2.25031192846728,0.00899478248236862,0.155961664362354,0.0160748203815782,-2.24774291812653,0.0030297744576697,0.153695034355588,0.00547146237167816,0.5621269727666,""
"11422-19",390,-2.245641,0.1549768,-0.7,0.8,0.1,1,0.111793304941849,0.297709923664122,-2.24552927040757,0.00294134101893538,0.157320859041567,0.00488293380894165,-2.24355198542685,0.00350782088331995,0.0968294070483605,0.0047212651475356,-2.25320174735196,0.00919095779180401,0.137126971773341,0.0158474080159492,-2.24486538572034,0.0029868422427097,0.158045801726012,0.00509200372711076,0.610180441715517,""
"11422-20",390,-2.245641,0.1549768,-0.7,0.8,0.1,1,0.111610754577231,0.314176245210728,-2.24495237372884,0.0029470065787945,0.150173944197481,0.00487718463932045,-2.24677280468373,0.00356144759487,0.0977425819797043,0.00473689132062733,-2.21844854128078,0.00904838299410195,0.142940180412883,0.0155073372546562,-2.24384704049479,0.00310318449733968,0.150252883540944,0.0051464759880439,0.597698500214652,""
"11422-21",390,-2.245641,0.1549768,-0.7,0.8,0.1,1,0.111878574533152,0.2890625,-2.24368409750223,0.00297205913593326,0.147915869041258,0.0048380331373761,-2.24540632301062,0.00352815317147814,0.100795565873648,0.00472236254043439,-2.25009830301446,0.00971743822390866,0.153401431243942,0.0149975246906253,-2.24368719149824,0.00305509566713959,0.147735697042104,0.00497366461258528,0.645058827400243,""
"11422-22",390,-2.245641,0.1549768,-0.7,0.8,0.1,1,0.111857076903652,0.303846153846154,-2.24314980455583,0.00295050638466964,0.150127043004251,0.00486602784357686,-2.24091383752107,0.00353248750066001,0.0920157480799165,0.00472532188218001,-2.24335248870755,0.00869795269422539,0.14667885946109,0.0170951806867061,-2.2422114447815,0.00306732250055516,0.152928882609857,0.00519093214741264,0.59882313352639,""
"11422-23",390,-2.245641,0.1549768,-0.7,0.8,0.1,1,0.111305199893183,0.32967032967033,-2.24497871692701,0.00288208228868723,0.156537757320897,0.004986303944597,-2.24377738792012,0.00351689785350917,0.0893811811741793,0.00473019907340066,-2.25233906939806,0.00858693047245304,0.182173370180879,0.0176203767392034,-2.24455667885155,0.00295551032047055,0.157270745445103,0.00558377132555357,0.557149080961242,""
"11422-24",390,-2.245641,0.1549768,-0.7,0.8,0.1,1,0.11072135154685,0.284671532846715,-2.24909487525151,0.00288142481704777,0.154002815519981,0.00501679995871236,-2.24824843415531,0.00340561740448432,0.0931514909575554,0.0047213883295485,-2.2357508660524,0.00880757770127175,0.137050975269635,0.0165227240438399,-2.24887526192208,0.00296231835355153,0.154283376357478,0.00537160153214465,0.594053543964195,""
"11422-25",390,-2.245641,0.1549768,-0.7,0.8,0.1,1,0.111354656107805,0.286792452830189,-2.24538881061676,0.00292583994951314,0.149310745379102,0.00492402969674662,-2.24458281918795,0.00346491831590144,0.0937383690088217,0.00472078724603022,-2.23720260909565,0.0100938026270373,0.161593925745472,0.0146565812358474,-2.24443205394699,0.00303556832726233,0.149927101324826,0.00509788970879427,0.60712711062539,""
"11422-26",390,-2.245641,0.1549768,-0.7,0.8,0.1,1,0.112315543547583,0.307086614173228,-2.24603403154138,0.00298929863697017,0.162213762456261,0.00480777154748327,-2.2471706062145,0.00359150251462219,0.108172594750908,0.00473611688728753,-2.2378540684303,0.0101185713686784,0.160534618513815,0.0146780001226189,-2.24565934220963,0.00309709095677257,0.161452588911739,0.00483057819395575,0.634745400605475,""
"11422-27",390,-2.245641,0.1549768,-0.7,0.8,0.1,1,0.112161096779677,0.309236947791165,-2.24706520813913,0.00302041652514749,0.156140071847885,0.00478661009612548,-2.24456368995028,0.00363015133606359,0.09940450297614,0.00475283313576962,-2.25200250097752,0.00996617125650057,0.166835810324509,0.0148391263366096,-2.24625870760518,0.00312296781807116,0.156557187483145,0.00492309129646492,0.63559808858329,""
"11422-28",390,-2.245641,0.1549768,-0.7,0.8,0.1,1,0.111083867639395,0.283582089552239,-2.2477609029885,0.00291282783797992,0.152419967243677,0.004949041494318,-2.24458267110869,0.00343713551564184,0.0905713544119732,0.00471859167298975,-2.24815567059096,0.00871114290926758,0.170072010824494,0.016992363408158,-2.24663850122814,0.00306377261255868,0.151767312169188,0.0052274036262316,0.604873509663599,""
"11422-29",390,-2.245641,0.1549768,-0.7,0.8,0.1,1,0.111650509503672,0.275471698113208,-2.24769782521714,0.00292684214727991,0.163533046304561,0.00490160125586555,-2.25085316839996,0.00344516243941772,0.112043944379073,0.00470748618017282,-2.25132716866555,0.00916544185739539,0.166106846343277,0.0157062501817524,-2.24822433337188,0.00305034791475244,0.16372051677229,0.00482574142423158,0.636593148568717,""
"11422-30",390,-2.245641,0.1549768,-0.7,0.8,0.1,1,0.111695596484659,0.334615384615385,-2.24766160269472,0.00295511501684372,0.158490675744829,0.00486290354930976,-2.24609994137044,0.00361979132076382,0.0952191775339589,0.00475447107159601,-2.25425025560519,0.00920067517786368,0.161441277675669,0.0157016935201154,-2.24658921260197,0.00302755329436368,0.158798980394472,0.00504302163137059,0.586104213986521,""
"11422-31",390,-2.245641,0.1549768,-0.7,0.8,0.1,1,0.11213998260955,0.30078125,-2.2439676130209,0.00297345156162994,0.154877567649191,0.00482991437011726,-2.24341482426343,0.00355797404360099,0.0999364858828142,0.00472808275935261,-2.23578725946307,0.0103533851240106,0.144637886675104,0.0146751185465121,-2.24441779075723,0.00304829120949879,0.154027373944789,0.0048571690259799,0.644021322659234,""
"11422-32",390,-2.245641,0.1549768,-0.7,0.8,0.1,1,0.112182823579119,0.302788844621514,-2.24703122825975,0.00300896400162648,0.158389274760103,0.00479529272498327,-2.24896272869782,0.00360611431508451,0.108641819748039,0.00474365890257047,-2.23331489822945,0.00928796788043151,0.129903569797119,0.0154082779685187,-2.24710545486295,0.00314296728733174,0.157995062011127,0.00472270581105004,0.649332122175678,""
"11422-33",390,-2.245641,0.1549768,-0.7,0.8,0.1,1,0.111013504715039,0.305019305019305,-2.25207440921546,0.00296769781293531,0.152899402872194,0.00487206874452759,-2.25378356382473,0.0035634593218469,0.101128517758741,0.00474595283341532,-2.25579636286216,0.0093893571174371,0.145028281765791,0.0155588290250681,-2.25231413677424,0.00307457922270406,0.152722384812358,0.00493184191232383,0.627412540545429,""
"11422-34",390,-2.245641,0.1549768,-0.7,0.8,0.1,1,0.112154210101935,0.33984375,-2.24274346345423,0.00297157363317288,0.151933058489513,0.00483163141709761,-2.2444652437489,0.00366201987183884,0.0976485300401075,0.00476509882813549,-2.25204975894849,0.00934415976941001,0.158988932632719,0.0153872593104052,-2.24368955945148,0.00310284938916799,0.15320149948004,0.00489239086623626,0.611658270076151,""
"11422-35",390,-2.245641,0.1549768,-0.7,0.8,0.1,1,0.111582113085505,0.297709923664122,-2.24501660520503,0.00294028522685382,0.150592930238858,0.00488447539164396,-2.24360768409917,0.00350613861899012,0.0936719216242263,0.00472093653255238,-2.23724687507529,0.00930121613909532,0.148402757404468,0.0153294059613795,-2.24592847206975,0.00310708384994344,0.14930764538885,0.00487427079762751,0.638542453269637,""
"11422-36",390,-2.245641,0.1549768,-0.7,0.8,0.1,1,0.111665168965513,0.275471698113208,-2.24646752669056,0.00292743167003842,0.160303526439582,0.00490263579823818,-2.24509712136927,0.00343695282911282,0.10160018946745,0.00470688642635064,-2.26488262452337,0.00982376835520763,0.201516296506022,0.0149270511355792,-2.24629427083934,0.00303412299235841,0.159963979765471,0.00522414174865873,0.630702793068113,""
"11422-37",390,-2.245641,0.1549768,-0.7,0.8,0.1,1,0.111573792480089,0.319391634980989,-2.24331938569208,0.00293236094182208,0.146744052779109,0.00489926321216299,-2.24311016274552,0.00355240190353985,0.0905115543878695,0.00473562104676027,-2.23931477429334,0.00968821011967398,0.140353881203443,0.0149763308387419,-2.24343161861798,0.00299818490565753,0.148177130522152,0.00525564675019014,0.596832537484391,""
"11422-38",390,-2.245641,0.1549768,-0.7,0.8,0.1,1,0.112376780199206,0.301255230125523,-2.2486810659609,0.00308387894178483,0.154883105153635,0.00473584175944716,-2.24524806911787,0.00368322161094395,0.101621485941898,0.00477002941745262,-2.25026813654662,0.0095533161114891,0.146225424472423,0.0151695781909259,-2.2475331288138,0.00322245860136687,0.155040378671011,0.00454981881204529,0.663609374091098,""
"11422-39",390,-2.245641,0.1549768,-0.7,0.8,0.1,1,0.110418186288918,0.290441176470588,-2.25375293019364,0.00289819697396013,0.15750478774455,0.00499610250861931,-2.25533602986468,0.00344199841424527,0.100302060013106,0.00472974577562892,-2.24566951495889,0.00857114707040695,0.155789718532336,0.0178181376427466,-2.25292656826301,0.00300261918091385,0.158746300565635,0.00512858846324122,0.583915148732774,""
"11422-40",390,-2.245641,0.1549768,-0.7,0.8,0.1,1,0.111450678235534,0.315985130111524,-2.24390393973594,0.00290071914344236,0.152071234922743,0.00494866338074522,-2.24161321848844,0.00350260918214722,0.0879480948709521,0.00472376991767934,-2.23673038336833,0.0101159790721612,0.147856472122297,0.0146853757081539,-2.24430045782935,0.00298823365344603,0.150940317554437,0.00498731125890531,0.596977893488198,""
"11422-41",390,-2.245641,0.1549768,-0.7,0.8,0.1,1,0.111358196566593,0.269230769230769,-2.25125344844859,0.00296290031188842,0.160075893450852,0.00487173788590561,-2.25176858982319,0.00346662525536036,0.10789687302587,0.00471878025794835,-2.25529773064957,0.00873737044718383,0.162693730775117,0.0170433087536936,-2.25143358287898,0.00309869176987714,0.160117265334665,0.00492055538481589,0.65184551215566,""
"11422-42",390,-2.245641,0.1549768,-0.7,0.8,0.1,1,0.111406050403426,0.311111111111111,-2.2456354719987,0.00289690715557806,0.157149874854917,0.00495303461452435,-2.24838522937781,0.00349364144097322,0.100486989899398,0.00472096715901432,-2.25234313916225,0.00936257087075557,0.165683225244926,0.0153832568429742,-2.24647579463901,0.00302722055582726,0.155609575723329,0.00504293785018326,0.604699560113435,""
"11422-43",390,-2.245641,0.1549768,-0.7,0.8,0.1,1,0.11181282553485,0.298449612403101,-2.24590153288627,0.00296542667073292,0.154499472518578,0.0048500986623875,-2.24626568227743,0.00354286996011953,0.100875982762759,0.00472882051373297,-2.24982731491691,0.0104014383838427,0.152056536056612,0.0147528628963594,-2.24576808992026,0.0030199886307292,0.155353128538631,0.00491520147716114,0.626064824735207,""
"11422-44",390,-2.245641,0.1549768,-0.7,0.8,0.1,1,0.1118721034839,0.340996168582375,-2.24453336433562,0.00294567666553681,0.155388506898473,0.00487104173672403,-2.24247070592609,0.00362447240932181,0.091253864407363,0.00475490449552072,-2.2373707880104,0.00912870797003024,0.160197317255856,0.0155664896600497,-2.24358847484303,0.00315117017962931,0.154818504418834,0.00474312453075449,0.583489264601805,""
"11422-45",390,-2.245641,0.1549768,-0.7,0.8,0.1,1,0.110755199721827,0.315217391304348,-2.24880278301992,0.00286931243058221,0.156611017388096,0.0050326771970504,-2.25114777289696,0.00347190677827402,0.0960282638961141,0.00472897846854989,-2.25795913561198,0.00905839929491908,0.146442603920037,0.0162137687059253,-2.24876457267475,0.00295344538651463,0.15515317011954,0.005234768778784,0.572531929893287,""
"11422-46",390,-2.245641,0.1549768,-0.7,0.8,0.1,1,0.111035313163451,0.300751879699248,-2.25101444568776,0.00292701767040755,0.158305969913283,0.00492743139544122,-2.25413776052233,0.00350413597937034,0.104901890868256,0.00473153995375621,-2.24854229764411,0.00919523045331649,0.175862592457261,0.0156072207503688,-2.25176549559636,0.00304879419501658,0.156227511864734,0.00531326519855127,0.625518372436732,""
"11422-47",390,-2.245641,0.1549768,-0.7,0.8,0.1,1,0.11128054892947,0.298892988929889,-2.24380671852918,0.00288983449551389,0.14973445243607,0.00497285397852733,-2.24623606470214,0.00345431785525886,0.0963445628573551,0.00471614915062894,-2.23842149463002,0.00912186854377077,0.132675896774825,0.0156994810488782,-2.24526628832586,0.0030154088927123,0.148010018789896,0.00505568495995065,0.621253555778462,""
"11422-48",390,-2.245641,0.1549768,-0.7,0.8,0.1,1,0.111094225696049,0.350180505415162,-2.24465893940628,0.00285750378283142,0.154627484702798,0.00504044693646429,-2.2459304111792,0.00354810675820636,0.0881858035945079,0.00474197802377466,-2.23341243545186,0.00836124845358033,0.1739575994983,0.0184281734146089,-2.2440124238457,0.00295374757468692,0.156542409002013,0.00549852458184347,0.523279214244178,""
"11422-49",390,-2.245641,0.1549768,-0.7,0.8,0.1,1,0.111138460183708,0.329588014981273,-2.24723887603186,0.00291856597689267,0.151512326771764,0.00493908539514419,-2.24869800012438,0.00356806110300209,0.0936659328486908,0.00474875850454416,-2.26790016610322,0.00945544408607026,0.158143343645479,0.0155401619151623,-2.24768404037148,0.00302793926043115,0.150660798907045,0.0049799493736137,0.591715564685069,""
"11422-50",390,-2.245641,0.1549768,-0.7,0.8,0.1,1,0.112440705384887,0.324324324324324,-2.2410397347796,0.00295396683934866,0.157528936770337,0.00484213802481951,-2.24014047877003,0.00359189601446151,0.0973866942159997,0.00473531248361948,-2.23488790227705,0.0089421222869919,0.14586179786778,0.0160083149400517,-2.24060252503576,0.00308994642279908,0.158084420898612,0.00475157251788281,0.602186431430254,""
"11422-51",390,-2.245641,0.1549768,-0.7,0.8,0.1,1,0.111170275993903,0.302583025830258,-2.24737799277369,0.00289620276431063,0.157666675071394,0.00497011009059108,-2.24638956825754,0.00346810531515405,0.0943985922460944,0.00472200692226891,-2.22757868059006,0.0092312048131192,0.128812685502274,0.0153681918689118,-2.24737773981896,0.00298429140509896,0.15740883426963,0.00512019559390114,0.59259366605318,""
"11422-52",390,-2.245641,0.1549768,-0.7,0.8,0.1,1,0.111283588061753,0.299270072992701,-2.24405259591651,0.00287660437067802,0.15411740266122,0.00500224529539876,-2.24580240796753,0.00343894381286167,0.0964760409169223,0.00471622968111709,-2.2534106825,0.0102312800915204,0.17680642062229,0.0147270949948911,-2.24421510583291,0.00296865800789337,0.154189747161712,0.00523050352063441,0.58769322826172,""
"11422-53",390,-2.245641,0.1549768,-0.7,0.8,0.1,1,0.112668093582872,0.330645161290323,-2.24386050189967,0.00301968643315097,0.158123658176794,0.00476746862749643,-2.24573428980655,0.00369441454975724,0.106183287450947,0.00476969292166124,-2.24707732827933,0.00868645664119855,0.146866385707433,0.0170824785158829,-2.24451916063684,0.00322861772127276,0.157241653897747,0.00467249564579493,0.644755315240266,""
"11422-54",390,-2.245641,0.1549768,-0.7,0.8,0.1,1,0.111582980053867,0.323076923076923,-2.24851014795306,0.00295700062712441,0.158088546625413,0.00486659132716195,-2.246415978039,0.00358914234661496,0.0953446913551732,0.00474632216394895,-2.25126869201805,0.00937037834594466,0.157430083528318,0.0154360093327107,-2.24750602344506,0.00301720117665655,0.159788000749645,0.0050125907083655,0.589378906949334,""
"11422-55",390,-2.245641,0.1549768,-0.7,0.8,0.1,1,0.111129456916028,0.273062730627306,-2.24873078935982,0.00289986585736022,0.160199105685604,0.00497074799031288,-2.24760413329769,0.00339800020210415,0.0997125933680794,0.00471411591530146,-2.24998457218531,0.00872571935685981,0.157630233651457,0.0171230582021001,-2.24829641213586,0.00297000346841065,0.159354781419149,0.00531070851319498,0.614856296520636,""
"11422-56",390,-2.245641,0.1549768,-0.7,0.8,0.1,1,0.111233118346657,0.329588014981273,-2.24608687690711,0.00291639314087263,0.150596909483992,0.00493619507727467,-2.24478212400502,0.00355898810440415,0.0882733603875457,0.00474360414710799,-2.22063284434866,0.00938522243921451,0.125292716601132,0.0150559780537717,-2.24589659840497,0.00302124716821375,0.150540526038981,0.00508296679085776,0.580844266616759,""
"11422-57",390,-2.245641,0.1549768,-0.7,0.8,0.1,1,0.112297144766229,0.332,-2.24572999829759,0.00301535922983453,0.156973226243548,0.0047913673699446,-2.24716668115784,0.0036933312647503,0.103773893364252,0.00477829042457831,-2.24413614155014,0.00950657449840635,0.155881543654537,0.0151224172381448,-2.24578528023487,0.0031369160042821,0.157886075653232,0.00476584289407004,0.624128904523692,""
"11422-58",390,-2.245641,0.1549768,-0.7,0.8,0.1,1,0.111548310563256,0.30859375,-2.25200119884576,0.00298623165422617,0.162165031115661,0.00483913868702066,-2.25265067282928,0.00359147962747242,0.106190956514358,0.00474902278074031,-2.24880049919237,0.00915544853777094,0.15413480076566,0.0156486017311848,-2.25244089445171,0.00317478414966456,0.161482967161748,0.00458654467990239,0.63674673172103,""
"11422-59",390,-2.245641,0.1549768,-0.7,0.8,0.1,1,0.111650050867383,0.263940520446097,-2.24379301470656,0.00290387316286639,0.157059752267953,0.00494211908945373,-2.24388770649164,0.00338376911111576,0.102127575376866,0.00470241746431691,-2.25662231048521,0.00889319226281775,0.171286341725779,0.0165443972127635,-2.2448653834137,0.00299649839695127,0.155897498488517,0.00519372901895563,0.649076630199669,""
"11422-60",390,-2.245641,0.1549768,-0.7,0.8,0.1,1,0.111857336270759,0.328125,-2.24613677323204,0.0029767563235036,0.153919425315572,0.00483628174509696,-2.25194817098103,0.00363913024864315,0.10743249573158,0.00476044206171818,-2.24065845873645,0.0092731794549337,0.133044977598984,0.0154593216460864,-2.24645982275232,0.00306986286272387,0.152886384093747,0.00489549113553057,0.623249304795106,""
"11422-61",390,-2.245641,0.1549768,-0.7,0.8,0.1,1,0.111014169665414,0.281021897810219,-2.24659209231695,0.00288071895214817,0.154469948830284,0.00500511707306127,-2.2466265888261,0.00339752890410072,0.095826010569799,0.00471497533784511,-2.24045769550695,0.00913213256002523,0.12821562831935,0.0157888677073524,-2.24691900280111,0.00296352930610131,0.152463247029161,0.00529402755448842,0.613890066666998,""
"11422-62",390,-2.245641,0.1549768,-0.7,0.8,0.1,1,0.111084353515434,0.311111111111111,-2.24898242220062,0.00290484100880112,0.15851344272843,0.0049677943134704,-2.24801268745653,0.00349746457993637,0.0944230407436136,0.00473305475317781,-2.24090799313864,0.00867011883927225,0.160902821668319,0.0170278437046016,-2.24979249342914,0.00307556795180068,0.156749486218141,0.00516250249188276,0.60516173024036,""
"11422-63",390,-2.245641,0.1549768,-0.7,0.8,0.1,1,0.112351045159479,0.317269076305221,-2.24572311278741,0.00301787109940949,0.156847724728383,0.0047829806647699,-2.24591493285232,0.00365111751092731,0.103652331536379,0.00475823549095784,-2.23773308089007,0.0106310745941743,0.159899938693284,0.0146374447181293,-2.24436537246749,0.00313241916319763,0.156751825039375,0.00471847874452767,0.626250671908923,""
"11422-64",390,-2.245641,0.1549768,-0.7,0.8,0.1,1,0.112313859372867,0.2625,-2.2508523850538,0.0030815642634071,0.159498462664844,0.004739018793853,-2.25370860140385,0.00359212821294897,0.119928706382945,0.00473616125970378,-2.26723699999198,0.00944405211941317,0.190427380206572,0.0154036503269911,-2.25322698296567,0.00327732144246562,0.159028516670415,0.00468919945070952,0.733454468861346,""
"11422-65",390,-2.245641,0.1549768,-0.7,0.8,0.1,1,0.11243177427916,0.359375,-2.24188184896068,0.00297005321725553,0.156238161903876,0.0048168285373263,-2.24146689664824,0.00370971241568788,0.0949610998967852,0.004778416584272,-2.24150281003845,0.00990632822139802,0.146802322332798,0.0148258086712799,-2.24212724890195,0.00312882507473358,0.155523420290524,0.00468473602456371,0.59848413555512,""
"11422-66",390,-2.245641,0.1549768,-0.7,0.8,0.1,1,0.111585585424712,0.305660377358491,-2.24746839479087,0.00292666661404813,0.161129207452351,0.00490758647073886,-2.24821187234345,0.00351316360710559,0.102043812838854,0.0047250252987604,-2.24044918155859,0.0103628314510358,0.160457012351114,0.0146580118626985,-2.24885234616599,0.00305043832933164,0.161973376217563,0.00482215055433033,0.619156954056754,""
"11422-67",390,-2.245641,0.1549768,-0.7,0.8,0.1,1,0.112737017638656,0.26890756302521,-2.24252478669287,0.00308171080767397,0.146782594474417,0.00472638185923943,-2.24237085361531,0.00360337439754522,0.105245976450203,0.00473336172502027,-2.23754644681474,0.00988211610256837,0.143053419755692,0.0148061411033591,-2.24121806660412,0.00316815936790144,0.147849485859014,0.00471382008992743,0.68284660214858,""
