"sim","N","beta0","beta1","q","ppv","avg_prev","fpr","beta0_gs","se_beta0_gs","beta1_gs","se_beta1_gs","eta0_gs","se_eta0_gs","beta0_n","se_beta0_n","beta1_n","se_beta1_n","beta0_cc","se_beta0_cc","beta1_cc","se_beta1_cc","eta0_cc","se_eta0_cc","beta0_mle","se_beta0_mle","beta1_mle","se_beta1_mle","eta0_mle","se_eta0_mle"
"11422-1",2200,-2.245641,0.1549768,0.1,0.8,0.112996814804158,0.180353031465848,-2.24737685876828,0.00132052663377272,0.156959241885704,0.00197750453595435,1.33947034791417,0.0732812548685082,-2.24709523326695,0.00145848964791281,0.125789123926992,0.0019741984740089,-2.23959152455992,0.00426463360600705,0.14978824113526,0.00620207397890672,1.56861590443741,0.245781688887586,-2.24730632667954,0.00135609427592354,0.156229281406895,0.00197322556997961,1.35841399354946,0.0821508514197522
"11422-2",2200,-2.245641,0.1549768,0.1,0.8,0.112803921675592,0.156202143950995,-2.24753791876614,0.00131889357692452,0.153885240917225,0.00197968656805795,1.47758578132924,0.0775920627394468,-2.24700807035573,0.00143553558147887,0.125998509559919,0.00197083959901054,-2.24802725249871,0.00418128142685399,0.156289933634615,0.00625622181828236,1.24171313230724,0.222649017255058,-2.24716566232332,0.00134165469187457,0.154894390827666,0.00197652513583338,1.41001301781195,0.0840185680485715
"11422-3",2200,-2.245641,0.1549768,0.1,0.8,0.113295040963075,0.167697063369397,-2.24339677594841,0.00132223972452761,0.152440363902559,0.00197307491829414,1.42914195250249,0.0755780787790641,-2.24466339465884,0.00145028966420541,0.127064063004559,0.0019698068750969,-2.24513185005648,0.00429707129425524,0.145617858415307,0.00621948086365283,1.48366852514505,0.236143636571458,-2.24452963282917,0.00136161141086283,0.151907828963687,0.00196401285377478,1.54551551909752,0.08827067628013
"11422-4",2200,-2.245641,0.1549768,0.1,0.8,0.113194481649477,0.164021164021164,-2.24349928790832,0.00130779037498309,0.155330664002697,0.0019800927320129,1.39660963883157,0.0758191482352148,-2.24325930224932,0.00143009819091502,0.125920665758808,0.00196712002145807,-2.23870820589946,0.00425400891632231,0.151094315998468,0.00618934509635096,1.56861590443741,0.245781688887586,-2.24326933185095,0.00133064134657447,0.156254997458917,0.00198982036304359,1.34684389613201,0.0837677376862268
"11422-5",2200,-2.245641,0.1549768,0.1,0.8,0.112569701608575,0.171111111111111,-2.24548947986057,0.00129584524935682,0.151583330700201,0.0019927247935747,1.30281863896176,0.0741988517474772,-2.24574484988596,0.0014232077306192,0.121607126130594,0.00197070437314396,-2.2463241325439,0.00414498986306278,0.152233982780519,0.00627330651159495,1.18149994847157,0.220001358432824,-2.24586007944928,0.00133029364280229,0.15172412909163,0.00199527418443801,1.32807263596647,0.0835144620958293
"11422-6",2200,-2.245641,0.1549768,0.1,0.8,0.112921994526849,0.170713201820941,-2.24535409799309,0.00131180353151847,0.15326645351643,0.00198192360961036,1.36609165380207,0.0746875353541426,-2.24582034642313,0.00144063305383962,0.12485460368017,0.00197125925449359,-2.24511058944982,0.00422626031119084,0.154268865126674,0.00623186818671241,1.53686721959926,0.246480600241321,-2.24613045317241,0.00134791605596174,0.152901967381735,0.00198210016274333,1.44268027725429,0.086273055909897
"11422-7",2200,-2.245641,0.1549768,0.1,0.8,0.112990979208606,0.164750957854406,-2.2471963916619,0.00131933426320985,0.156693230908039,0.0019773943899637,1.42618569014711,0.0759505065262847,-2.24669618172746,0.001443355670104,0.127252809156823,0.001970700862529,-2.25104932648443,0.00430978274150605,0.161027569568766,0.00621026749664057,1.53018854077996,0.24068303588211,-2.24708524525147,0.00135020427163088,0.156745423284655,0.00197401128778066,1.4152448065852,0.0847135491688392
"11422-8",2200,-2.245641,0.1549768,0.1,0.8,0.113326346263503,0.158705701078582,-2.24316411227128,0.00132010542137955,0.153266139233387,0.00197351364072068,1.47673835127301,0.0772205643588223,-2.24315573702411,0.00143927015124524,0.126464179121193,0.00196744743716085,-2.23959437461737,0.00424598693778525,0.155935605564725,0.00619342865621745,1.4183826756713,0.232388808171496,-2.24303357689991,0.00135114713375415,0.153083810060122,0.00197358773661114,1.47130383329995,0.0871139447500689
"11422-9",2200,-2.245641,0.1549768,0.1,0.8,0.112694176207312,0.169895678092399,-2.24734162197742,0.00130147849286266,0.157185605236427,0.00198870004856725,1.32525847053292,0.074508130073445,-2.24697563119736,0.00142816007795189,0.125515442762372,0.00197064473715222,-2.25034223852588,0.00421711878817887,0.160959126677419,0.00623308485811491,1.88273124742942,0.286876154439818,-2.24680118320909,0.00132090896029068,0.157584367827168,0.00199947596607625,1.27184103661876,0.0812858556138063
"11422-10",2200,-2.245641,0.1549768,0.1,0.8,0.113384534545346,0.164167324388319,-2.24638828427542,0.00133912202786759,0.156600392935236,0.0019677426882051,1.500867121146,0.0766779184704355,-2.24504736893315,0.00146380671878976,0.127415998345326,0.0019725492004523,-2.24701674073251,0.00418175717497461,0.152986289451995,0.0062570272903466,1.1676051601526,0.216391593042715,-2.24645307495421,0.00137417825921386,0.156515398518531,0.00195111450530464,1.50928607921804,0.084344374733524
