"LocationID","CountyName","binX_full","binXstar","LandArea","PopulationDensity","O_POP","Y_DIABETES","binX_partial"
37057061000,"C",1,1,3.1,1644.5,5158,609,NA
37057061100,"C",1,1,12.2,552.7,6744,763,NA
37057061201,"C",1,1,8.8,667.7,5844,813,NA
37057061202,"C",0,0,8.7,330.2,2857,315,NA
37057061300,"C",1,1,1.1,1992.8,2176,257,NA
37057061400,"C",1,1,2.2,1511.5,3398,541,NA
37057061500,"C",0,1,5.6,1109.9,6214,1032,NA
37057061600,"C",0,1,3.2,907.7,2926,396,NA
37057061701,"C",0,0,13.5,361,4857,467,NA
37057061702,"C",0,0,46.4,145.1,6730,788,NA
37057061703,"C",0,0,14.8,294.2,4349,453,NA
37057061802,"C",0,0,30.4,221.4,6740,641,NA
37057061803,"C",0,0,15.2,230.7,3503,368,NA
37057061804,"C",0,0,28.7,227.4,6536,726,NA
37057061901,"C",0,0,22.3,282.1,6301,631,NA
37057061902,"C",0,0,41.8,127,5308,611,NA
37057062001,"C",0,0,80.1,58.4,4677,487,NA
37057062002,"C",1,1,32.2,124.9,4021,499,NA
37059080100,"D",0,0,87.6,88.4,7745,829,0
37059080200,"D",0,0,37.8,137.8,5207,506,NA
37059080300,"D",0,0,27,321,8657,935,0
37059080400,"D",0,0,44.8,114.9,5151,469,0
37059080500,"D",0,0,12.7,349,4428,470,0
37059080600,"D",0,1,20.3,180.4,3659,436,NA
37059080700,"D",0,0,33.9,188.4,6393,761,NA
37067000100,"E",1,1,0.6,3697.6,2052,156,NA
37067000200,"E",0,1,0.6,1876.3,1103,175,NA
37067000301,"E",1,1,0.3,5200.6,1799,402,NA
37067000302,"E",1,1,0.5,3990.1,1859,382,NA
37067000400,"E",1,1,0.8,3886,3251,631,NA
37067000500,"E",1,1,0.6,3796.1,2391,498,NA
37067000600,"E",1,1,0.5,3980.2,2056,484,NA
37067000700,"E",1,1,0.7,2495.9,1764,362,NA
37067000801,"E",1,1,0.8,3845.4,3062,175,NA
37067000802,"E",1,1,0.8,2602.8,2100,265,NA
37067000900,"E",1,1,1.2,2961.9,3508,397,NA
37067001000,"E",1,1,1.1,4219.7,4652,377,NA
37067001100,"E",1,1,0.6,3632.1,2254,210,NA
37067001200,"E",1,1,1.4,1378.7,1959,185,NA
37067001300,"E",0,0,1.6,2784.8,4535,200,NA
37067001400,"E",1,1,2.9,1291.7,3710,590,NA
37067001500,"E",1,1,2.9,1416.6,4095,602,NA
37067001601,"E",0,1,2.4,1542.5,3652,658,NA
37067001602,"E",0,1,1.5,2072.9,3077,588,NA
