"sim","N","beta0","beta1","muU","sigmaU","q","access","avg_prev","fpr","beta0_gs","se_beta0_gs","beta1_gs","se_beta1_gs","beta0_n","se_beta0_n","beta1_n","se_beta1_n","beta0_cc","se_beta0_cc","beta1_cc","se_beta1_cc","beta0_smle","se_beta0_smle","beta1_smle","se_beta1_smle"
"11422-11",2200,-2.245641,0.1549768,-0.7,0.8,0.1,5,0.121138000992722,0.239583333333333,-2.24540687928619,0.00280434505475392,0.153341365660427,0.00298031341745918,-2.24288521960389,0.00321178260897684,0.145607309334797,0.0033620069412259,-2.23192044625002,0.00963321235912145,0.140780257023469,0.0101346556926938,-2.24536315856586,0.00200283453321056,0.153284441182156,0.00200201904529511
"11422-12",2200,-2.245641,0.1549768,-0.7,0.8,0.1,5,0.121294283777294,0.286219081272085,-2.24034465531954,0.00282262882585856,0.148751268238177,0.00299699590232852,-2.23917272737253,0.00333856673071432,0.14185475276528,0.0034821272806356,-2.23855765667107,0.00988984493234368,0.147061899357798,0.0103771658879826,-2.23953397598248,0.00201299567650681,0.148050533185929,0.00201296352841116
"11422-13",2200,-2.245641,0.1549768,-0.7,0.8,0.1,5,0.120904749698764,0.30421686746988,-2.24671671926569,0.00261456815263604,0.155999248521966,0.00280639985067811,-2.24342784790288,0.00312891261392457,0.144941422378496,0.00328395598588671,-2.25391168522329,0.00776805773399169,0.165316900833231,0.0084247344473441,-2.2457671683647,0.00161677881595796,0.155289791828481,0.00161490468153769
"11422-14",2200,-2.245641,0.1549768,-0.7,0.8,0.1,5,0.121505855493363,0.297872340425532,-2.24305700643627,0.00283383816016589,0.153706570674228,0.00300699234704601,-2.2412653175997,0.0033781458798147,0.145778694648536,0.00351949605453474,-2.22370481369893,0.00922805648867245,0.130991307849539,0.00975727145987158,-2.2439101136493,0.00192555250745165,0.15429475838017,0.00192453729479067
"11422-15",2200,-2.245641,0.1549768,-0.7,0.8,0.1,5,0.121114441694316,0.333333333333333,-2.24640513135695,0.0027504816957676,0.155167793864206,0.00293057120834501,-2.2440522759405,0.00336469529159954,0.145397277230978,0.0035071838597615,-2.25196896328589,0.00857587409261831,0.161235015325501,0.00915466065385485,-2.24708322795327,0.00181343871778038,0.15584226250682,0.00181205995126885
"11422-16",2200,-2.245641,0.1549768,-0.7,0.8,0.1,5,0.121030360777693,0.322033898305085,-2.24126970838506,0.00276570327234934,0.148220459194074,0.00294462264484629,-2.24538672079051,0.00336471440942666,0.146136109826742,0.00350721603259299,-2.2442377615244,0.00841286897919012,0.154148876979025,0.00900513440443043,-2.24261473173953,0.00178085736416026,0.149204121283153,0.00177982170674095
"11422-17",2200,-2.245641,0.1549768,-0.7,0.8,0.1,5,0.121134780233627,0.276666666666667,-2.24634497435776,0.00275107484480041,0.155294873521928,0.00293106044433591,-2.2445767179142,0.00323255663856764,0.147316943862801,0.00338162550797265,-2.25040259990805,0.00872173916548917,0.158867102746992,0.00928994598519653,-2.2467450253425,0.00180131369798617,0.155934420481567,0.00179977449791941
"11422-18",2200,-2.245641,0.1549768,-0.7,0.8,0.1,5,0.121267304264053,0.304794520547945,-2.2419589731634,0.00278058910000927,0.150977537339215,0.00295801342285803,-2.24173444222707,0.00333715391238318,0.144442382437558,0.0034807120059961,-2.22567637296598,0.00943311818736608,0.14082455859314,0.00994411822582484,-2.24042163177425,0.00193561757357725,0.150050351420468,0.00193512742148508
"11422-19",2200,-2.245641,0.1549768,-0.7,0.8,0.1,5,0.121232005658125,0.283276450511945,-2.24323901687707,0.00277887030728007,0.15217248161869,0.00295645111017107,-2.24028820250045,0.00327817607036318,0.14304492307916,0.00342468540044795,-2.2268837511081,0.00860376011266502,0.138527113309891,0.00917680744165455,-2.24278542128764,0.00182900344910288,0.151924098411705,0.00182788911676929
"11422-20",2200,-2.245641,0.1549768,-0.7,0.8,0.1,5,0.121092677501625,0.337883959044369,-2.24699660966622,0.00278461782932475,0.155129502063538,0.0029620265301805,-2.24714333831454,0.00342329162816593,0.148169064799331,0.00356300580952326,-2.25723323500909,0.0102200527438759,0.167940550040812,0.0106888391080448,-2.24736896269479,0.00203831296344847,0.155048481735642,0.00203794848743129
"11422-21",2200,-2.245641,0.1549768,-0.7,0.8,0.1,5,0.12118429627058,0.302721088435374,-2.24509578708678,0.00277530456080944,0.153931981830968,0.00295327312877643,-2.24510252610774,0.00332154275606455,0.147566168700034,0.00346597499431171,-2.25450433622632,0.0106600320218349,0.164148201872596,0.0111054952347085,-2.24386554729576,0.00207360058542332,0.152726688891529,0.002073300949331
"11422-22",2200,-2.245641,0.1549768,-0.7,0.8,0.1,5,0.12109148687269,0.300970873786408,-2.24897746961692,0.00271374558525062,0.158577671411843,0.00289686557165141,-2.24703136628551,0.0032418346533608,0.149555933438109,0.003390535461313,-2.2573010451477,0.00775543275227532,0.16856488579404,0.00841483987138127,-2.24753860512603,0.0016193487277269,0.157602098848636,0.00161727406236827
"11422-23",2200,-2.245641,0.1549768,-0.7,0.8,0.1,5,0.121251771791135,0.285714285714286,-2.24472380415856,0.00280807978749871,0.153558609399533,0.00298343414115961,-2.24744214553019,0.00332707244163752,0.150644386288399,0.00347112348026978,-2.24552500196357,0.00817696548907279,0.154529025265176,0.008791953710024,-2.2454565775811,0.00174098710190072,0.154492660201542,0.00173936536889937
"11422-24",2200,-2.245641,0.1549768,-0.7,0.8,0.1,5,0.121340288234078,0.313131313131313,-2.24744514644319,0.00276635939777339,0.158271759422535,0.00294488412754827,-2.24793071575705,0.00333968372905517,0.151947229679727,0.00348312489839653,-2.25148032052252,0.00829996726235044,0.163368293789906,0.00890260279448535,-2.24708387609083,0.00175048609264082,0.158146791030336,0.00174901656723894
"11422-25",2200,-2.245641,0.1549768,-0.7,0.8,0.1,5,0.121059672372426,0.254716981132075,-2.2483091738148,0.00267277389163194,0.158211861198465,0.00285923151294263,-2.25037381361989,0.00309839576285244,0.154437223700408,0.00325496393317866,-2.23032781923578,0.00823386781436818,0.144246164864458,0.00883898064677148,-2.24874735339623,0.00172115741613758,0.158632492882239,0.00171940525099246
"11422-26",2200,-2.245641,0.1549768,-0.7,0.8,0.1,5,0.121227877700253,0.27681660899654,-2.24451210038121,0.00280143811146622,0.153254827459456,0.00297754679211116,-2.24734702031517,0.00329783319658724,0.150632762686487,0.0034435406161288,-2.23999184470794,0.0081641469392201,0.148977161611877,0.00878120120129901,-2.24522962969344,0.00174779206723633,0.153828493667791,0.00174627158614518
"11422-27",2200,-2.245641,0.1549768,-0.7,0.8,0.1,5,0.121112662197378,0.3,-2.246052239068,0.00266217328467418,0.156267289903486,0.00284946575090258,-2.24496982474662,0.00318050511585915,0.148019492234625,0.00333238151437418,-2.25169739848591,0.00785262008562237,0.16354852890332,0.00850111040151415,-2.24508846656109,0.00163984103003728,0.155555797842696,0.00163801629111535
"11422-28",2200,-2.245641,0.1549768,-0.7,0.8,0.1,5,0.121386917923041,0.283737024221453,-2.24026444041285,0.00279509498781524,0.14996846566214,0.00297128557632706,-2.23960333364277,0.00329905351906127,0.14352775391926,0.00344438276113217,-2.23100243605409,0.00878206966586633,0.137796201949572,0.00934449382288633,-2.24034437753028,0.00186922005833525,0.149707614163167,0.00186807164140042
"11422-29",2200,-2.245641,0.1549768,-0.7,0.8,0.1,5,0.121253376096817,0.267123287671233,-2.24465672318372,0.00278609822995236,0.153885313315559,0.00296311175401114,-2.245561380454,0.00325610182883255,0.149259354600331,0.00340372744241547,-2.25647515733033,0.00977203604953241,0.166934440110349,0.0102658177003033,-2.24538351448447,0.00197757846017465,0.154517238820567,0.00197713167449474
"11422-30",2200,-2.245641,0.1549768,-0.7,0.8,0.1,5,0.121368638048514,0.289655172413793,-2.24152600429242,0.00279053127149125,0.15129376743132,0.00296712657044657,-2.24342120141459,0.00331409278333524,0.147423275844542,0.00345872313672337,-2.23357061684207,0.0077776844815684,0.141886991747406,0.00843285493350023,-2.24268474012253,0.00168770752123628,0.152229340578241,0.00168607490595928
"11422-31",2200,-2.245641,0.1549768,-0.7,0.8,0.1,5,0.121150540970041,0.369127516778524,-2.24832294998794,0.00276373788552886,0.157542222501484,0.00294279254298814,-2.24990195853378,0.00348400217004847,0.151238485194707,0.00362101812044071,-2.25468466404738,0.00846576397114639,0.162902568742397,0.00905773701321369,-2.25015233811653,0.00180336599923853,0.158906601886599,0.00180198926299947
"11422-32",2200,-2.245641,0.1549768,-0.7,0.8,0.1,5,0.121167400672154,0.326666666666667,-2.24018964057025,0.00274287686319793,0.148634650799286,0.00292347659634303,-2.23915606239817,0.00334141695718443,0.140712084854836,0.00348495849969479,-2.24112784230256,0.00932625712463874,0.148977599124258,0.0098489807190129,-2.24020644763582,0.00190999951368028,0.148931624578682,0.00190945636164379
"11422-33",2200,-2.245641,0.1549768,-0.7,0.8,0.1,5,0.121452878856689,0.284697508896797,-2.24711510514919,0.0028425259968557,0.157705198644278,0.00301508637002663,-2.24702715581263,0.00336163321965329,0.151745066068774,0.00350379399323299,-2.23891699616817,0.00881236711857689,0.143051233477523,0.00937489288994704,-2.24732553921975,0.00185218071565402,0.157986350746221,0.00185067344063877
"11422-34",2200,-2.245641,0.1549768,-0.7,0.8,0.1,5,0.121510078698252,0.313653136531365,-2.25080620512695,0.00290104886324268,0.161603983443385,0.00306954295269255,-2.25211370796321,0.00350456615479918,0.156692366135335,0.00364026296170602,-2.26608777753935,0.00864901402594176,0.18048855817401,0.0092213794891512,-2.25146869238504,0.0018337906412839,0.162417303685991,0.00183253990106893
"11422-35",2200,-2.245641,0.1549768,-0.7,0.8,0.1,5,0.121046442035968,0.305921052631579,-2.24506288176109,0.00273011049381015,0.153293818434871,0.00291190019955912,-2.24796127549169,0.00328227062225236,0.149782641346063,0.00342888271186089,-2.2540838382064,0.00921199241995408,0.155813617982794,0.00974672103242752,-2.24663929728721,0.00189182940140615,0.15467218721362,0.00189082149406967
"11422-36",2200,-2.245641,0.1549768,-0.7,0.8,0.1,5,0.121298045908461,0.288135593220339,-2.24602557549134,0.0027745031793028,0.156070389232213,0.00295249927685962,-2.2444519522597,0.00328606061852707,0.148162871648993,0.00343223535271082,-2.24794629846689,0.00856517004457944,0.161847527270828,0.00914291740000322,-2.24411916870819,0.00177583439435704,0.154881980422576,0.00177437337173598
"11422-37",2200,-2.245641,0.1549768,-0.7,0.8,0.1,5,0.121079085199835,0.309597523219814,-2.24037802124192,0.00264310731957003,0.149646960188848,0.00283213650312908,-2.23867313888334,0.00317811144803515,0.140722457379253,0.00333018904425342,-2.24096318211612,0.00912832793843976,0.152159320817327,0.00966214580467552,-2.24092015147595,0.00186934519141469,0.150190714646306,0.00186854562460277
"11422-38",2200,-2.245641,0.1549768,-0.7,0.8,0.1,5,0.12152516530675,0.311827956989247,-2.24583474214713,0.00285305733711197,0.156794397455856,0.00302480348571431,-2.2467621633714,0.00343983881204644,0.151505225802219,0.00357832032392525,-2.25003321560431,0.00871015024528155,0.162938219063806,0.00927700855099799,-2.24717459031522,0.00184828281023778,0.157857216759603,0.00184683341934536
"11422-39",2200,-2.245641,0.1549768,-0.7,0.8,0.1,5,0.120950303249097,0.324232081911263,-2.24516112402393,0.00278156752336613,0.151703005383282,0.00295935954344516,-2.24695387458452,0.00338630918502999,0.146955224714873,0.00352785824088192,-2.24718679265894,0.0079420106885748,0.149729708869502,0.00858465581625297,-2.24432432779338,0.00169707271420105,0.150911241417552,0.00169542340912747
"11422-40",2200,-2.245641,0.1549768,-0.7,0.8,0.1,5,0.121230941179081,0.345276872964169,-2.24113503367339,0.00271231796011512,0.150830367420762,0.00289526395055278,-2.23817566848234,0.00334575333789877,0.140172745908713,0.00348900346104288,-2.2438263329247,0.00932829214735924,0.153010327172786,0.00985103018228661,-2.24091503021376,0.00188748540142723,0.150554910439077,0.00188700487222625
"11422-41",2200,-2.245641,0.1549768,-0.7,0.8,0.1,5,0.121156385619128,0.265822784810127,-2.2449055537727,0.00267666794391306,0.155085348531371,0.0028626342315348,-2.24800532871877,0.0031276115149534,0.152354915478418,0.00328236409466658,-2.24359631458862,0.00815898250592911,0.150332286839799,0.00877819275305808,-2.24587780225594,0.00171918990493977,0.155623561178911,0.0017173304793545
"11422-42",2200,-2.245641,0.1549768,-0.7,0.8,0.1,5,0.121163943737521,0.327922077922078,-2.24191199438823,0.00271141064984076,0.151120729238476,0.00289455336240028,-2.24069388549925,0.0033050123900988,0.142677915945606,0.00345035736320292,-2.23948875485361,0.00828741765014769,0.154724502365209,0.00888898788598018,-2.24159118258423,0.00173208988891033,0.150780038371134,0.00173063266110299
"11422-43",2200,-2.245641,0.1549768,-0.7,0.8,0.1,5,0.121295201134066,0.365248226950355,-2.24918250798096,0.00284360612843911,0.15860466979554,0.00301634657203724,-2.25267694385411,0.00357727278984445,0.154864003201163,0.00371005909380184,-2.24604194013478,0.00869466450694544,0.15068626445386,0.00926520556636301,-2.25148931265572,0.00181116900826073,0.160662288077514,0.001809618446728
