"sim","N","beta0","beta1","muU","sigmaU","q","access","avg_prev","fpr","beta0_gs","se_beta0_gs","beta1_gs","se_beta1_gs","beta0_n","se_beta0_n","beta1_n","se_beta1_n","beta0_cc","se_beta0_cc","beta1_cc","se_beta1_cc","beta0_smle","se_beta0_smle","beta1_smle","se_beta1_smle"
"11422-1",390,-2.245641,0.1549768,-0.7,0.8,0.1,1,0.111404398866349,0.368217054263566,-2.24713468073,0.00296763246669263,0.147958841452198,0.0048632413831176,-2.24845822773614,0.00373394223237075,0.0909449643057627,0.00480630964477426,-2.23826238296293,0.00990486846690084,0.125073051068177,0.0148834631584453,-2.24690632329582,0.00182670798633439,0.151162728181625,0.00172925397298255
"11422-2",390,-2.245641,0.1549768,-0.7,0.8,0.1,1,0.112682538247711,0.304878048780488,-2.24018468485612,0.00302716246505932,0.147425407212961,0.00476399926694159,-2.23955369939628,0.0036299360423615,0.098201331053072,0.00474454008321408,-2.23421362805922,0.00928236562904386,0.160058442303009,0.0152518175639898,-2.23997276197719,0.00177007516248238,0.148272171830149,0.00167637543497956
"11422-3",390,-2.245641,0.1549768,-0.7,0.8,0.1,1,0.111880338424322,0.303501945525292,-2.24758111013955,0.00297464863615441,0.159311094095323,0.00483925130289048,-2.24699624383031,0.00356221588254633,0.102374929404664,0.00473423282965662,-2.23996103837223,0.00988453037700285,0.136614459026012,0.0148470001835431,-2.24766911894045,0.00184166145463087,0.157961903940441,0.00174943512311123
"11422-4",390,-2.245641,0.1549768,-0.7,0.8,0.1,1,0.111573822102778,0.32442748091603,-2.24745552738547,0.00294588095593649,0.157320088213799,0.00488312263218477,-2.24809266814532,0.00358646354965016,0.0985631714936873,0.00474677360921444,-2.24350453004257,0.00917971873008765,0.162416170164983,0.0156545419440843,-2.24730156808703,0.0017266873679494,0.158956819163863,0.0016310508971559
"11422-5",390,-2.245641,0.1549768,-0.7,0.8,0.1,1,0.112446426577715,0.344961240310078,-2.24140321836457,0.00295904526501084,0.157489053734183,0.0048360275729094,-2.24078473718277,0.00365531040172998,0.0959264150397632,0.00475870154261142,-2.24492422727947,0.00883503888649411,0.160609856544488,0.016536223317044,-2.24127666391022,0.00168478667635662,0.155635334654839,0.00158188531210195
"11422-6",390,-2.245641,0.1549768,-0.7,0.8,0.1,1,0.11131897204436,0.311538461538462,-2.24916289396624,0.00295863053954197,0.153512829665565,0.0048758734199201,-2.24774521024171,0.00356287118410756,0.094825649696434,0.00474281014018039,-2.24137387828885,0.00853174864014256,0.143144422743473,0.0178632596603175,-2.24846996869411,0.00166587378628928,0.15438929610305,0.00155681833906254
"11422-7",390,-2.245641,0.1549768,-0.7,0.8,0.1,1,0.111727323842347,0.275193798449612,-2.24792541516725,0.00296609185607882,0.157878448402715,0.00484675592336938,-2.24705176635849,0.00348264989713718,0.103815881871457,0.00471186849055552,-2.23404271948591,0.00893605218460731,0.151775641792651,0.0159366809246514,-2.2469688601207,0.00172099065028523,0.158209481152113,0.00162021561977108
"11422-8",390,-2.245641,0.1549768,-0.7,0.8,0.1,1,0.110474218371477,0.281786941580756,-2.24465761926073,0.0027916076778611,0.15497597953308,0.00523121392773792,-2.24460995827148,0.00329307388235735,0.0877668992558935,0.0047236130618841,-2.24753208678626,0.0097178944307324,0.13938449322931,0.0150552324012179,-2.24570235630021,0.00176350090664432,0.153022792997249,0.00165587419556992
"11422-9",390,-2.245641,0.1549768,-0.7,0.8,0.1,1,0.111327533674965,0.323420074349442,-2.24874415591253,0.00290743035991403,0.163013078580833,0.0049438221964329,-2.24507842451101,0.0035301094900454,0.0913074938189116,0.00473307831412257,-2.25745538982989,0.00890305471203671,0.177145666935238,0.0165008241509223,-2.24893536892521,0.00169677666335016,0.162346453959747,0.00159420126997802
"11422-10",390,-2.245641,0.1549768,-0.7,0.8,0.1,1,0.111661160037701,0.309160305343511,-2.24654004033543,0.00294386353078731,0.157073941594744,0.00487819143322814,-2.24996988806457,0.00354701286347006,0.105314412097278,0.00473131628819478,-2.25497077780918,0.00890552502934502,0.149912166829686,0.0165762951011579,-2.24726644428629,0.00170907772229463,0.155799308024821,0.00161048137189153
"11422-11",390,-2.245641,0.1549768,-0.7,0.8,0.1,1,0.111544395103402,0.315985130111524,-2.24459653863358,0.00290428962008595,0.156690345875607,0.00494747415092248,-2.24262580463842,0.00350827409648903,0.091377905101204,0.00472693705301397,-2.23914000874115,0.00931816041210681,0.172948562135377,0.0152603223879739,-2.24397247092237,0.00174569475883752,0.157430237108572,0.00164230229186836
"11422-12",390,-2.245641,0.1549768,-0.7,0.8,0.1,1,0.111839315739155,0.303846153846154,-2.24605234767438,0.00295678077019145,0.157700460091198,0.00486506020626132,-2.24471678710051,0.0035419803771581,0.0985859332835446,0.00473088753812858,-2.23868083180122,0.00951130651691608,0.138614275132174,0.0151919715675282,-2.2452838530286,0.00178739477675109,0.156365551871259,0.00169220346352896
"11422-13",390,-2.245641,0.1549768,-0.7,0.8,0.1,1,0.112552591737045,0.253968253968254,-2.23979210810001,0.00299208049607194,0.149343439953612,0.00479540460542513,-2.24079246421893,0.00346525121866473,0.10634751623953,0.00469521567529455,-2.23169477238133,0.00912110839398425,0.160137219819892,0.0155001418796034,-2.23991589878797,0.00175132793530842,0.149636655187354,0.00165766802042648
"11422-14",390,-2.245641,0.1549768,-0.7,0.8,0.1,1,0.110025868473826,0.341137123745819,-2.24506304044922,0.00275419292198467,0.153710035821024,0.00537653000010962,-2.24300691715259,0.00338998504555897,0.0714973220267207,0.00473238647396028,-2.25689111332315,0.00936667790995548,0.170407746979799,0.015391532771997,-2.24547885822138,0.00169964012331336,0.153324526059673,0.00158751887931754
"11422-15",390,-2.245641,0.1549768,-0.7,0.8,0.1,1,0.11212993151956,0.274131274131274,-2.2435709640302,0.00295526939063264,0.156774926730625,0.00484773308944177,-2.24304172403485,0.0034660832627359,0.103531377197763,0.00470283024775935,-2.23965391816277,0.0091374679284271,0.147937055716863,0.0157102478971568,-2.24353427494096,0.00173887299187693,0.155373992304082,0.00163661974169199
"11422-16",390,-2.245641,0.1549768,-0.7,0.8,0.1,1,0.111608403918186,0.301115241635688,-2.24388823035183,0.00290169637747901,0.156410231726592,0.00494060730938494,-2.24207922789855,0.00347015082636747,0.0931888344511986,0.00471365347682205,-2.25364752360093,0.00955331289935269,0.167220130622767,0.0151235797727609,-2.24469231548887,0.00176523845307789,0.15588968421653,0.00166715766589285
