"sim","N","beta0","beta1","muU","sigmaU","q","access","avg_prev","fpr","beta0_gs","se_beta0_gs","beta1_gs","se_beta1_gs","beta0_n","se_beta0_n","beta1_n","se_beta1_n","beta0_cc","se_beta0_cc","beta1_cc","se_beta1_cc","beta0_smle","se_beta0_smle","beta1_smle","se_beta1_smle","ppv_smle","msg"
"11422-25",2200,-2.245641,0.1549768,-0.7,0.8,0.1,10,0.123203112457993,0.215686274509804,-2.24599252404728,0.00668361916055823,0.155435688668657,0.00675087199587,-2.24550717338872,0.00755109488682988,0.154208277678931,0.00761042714100269,-2.26305175844551,0.0196684223097457,0.162945848062342,0.0199000750358405,-2.24596854133685,0.00747261026106889,0.155493639566548,0.00753305955718187,0.994320480571429,""
"11422-26",2200,-2.245641,0.1549768,-0.7,0.8,0.1,10,0.123089336323085,0.290909090909091,-2.24647578588391,0.00642399561300084,0.155217639700771,0.00649418998682502,-2.23950474393655,0.00759956304433462,0.147074075111309,0.00765862195308355,-2.21682545750157,0.0192450088450798,0.131079399420643,0.0194787014040133,-2.24342272099861,0.00753358530001071,0.152300976315711,0.00759559239498666,0.991165019539768,""
"11422-27",2200,-2.245641,0.1549768,-0.7,0.8,0.1,10,0.123317017965944,0.25531914893617,-2.23683464086565,0.00690361331410814,0.146773164464777,0.00696860924463149,-2.2330435308944,0.00798315554393905,0.142170077440148,0.00803916223816638,-2.22734464163847,0.0157387587738121,0.134692311645112,0.0160289844349302,-2.23544257840974,0.00475362560204077,0.145519645439336,0.00436500626833188,0.993244978625121,""
"11422-28",2200,-2.245641,0.1549768,-0.7,0.8,0.1,10,0.123445077869873,0.166666666666667,-2.23738110101118,0.00790717496062847,0.147684430669252,0.00796368081395404,-2.23398208610075,0.00864772211891891,0.14386510649917,0.0086992982639304,-2.21579715472727,0.033426312599954,0.131512422390264,0.033558361449879,-2.23685387702143,0.00856816058630688,0.147216209296254,0.00861982240018755,0.99673221263055,""
"11422-29",2200,-2.245641,0.1549768,-0.7,0.8,0.1,10,0.123236817106253,0.295454545454545,-2.25482424653694,0.00721105687372794,0.164193896870801,0.00727323325698014,-2.24755100867906,0.0085563866293039,0.155925665891444,0.00860859084039679,-2.23088585990932,0.021223815286686,0.142166679673732,0.0214355341071767,-2.25166129212305,0.00848291790816239,0.161240632971425,0.00853796452526012,0.992222131599783,""
"11422-30",2200,-2.245641,0.1549768,-0.7,0.8,0.1,10,0.123365371464616,0.377777777777778,-2.24126899370317,0.00708382652430087,0.151557054122417,0.00714711369637282,-2.2432101954049,0.00899295960432152,0.152416723836121,0.00904255855091089,-2.24286306235655,0.0213152245042327,0.151748614843128,0.0215264277380031,-2.24134735417323,0.00571021703556311,0.151743963468293,0.00532828616447035,0.991410412090963,""
"11422-31",2200,-2.245641,0.1549768,-0.7,0.8,0.1,10,0.123223473389684,0.342105263157895,-2.246549750643,0.0077384601685371,0.155281967303587,0.00779635358656689,-2.24704300589661,0.00952985714535798,0.154926281797113,0.00957668853352655,-2.25185931250537,0.0196267108883152,0.159136256607439,0.0198576130033173,-2.2475721424474,0.00622768134507105,0.156316263583374,0.00591503153340251,0.994052647232442,""
"11422-32",2200,-2.245641,0.1549768,-0.7,0.8,0.1,10,0.123247996179523,0.325581395348837,-2.24201048572122,0.00725590663766587,0.151214039091987,0.00731771420472503,-2.24518542662865,0.00884643848789856,0.153522750942168,0.00889692185662176,-2.23022826439512,0.0212621624998962,0.138426708786157,0.0214737123622297,-2.24129700948469,0.00525127333726332,0.150684514485063,0.00481028211541436,0.992131116060909,""
"11422-33",2200,-2.245641,0.1549768,-0.7,0.8,0.1,10,0.123404940094973,0.333333333333333,-2.24671196721649,0.00761541233606873,0.157014788898159,0.00767413778549892,-2.24090317792266,0.00930685338030653,0.150271161796725,0.00935472261144127,-2.29276078482395,0.0343199102735754,0.198797137161034,0.0344499982823092,-2.24591847720942,0.00574551485452823,0.156224603487016,0.00540287700803401,0.993910057866706,""
"11422-34",2200,-2.245641,0.1549768,-0.7,0.8,0.1,10,0.123412927012806,0.314285714285714,-2.2493050202993,0.00806346041277976,0.159435743571456,0.00811888793274446,-2.24318210167542,0.00971789096379661,0.152505842610301,0.00976373464509596,-2.28422275813863,0.0217958186654914,0.196114304440166,0.0220016398865367,-2.24237068150294,0.00564840878590784,0.152890495946119,0.00520211189777405,0.991515909473338,""
