"sim","N","beta0","beta1","muU","sigmaU","q","access","avg_prev","fpr","beta0_gs","se_beta0_gs","beta1_gs","se_beta1_gs","beta0_n","se_beta0_n","beta1_n","se_beta1_n","beta0_cc","se_beta0_cc","beta1_cc","se_beta1_cc","beta0_smle","se_beta0_smle","beta1_smle","se_beta1_smle"
"11422-17",2200,-2.245641,0.1549768,-0.7,0.8,0.1,0.5,0.109056672053381,0.287145242070117,-2.24631545061572,0.0011238697359785,0.155753848376532,0.00246610251270877,-2.24591723762165,0.00133085567361749,0.0703978418331929,0.00201788890392557,-2.24803461718222,0.0035633463486357,0.156912767152673,0.00775675710174732,-2.24621279358842,0.000683655375660376,0.155852321384338,0.000674222235276012
"11422-18",2200,-2.245641,0.1549768,-0.7,0.8,0.1,0.5,0.109198146710224,0.294348069390039,-2.24565762510124,0.001126425058874,0.155336403224499,0.00244325907784726,-2.24563341686214,0.00134092795529271,0.0712497729015076,0.00201164242654031,-2.24478774449769,0.00362571087280874,0.154835118888374,0.00732593539677758,-2.24537316847929,0.000690432572143964,0.156931135084377,0.000681358095306016
"11422-19",2200,-2.245641,0.1549768,-0.7,0.8,0.1,0.5,0.108889382987292,0.310684931506849,-2.24553747496355,0.00111452838748783,0.154705287386923,0.00253364033910388,-2.24437228049753,0.00134144905560209,0.0618876615564167,0.00201480673423779,-2.24619602416876,0.00357104010895633,0.149534423140911,0.00769578028680608,-2.24520058814442,0.000681642446292058,0.155236341503385,0.000672206527086763
"11422-20",2200,-2.245641,0.1549768,-0.7,0.8,0.1,0.5,0.108995850887438,0.313299944351697,-2.24622896089547,0.00112376257413541,0.152684287786299,0.00246839787570353,-2.24636926537094,0.00135624631269745,0.0668821577319975,0.00200898393343885,-2.24944777601681,0.00351757318203126,0.156529977699298,0.00816685382066689,-2.2461585275334,0.000677908212666639,0.152683395875828,0.000668257216835217
"11422-21",2200,-2.245641,0.1549768,-0.7,0.8,0.1,0.5,0.108785066680117,0.308783415166394,-2.24661505011889,0.00111276327490478,0.158603609110666,0.00255233097557582,-2.24617702469462,0.00133823330154387,0.0644214960479156,0.00201744950278682,-2.24802454328224,0.00357583096615159,0.161021431367418,0.00766960406688089,-2.24643336973604,0.000683291873079905,0.158515858860154,0.000673944871534337
"11422-22",2200,-2.245641,0.1549768,-0.7,0.8,0.1,0.5,0.109007338447386,0.299168975069252,-2.24587270301959,0.00112137252270028,0.154356824193836,0.00248515565804709,-2.24550431000216,0.0013392757269108,0.067344598891941,0.00201519830547607,-2.24667198203736,0.00358524136467707,0.144889504545956,0.00766106053774743,-2.24597352586415,0.000686383239784302,0.15362020520794,0.000677118359513861
"11422-23",2200,-2.245641,0.1549768,-0.7,0.8,0.1,0.5,0.109220662671702,0.305961754780652,-2.24626397281103,0.00112947171782173,0.155990654449595,0.00242454980087528,-2.24652268805003,0.00135628624228423,0.0716411244840528,0.00200628922475717,-2.24993180198746,0.00356656278960843,0.164135289754167,0.00773671766701615,-2.24604303053501,0.000686157164201227,0.156030956858168,0.000676907731197596
"11422-24",2200,-2.245641,0.1549768,-0.7,0.8,0.1,0.5,0.109389523969251,0.316085489313836,-2.24381630322532,0.00112858006779515,0.151996566099594,0.00242537255381096,-2.24558226203308,0.00136588648336034,0.0718413907105329,0.00200278285198054,-2.2419752782555,0.00348561058673761,0.143729946499369,0.00834945221323345,-2.24445124627682,0.000677989537989994,0.150843098383807,0.000668629649914915
"11422-25",2200,-2.245641,0.1549768,-0.7,0.8,0.1,0.5,0.109225813536984,0.293355855855856,-2.24608312704586,0.00113013435482056,0.154647786180933,0.00242110937363495,-2.24549875062666,0.00134371424165605,0.0710801367318383,0.00201034331813577,-2.24755227285262,0.00364732734466688,0.145730375841308,0.00730242316415444,-2.24592712953114,0.000694855714489529,0.154988242759864,0.000685770441540571
"11422-26",2200,-2.245641,0.1549768,-0.7,0.8,0.1,0.5,0.108953441329052,0.299889135254989,-2.24678281267118,0.0011222287621054,0.155880485104889,0.00248407912805997,-2.24826196970026,0.00134208433127712,0.0722027555185109,0.00201526307839194,-2.24761516466674,0.00354100330787597,0.156226523393378,0.00789993838392986,-2.24707135649771,0.000681623546962641,0.15433370730266,0.000672114906105993
"11422-27",2200,-2.245641,0.1549768,-0.7,0.8,0.1,0.5,0.109137614476148,0.310383120488617,-2.24524236115603,0.00112182056475444,0.155690856156657,0.00247480957616495,-2.24576548148788,0.00135086132624062,0.0689809246361832,0.00200914402067054,-2.2405070577195,0.00356803815094585,0.157819005707055,0.00759345498320146,-2.24466700207706,0.000684190012412484,0.156838325182367,0.000674753156848556
"11422-28",2200,-2.245641,0.1549768,-0.7,0.8,0.1,0.5,0.109138124275394,0.307692307692308,-2.24490303232073,0.00112001224584262,0.156212492482962,0.00248699094934888,-2.24408858957591,0.00134572036299026,0.06585665643038,0.00201099706718656,-2.24586870093854,0.00350157930595809,0.153215321773222,0.00823883256701775,-2.2449041915179,0.000675461187940288,0.156003500543725,0.000665910124996109
"11422-29",2200,-2.245641,0.1549768,-0.7,0.8,0.1,0.5,0.109049157583048,0.3043718871057,-2.24505722848055,0.00111984079994958,0.152832736985023,0.00249011878962667,-2.24547700409557,0.00134291670796041,0.0675176585620112,0.00201251339070931,-2.24491165777355,0.0035715415699851,0.149631490814631,0.00768859044947273,-2.24563501573908,0.000685099874626119,0.151157636896397,0.000675928916545123
"11422-30",2200,-2.245641,0.1549768,-0.7,0.8,0.1,0.5,0.10910564480664,0.296952908587258,-2.2451183253807,0.00112083924752921,0.155159540291168,0.00248339823340892,-2.24442308795167,0.00133613754804398,0.067267045695944,0.00201510322475118,-2.24304716845575,0.00350993807048163,0.159101505983817,0.00811798006591315,-2.24488960003044,0.000677253907752576,0.155495954987518,0.000667668491021318
"11422-31",2200,-2.245641,0.1549768,-0.7,0.8,0.1,0.5,0.108981566427767,0.305478693967903,-2.24573498014494,0.0011205401399119,0.153330915972247,0.00249265793263243,-2.2464068798897,0.00134510051995561,0.0681011242651377,0.00201353053056642,-2.24524860017423,0.00354113691414118,0.151650115961285,0.00791405820003208,-2.24622322568938,0.000681541079797059,0.151616138746563,0.00067203855700871
"11422-32",2200,-2.245641,0.1549768,-0.7,0.8,0.1,0.5,0.108820777015512,0.303327877795963,-2.24546019784838,0.0011122682272284,0.153975172505556,0.00255744913121019,-2.24455124013081,0.00133197438129408,0.0619562735953725,0.00202049643991606,-2.24993533086318,0.00349127769110385,0.1668448425984,0.00840706675176697,-2.24563704495941,0.000671548305164621,0.153512503608522,0.000661772060088749
"11422-33",2200,-2.245641,0.1549768,-0.7,0.8,0.1,0.5,0.109390721964417,0.333520179372197,-2.24380599918125,0.00112646369468907,0.153975413587446,0.0024359111044295,-2.24360100894222,0.00138010707695999,0.0657775284222048,0.00199980993639065,-2.24246353858203,0.00358510346277763,0.143087378033669,0.00758351903753361,-2.24326532515111,0.000686741837222616,0.154290522541616,0.000677566221732366
"11422-34",2200,-2.245641,0.1549768,-0.7,0.8,0.1,0.5,0.109088206595691,0.307991120976693,-2.24549683032256,0.0011219737514535,0.155107205248877,0.00247888200341927,-2.24619086430364,0.00134904697198137,0.0692456314631929,0.00201101678516609,-2.24327791234894,0.0035554320665931,0.147583422771923,0.00775807059390318,-2.2454693146982,0.000682255609390392,0.154010093854257,0.000672863293607055
"11422-35",2200,-2.245641,0.1549768,-0.7,0.8,0.1,0.5,0.109020983202991,0.292247629670943,-2.2458844913273,0.00112492523033094,0.150822259420487,0.00246080773278669,-2.24530556949925,0.00133659222753713,0.0674890834100411,0.00201572992798804,-2.24631906888687,0.00352335433159365,0.160819480168734,0.00803220543409182,-2.24539755855968,0.000678556652087859,0.152984903239386,0.00066904447722705
"11422-36",2200,-2.245641,0.1549768,-0.7,0.8,0.1,0.5,0.109097081263779,0.314538419016031,-2.24620701781274,0.00112027004763557,0.161636905721225,0.00248977655385953,-2.2464894980054,0.00135331081254784,0.0696028227175426,0.00200963756061347,-2.24941751592333,0.00351964228599262,0.158309652646167,0.00816215254035313,-2.24629189635553,0.000677265701648329,0.161776877048353,0.000667903363422407
