"sim","N","beta0","beta1","muU","sigmaU","q","access","avg_prev","fpr","beta0_gs","se_beta0_gs","beta1_gs","se_beta1_gs","beta0_n","se_beta0_n","beta1_n","se_beta1_n","beta0_cc","se_beta0_cc","beta1_cc","se_beta1_cc","beta0_smle","se_beta0_smle","beta1_smle","se_beta1_smle"
"11422-1",390,-2.245641,0.1549768,-0.7,0.8,0.1,10,0.122826775266454,0.285714285714286,-2.2523744496604,0.0180745832818042,0.158036219150842,0.0182148890147455,-2.24953987524295,0.0213443366338028,0.154413463316408,0.0214627578578908,-2.09989789458914,0.0070857840194686,NA,NA,NA,NA,NA,NA
"11422-2",390,-2.245641,0.1549768,-0.7,0.8,0.1,10,0.123435380542995,0.1,-2.22827146883667,0.0149253665503297,0.139576975921236,0.0150953052492862,-2.22656792697974,0.0157309642092826,0.137491686910758,0.0158919248418511,-2.22831274178185,0.0462250163521024,0.151267498339168,0.0467668697145881,-2.22656792697974,0.00889549785713897,0.137491686910757,0.00885551860449009
"11422-3",390,-2.245641,0.1549768,-0.7,0.8,0.1,10,0.123344089073756,0,-2.24320405426549,0.0212477428474697,0.152209846287375,0.0213662573096326,-2.24320405426549,0.0212477428474697,0.152209846287375,0.0213662573096326,-2.09271239419695,0.0070553863281187,NA,NA,NA,NA,NA,NA
"11422-4",390,-2.245641,0.1549768,-0.7,0.8,0.1,10,0.123092374948695,0.333333333333333,-2.25469668222377,0.0159414338789854,0.16338267426478,0.0161007221335856,-2.24198402913502,0.0194147167493474,0.149317043546824,0.0195448710825823,-2.3247715116455,0.0488531968746032,0.240617846016451,0.0493730382930893,NA,NA,NA,NA
"11422-5",390,-2.245641,0.1549768,-0.7,0.8,0.1,10,0.123883792656939,0.142857142857143,-2.19643527068389,0.0175709181768018,0.109894449741585,0.0177141320950792,-2.20686088413639,0.0190553968403343,0.120198468896863,0.0191872120013951,-2.08854028923236,0.00705767057606767,NA,NA,NA,NA,NA,NA
"11422-6",390,-2.245641,0.1549768,-0.7,0.8,0.1,10,0.123042970402817,0.5,-2.23453162974902,0.0331133089156015,0.140002415687224,0.0331891208015481,-2.22608183043068,0.0464739412340184,0.131191811021253,0.0465278669952043,-2.0888934722445,0.00705362945479704,NA,NA,NA,NA,NA,NA
"11422-7",390,-2.245641,0.1549768,-0.7,0.8,0.1,10,0.123204859931335,0.375,-2.23440838768709,0.0168001908391434,0.143298479322085,0.0169506972256458,-2.24982807352409,0.0213443228936021,0.157869279072025,0.0214621829523099,-2.25202935241989,0.0483368244522832,0.174751932473642,0.0488540946375334,-2.2498280735241,0.0100090461606086,0.15786927907204,0.00997403009533525
"11422-8",390,-2.245641,0.1549768,-0.7,0.8,0.1,10,0.123386996609604,0.444444444444444,-2.23858832172171,0.0158391289753346,0.149368950263974,0.0159990751585665,-2.24615733952073,0.021373566508823,0.155575466445982,0.0214912904661845,-2.24250079081059,0.0470881609348011,0.157819773299474,0.0476266424975406,NA,NA,NA,NA
"11422-9",390,-2.245641,0.1549768,-0.7,0.8,0.1,10,0.123426051005231,0.5,-2.21296432070607,0.0234790946028115,0.12203673304056,0.0235860339817935,-2.20821369891181,0.0332411247657236,0.116670898048583,0.0333164009007159,-2.09923554306511,0.00709059307918649,NA,NA,NA,NA,NA,NA
"11422-10",390,-2.245641,0.1549768,-0.7,0.8,0.1,10,0.123160277664353,0.272727272727273,-2.25409923034619,0.0143888583086374,0.164160851151926,0.0145656731752356,-2.25097855511658,0.0168334848133927,0.159794641474138,0.0169838725916656,-2.21271363630899,0.0332595021194513,0.115312930660867,0.0340447615698798,-2.25185542345516,0.0270367636013476,0.16184746655392,0.0283505056609419
"11422-11",390,-2.245641,0.1549768,-0.7,0.8,0.1,10,0.12369150178028,0.5,-2.27361476589843,0.0241895989463462,0.18540711821973,0.0242933275427399,-2.2245936869601,0.0332411207972206,0.135305244377489,0.0333163762239874,-2.31813520270055,0.0498754668053816,0.224476107010853,0.0503878076255522,NA,NA,NA,NA
"11422-12",390,-2.245641,0.1549768,-0.7,0.8,0.1,10,0.123211709498444,0.25,-2.23916827696554,0.0167506259459343,0.148211384935034,0.0169020630641961,-2.24229158884355,0.0193855204485659,0.150652076200822,0.019515924878078,-2.23201069342164,0.0470360434191799,0.141171857309996,0.0475768977700032,-2.24229158884354,0.00962163106571087,0.150652076200819,0.00958452323869473
"11422-13",390,-2.245641,0.1549768,-0.7,0.8,0.1,10,0.123766313491804,0.428571428571429,-2.27405915729575,0.018275702234877,0.187761348720684,0.0184133169035392,-2.25234447777193,0.0239114048774142,0.164530160309708,0.0240160923233672,-2.27452052266896,0.0482242822170412,0.178689087345025,0.048754085889209,NA,NA,NA,NA
"11422-14",390,-2.245641,0.1549768,-0.7,0.8,0.1,10,0.123400772701842,0.285714285714286,-2.2234626267506,0.0177667137319143,0.133414133217897,0.0179088268606708,-2.19971297408351,0.0207658390793644,0.108739231588892,0.0208870367758865,-2.14864057748048,0.04540766091865,0.0664180960739758,0.0459618163321972,-2.19971297408351,0.00967498846790688,0.108739231588891,0.00963867878708426
"11422-15",390,-2.245641,0.1549768,-0.7,0.8,0.1,10,0.123393982321047,0.666666666666667,-2.23134755165275,0.0157837827467017,0.14201630492315,0.015944268687604,-2.18012340798712,0.0265185591482514,0.0883959769710453,0.0266131462950378,-2.08339161111209,0.0070227755903013,NA,NA,NA,NA,NA,NA
"11422-16",390,-2.245641,0.1549768,-0.7,0.8,0.1,10,0.123751067389023,0.333333333333333,-2.2799135524341,0.0197104130378018,0.193173709399005,0.0198378520043364,-2.27479153483115,0.024175473552362,0.187076115586425,0.0242790379644127,-2.08964773411863,0.00705679085469511,NA,NA,NA,NA,NA,NA
"11422-17",390,-2.245641,0.1549768,-0.7,0.8,0.1,10,0.123378928722795,0.5,-2.21106350984947,0.023557140603989,0.119753235295829,0.0236639767516108,-2.19441541518352,0.0331314759644065,0.102450911560663,0.0332071836511148,-2.10294557559215,0.00711153820364029,NA,NA,NA,NA,NA,NA
