"sim","N","beta0","beta1","beta2","q","eta1","eta0","ppv","queried_ppv","avg_prev","fpr","beta0_gs","se_beta0_gs","beta1_gs","se_beta1_gs","beta2_gs","se_beta2_gs","beta0_n","se_beta0_n","beta1_n","se_beta1_n","beta2_n","se_beta2_n","beta0_cc","se_beta0_cc","beta1_cc","se_beta1_cc","beta2_cc","se_beta2_cc","beta0_mle","se_beta0_mle","beta1_mle","se_beta2_mle","beta2_mle","se_beta1_mle","eta0_mle","se_eta0_mle","eta1_mle","se_eta1_mle","mle_msg","sim_msg","CHECKME"
"seed1031-run1",390,-2.2778541,0.1764544,0.1413503,0.1,0.3897812,0.996513161119891,0.8,0.8,0.119528283991748,0.670212765957447,-2.27878642988041,0.00532056976584531,0.17709200463822,0.0055692833462149,0.14345069597085,0.0151847076308987,-2.14112742106361,0.00449106320193278,0.00103660042397043,0.0048787498740824,0.133092639755499,0.01517292012441,-2.25700470523019,0.0179983697045208,0.161051981134622,0.0184781254560629,0.107057176883282,0.0470116599962883,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",0.763157894736842
"seed1031-run2",390,-2.2778541,0.1764544,0.1413503,0.1,0.3897812,0.996513161119891,0.8,0.8,0.119929596155981,0.631578947368421,-2.28216323951382,0.00580023463483091,0.1793160214627,0.00606039879384096,0.132238638515649,0.0172846582091965,-2.13974322702229,0.00460140208770538,0.00353892052253853,0.0048682911456841,0.150567005081828,0.0173868898377,-2.27931221251296,0.0181237432713872,0.167868940717837,0.0180248245651761,0.171855068210799,0.0488547941263296,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",0.817490494296578
"seed1031-run3",390,-2.2778541,0.1764544,0.1413503,0.1,0.3897812,0.996513161119891,0.8,0.95,0.119785604024269,0.563218390804598,-2.2815462892572,0.00532281177376724,0.175884680040187,0.00578271286056141,0.165554390410065,0.0141071984840019,-2.16311599371858,0.0047147231875453,0.0204840650831014,0.0050308667289144,0.218231404994376,0.0140947815993264,-2.26652848281775,0.0185407286968196,0.168712367767456,0.0196555528656916,0.133169274158334,0.0313027611681501,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",0.823104693140794
"seed1031-run4",390,-2.2778541,0.1764544,0.1413503,0.1,0.3897812,0.996513161119891,0.8,0.8,0.120059982092614,0.678571428571429,-2.278718689679,0.00543573716303348,0.179072689334771,0.00582602683305707,0.126733690704725,0.0132129123758989,-2.14844723896563,0.00472874732582599,0.0135517430245387,0.00513754825275489,0.150374947565987,0.0132377860148096,-2.28766835177634,0.015113241567293,0.181351358986015,0.0170288088500294,0.107272971973821,0.0524178285542508,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",0.800699300699301
"seed1031-run5",390,-2.2778541,0.1764544,0.1413503,0.1,0.3897812,0.996513161119891,0.8,0.85,0.119362649505385,0.626373626373626,-2.27899724205463,0.00529271631878701,0.172919467902583,0.00566925482215367,0.148793394281313,0.0162925716528687,-2.16339242928312,0.00493090924472826,0.0180909168973629,0.00505245334071068,0.204944736492034,0.0163547274031696,-2.27378774577994,0.0195565102959143,0.183787506501448,0.0188216550777547,0.121530950348837,0.0532729792893735,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",0.792727272727273
"seed1031-run6",390,-2.2778541,0.1764544,0.1413503,0.1,0.3897812,0.996513161119891,0.8,0.9,0.119884624871694,0.58695652173913,-2.27219944175798,0.00525581442445158,0.171052255395075,0.00560137124538567,0.138512110947075,0.0138144163801806,-2.15986777490892,0.0047048350406562,0.0260256000384822,0.00501054089082444,0.158103570557035,0.0139014836246369,-2.28515727335786,0.0197884734539713,0.193631287121036,0.0212260202354882,0.145937284411228,0.0306186534943487,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",0.803636363636364
"seed1031-run7",390,-2.2778541,0.1764544,0.1413503,0.1,0.3897812,0.996513161119891,0.8,0.85,0.120301811112899,0.716216216216216,-2.27842479840647,0.00584035671142122,0.176474985022049,0.00611751356963193,0.13351811825804,0.0150673522971625,-2.13228613892585,0.00465977026344778,-0.00232918203106587,0.00497004800409143,0.140833030499531,0.0151679701129806,-2.27305259693733,0.0164763478637393,0.178270318356145,0.0171640198930453,0.153509088212056,0.0431688730138359,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",0.806569343065693
"seed1031-run8",390,-2.2778541,0.1764544,0.1413503,0.1,0.3897812,0.996513161119891,0.8,0.7,0.12057003476031,0.698630136986301,-2.27595709509723,0.00579637416314415,0.171847220507691,0.00614607258476004,0.161511847143421,0.0140938530295547,-2.13856635409117,0.00461624361937888,0.00325524626396802,0.00504566495532559,0.180590346609293,0.0141121517863362,-2.26709522652926,0.0150828364568071,0.151314646373507,0.0167290331910317,0.150970429069173,0.0377727502674646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",0.818505338078292
"seed1031-run9",390,-2.2778541,0.1764544,0.1413503,0.1,0.3897812,0.996513161119891,0.8,0.95,0.120426120887311,0.578947368421053,-2.26930040926179,0.00569464870641786,0.166640862022317,0.00603837157015818,0.134476330110977,0.0146709826040848,-2.14896853612299,0.00461596837748602,0.0179763933994589,0.00500510112937873,0.160862520805018,0.0146565272304367,-2.27979813837272,0.0201488251386179,0.181704937963587,0.0211158916310462,0.130059800980258,0.0426437230057677,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",0.84115523465704
"seed1031-run10",390,-2.2778541,0.1764544,0.1413503,0.1,0.3897812,0.996513161119891,0.8,0.6,0.119848336777657,0.675,-2.27462179348685,0.00559610754587205,0.168699192820547,0.00591644710520403,0.146219851599321,0.0158956120885979,-2.13599052764096,0.00490588631920845,-0.00611051257426831,0.00509640543546971,0.164483612811408,0.0160944336976159,-2.25760581239741,0.0143587022535919,0.158392802822348,0.016101528188704,0.138629873452238,0.032058394292913,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",0.807829181494662
