"sim","N","beta0","beta1","beta2","q","eta1","eta0","ppv","queried_ppv","avg_prev","fpr","beta0_gs","se_beta0_gs","beta1_gs","se_beta1_gs","beta2_gs","se_beta2_gs","beta0_n","se_beta0_n","beta1_n","se_beta1_n","beta2_n","se_beta2_n","beta0_cc","se_beta0_cc","beta1_cc","se_beta1_cc","beta2_cc","se_beta2_cc","beta0_mle","se_beta0_mle","beta1_mle","se_beta2_mle","beta2_mle","se_beta1_mle","eta0_mle","se_eta0_mle","eta1_mle","se_eta1_mle","mle_msg","sim_msg","CHECKME"
"seed1031-run1",2200,-2.2778541,0.1764544,0.1413503,0.1,0.3897812,0.457516660387203,0.7,0.709090909090909,0.118038539385,0.65149359886202,-2.27684266930207,0.00196197429533197,0.175440645888058,0.00213522705880038,0.142853076690864,0.00620746940446317,-2.17158572169204,0.00206526313994243,0.0223241246817831,0.00216498411994141,0.153465443499568,0.00624498810897939,-2.27404625553551,0.00575812459725209,0.16967327552212,0.00654612569164998,0.163838866105183,0.0188598157192514,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",0.711041009463722
"seed1031-run2",2200,-2.2778541,0.1764544,0.1413503,0.1,0.3897812,0.457516660387203,0.7,0.7,0.117939535008869,0.651862464183381,-2.27783692598033,0.001962881293835,0.176052237737567,0.00214169877356572,0.144592902390205,0.00645999922643714,-2.16588608502571,0.00198592087433745,0.014769213983664,0.00212071986570531,0.153994238892988,0.00648851627936287,-2.27565856074922,0.00603094764770806,0.17446146668057,0.00682857790023096,0.125659182357294,0.0208087940897389,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",0.706451612903226
"seed1031-run3",2200,-2.2778541,0.1764544,0.1413503,0.1,0.3897812,0.457516660387203,0.7,0.736363636363636,0.118278272406038,0.638009049773756,-2.27906024867398,0.00199652761003384,0.177409399200297,0.00217481983134532,0.144033878993089,0.00598340299184127,-2.16378617770116,0.00199353631665011,0.0155385881653107,0.00213190504548425,0.150738916528858,0.0060204527234741,-2.2730940283061,0.00623027744569004,0.175942049625692,0.00684106259862944,0.105807832131843,0.0227798193834975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",0.729193341869398
"seed1031-run4",2200,-2.2778541,0.1764544,0.1413503,0.1,0.3897812,0.457516660387203,0.7,0.690909090909091,0.118084244626112,0.652110625909753,-2.27818888086921,0.00198492112482988,0.177320165459489,0.00215155301136032,0.137971121273404,0.00641156987542196,-2.1652946820953,0.00200185685793119,0.0159517325335895,0.00213382856962115,0.145839607184847,0.00643133983338122,-2.27292992026225,0.00647646730411056,0.172991174649794,0.0069250208743188,0.124884438883083,0.0247665788282403,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",0.714285714285714
"seed1031-run5",2200,-2.2778541,0.1764544,0.1413503,0.1,0.3897812,0.457516660387203,0.7,0.709090909090909,0.118135554091051,0.626647144948756,-2.27582624940975,0.00195935540286828,0.172860255251726,0.0021546504674484,0.138917508046768,0.00573297453838969,-2.16990162147208,0.00195827894822239,0.0200427348200445,0.00212189380108459,0.156095527290539,0.00572551756660626,-2.27399584190684,0.00612489767196272,0.172310851885807,0.00680891022903579,0.124470419920237,0.018683692385144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",0.724935732647815
"seed1031-run6",2200,-2.2778541,0.1764544,0.1413503,0.1,0.3897812,0.457516660387203,0.7,0.736363636363636,0.117974072137952,0.625352112676056,-2.2771053208287,0.00195235082231046,0.175715434611809,0.00213028832704108,0.137694203407551,0.00598983110009592,-2.17098799205497,0.00201204909801832,0.0207487882802637,0.0021236042266443,0.150595847122606,0.0060376114351504,-2.27435630955275,0.00594902932791302,0.180028711530834,0.0065145084916382,0.125929494837983,0.0198720349673443,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",0.712248865845755
"seed1031-run7",2200,-2.2778541,0.1764544,0.1413503,0.1,0.3897812,0.457516660387203,0.7,0.709090909090909,0.118132416776681,0.67427701674277,-2.2776684703017,0.00201315582898774,0.174136341589914,0.00218239776511944,0.137192270587334,0.00599865061191512,-2.15979368668811,0.00201520849563206,0.0102327936122127,0.00215561394534998,0.137067510513907,0.00600115517364196,-2.2612419719137,0.00587641309085637,0.160681745661167,0.00668803073812066,0.111603314041532,0.0211619738444556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",0.721208307111391
"seed1031-run8",2200,-2.2778541,0.1764544,0.1413503,0.1,0.3897812,0.457516660387203,0.7,0.727272727272727,0.117769900028782,0.633802816901408,-2.27893740467122,0.0019448968870696,0.177882075594083,0.00213255180751541,0.13830450824826,0.00636934221212949,-2.16867772840766,0.00195353667287433,0.0176296644760616,0.00209945795944125,0.149991326995108,0.00641265738628458,-2.27483017855164,0.00643740071567081,0.179474291233924,0.00672877004992465,0.116431439986486,0.0195071503866697,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",0.704530531845043
"seed1031-run9",2200,-2.2778541,0.1764544,0.1413503,0.1,0.3897812,0.457516660387203,0.7,0.663636363636364,0.118019120894534,0.663865546218487,-2.27862478167198,0.00193563479153163,0.179635340237933,0.00212698706492742,0.132197002314536,0.00566316466974912,-2.16985414691247,0.0020533462417402,0.0201685544573069,0.00216905797966661,0.143449632150525,0.00569720949602658,-2.27850507280765,0.00585742992954235,0.176493817571416,0.00641462149931336,0.135253518492726,0.0206173392193603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",0.70188679245283
"seed1031-run10",2200,-2.2778541,0.1764544,0.1413503,0.1,0.3897812,0.457516660387203,0.7,0.718181818181818,0.11806277007925,0.659883720930233,-2.27720195069433,0.00195394146306721,0.175364662700595,0.00215082462631761,0.147137043419057,0.00616184271253157,-2.16266708893644,0.00200356138299626,0.0106238447250356,0.00214098339255146,0.161606776772593,0.00619003180642653,-2.27134439447799,0.00607135513493343,0.171362414303743,0.00663737145188777,0.135636946639359,0.0170505203287005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",0.711012094207511
