"sim","N","beta0","beta1","q","ppv","avg_prev","fpr","beta0_gs","se_beta0_gs","beta1_gs","se_beta1_gs","eta0_gs","se_eta0_gs","beta0_n","se_beta0_n","beta1_n","se_beta1_n","beta0_cc","se_beta0_cc","beta1_cc","se_beta1_cc","eta0_cc","se_eta0_cc","beta0_mle","se_beta0_mle","beta1_mle","se_beta1_mle","eta0_mle","se_eta0_mle"
"11422-266",390,-2.245641,0.1549768,0.1,0.9,0.114046874512509,0.10377358490566,-2.24887622660344,0.00327420300097237,0.163069718262608,0.0046453950210316,2.09074109499682,0.225986096074423,-2.24861220025865,0.0034567730438187,0.145981978042747,0.004667336464685,-2.25141678358432,0.00955724033618064,0.169451107809051,0.0150981036425931,1.54044504094715,0.636209001554974,-2.24824301798722,0.00334667031936209,0.162992634593235,0.00442616883420908,2.01953258344468,0.260630168337815
"11422-267",390,-2.245641,0.1549768,0.1,0.9,0.11440255712343,0.120772946859903,-2.2428011372023,0.00330382122852588,0.153048338738971,0.00463733342392591,1.99061032781705,0.213222373587943,-2.24276545032238,0.0035227199527363,0.135829735501396,0.00467882935519272,-2.23453192996179,0.0103235466692585,0.154291900043982,0.0145973687896576,2.89037175539071,1.02736793740422,-2.24329103658464,0.00340565414946203,0.152830745641639,0.00429919314026462,2.06267695605952,0.259552563426975
"11422-268",390,-2.245641,0.1549768,0.1,0.9,0.113751993598757,0.107981220657277,-2.24484242823562,0.00326156993174957,0.150483267075659,0.00465235234129696,2.04065551605437,0.221644979988208,-2.24318617018487,0.00345090188412131,0.131233261983676,0.00467127170181456,-2.24888370824777,0.00970689998347535,0.149166474012821,0.0150244338026872,2.01490302023846,0.752764539574291,-2.24407587762421,0.00327387508608236,0.150507546637185,0.00447589786940767,1.94594342766493,0.25921831387664
"11422-269",390,-2.245641,0.1549768,0.1,0.9,0.113461881203229,0.0867579908675799,-2.246232697189,0.00321936328226936,0.152985978293487,0.00466384835588952,2.19722456035743,0.241805488147162,-2.24530923314983,0.00336610582963049,0.137024662748544,0.00466285486365547,-2.24145808632536,0.0109031079406047,0.157746503576558,0.0146734350936937,2.30258509299404,0.741619817620974,-2.24543173186435,0.00324272445120261,0.153063195897472,0.00439417019123294,2.080516157118,0.270776499260733
"11422-270",390,-2.245641,0.1549768,0.1,0.9,0.114355313240226,0.121827411167513,-2.24696253922482,0.00339216904261126,0.15281295082314,0.0046488708446384,2.08463635687006,0.216438472732932,-2.24869339547958,0.00362313971536001,0.139906215798041,0.00471636064810976,-2.24980778143515,0.0106588201930376,0.153838616430037,0.0146971567764465,1.84582669049742,0.621260386270676,-2.24748385266265,0.00347946218161285,0.152597768850348,0.00430262869413761,2.1660399043995,0.278745000096609
"11422-271",390,-2.245641,0.1549768,0.1,0.9,0.113579333020529,0.0964912280701754,-2.24355050138883,0.0031510786246547,0.157119061872492,0.00467720982543254,1.9965538816896,0.227214700188021,-2.2414559334134,0.00331231058262454,0.135376511444636,0.00465757868425742,-2.24745243955958,0.0109520406204934,0.172399990812732,0.0146769364784354,2.30258509299404,0.741619817620974,-2.24311311450528,0.00317822231452544,0.158285353333018,0.00443092449015638,1.87748025832293,0.249877029058933
"11422-272",390,-2.245641,0.1549768,0.1,0.9,0.113222400407999,0.127753303964758,-2.25256554322383,0.00317585080458656,0.169147999926372,0.00468197636433246,1.72645437082028,0.201538401053259,-2.25396448842858,0.00340336843808574,0.148007033961871,0.00467540641179049,-2.2461298942825,0.010935657035901,0.156271465861511,0.0147231201910302,1.8971199848783,0.619138150721662,-2.25387373593564,0.00324048761041931,0.168514904772912,0.00446578705113277,1.88335234342888,0.243704200086995
"11422-273",390,-2.245641,0.1549768,0.1,0.9,0.114111982795439,0.0985915492957746,-2.24345941369096,0.0032616394439967,0.154068247060923,0.00464832524966568,2.13162729016127,0.230790351534877,-2.2435051454052,0.00343526917011616,0.13891355557965,0.00466456210961524,-2.25590917092904,0.00999050982621136,0.156510284873019,0.0149207957122713,1.67397643317301,0.629145522201245,-2.2437996915224,0.00331854958165034,0.153203779586553,0.00438125650651514,2.23982671196193,0.290752703592491
"11422-274",390,-2.245641,0.1549768,0.1,0.9,0.114591200689145,0.12,-2.24645232911455,0.00337205221337881,0.157935964968741,0.00464410784762016,2.06897024063891,0.216628303930408,-2.24560490488837,0.00359235993145274,0.140042167559914,0.00470314566861031,-2.26053087617053,0.00941387423848971,0.168502366791215,0.0154369430515509,2.5649493574567,1.03774754978851,-2.24632336394071,0.00348648154474958,0.15795611093822,0.00429275245342934,2.05470570575632,0.255017009071537
"11422-275",390,-2.245641,0.1549768,0.1,0.9,0.113792313404348,0.12037037037037,-2.24202614922192,0.00323205012685963,0.147615133857362,0.00465309071591998,1.90095876118431,0.210258188500723,-2.24431806537272,0.00344991596223255,0.133801742594046,0.004669839950535,-2.24437972980759,0.0103958111736591,0.143944692101067,0.014717051227503,1.50407739677627,0.552770777123328,-2.24336934050497,0.00331519678508203,0.146966180871851,0.00442836882293323,2.11026950597737,0.275952485846923
"11422-276",390,-2.245641,0.1549768,0.1,0.9,0.114028676650107,0.0917874396135266,-2.24486458676478,0.00330795847108447,0.150836889703879,0.00464564445440925,2.26504717367497,0.241031236956284,-2.24454033234305,0.00346977492949669,0.137050601997962,0.00467044493681431,-2.24092740851223,0.01060474382667,0.157073535596323,0.0146327569060214,1.84582669049742,0.621260386270676,-2.24420509747087,0.00337435457094225,0.151094378648208,0.00438642041035104,2.15182906084978,0.288329437387429
"11422-277",390,-2.245641,0.1549768,0.1,0.9,0.113502839130213,0.119266055045872,-2.24705471284167,0.00323022841298356,0.154408994392273,0.00466292596304538,1.88939793878631,0.210417119120079,-2.24572384158871,0.00343904541092503,0.133067238171629,0.00467500662764349,-2.2386653156164,0.0106017617971441,0.126106430911834,0.0147065511207218,2.94443897327046,1.02592550537004,-2.24777061771319,0.0033025443192223,0.153392446817646,0.00437614874003244,2.03341533401108,0.255349906545328
