"sim","N","beta0","beta1","muU","sigmaU","q","avg_prev","fpr","beta0_gs","se_beta0_gs","beta1_gs","se_beta1_gs","beta0_n","se_beta0_n","beta1_n","se_beta1_n","beta0_cc","se_beta0_cc","beta1_cc","se_beta1_cc","beta0_smle","se_beta0_smle","beta1_smle","se_beta1_smle","ppv_smle"
"11422-36",390,-2.245641,0.1549768,-0.7,0.2,0.1,0.111871676482523,0.21875,-2.24869991236015,0.00297926548757799,0.16092826131795,0.00482489720658917,-2.24706996034759,0.00336837711710401,0.113012921243856,0.00468929735806778,-2.2617861400096,0.00922374005533903,0.17769022171455,0.0156606670370835,-2.24826430167426,0.00316948203669626,0.161049287318408,0.00455496845886713,0.699218353462
"11422-37",390,-2.245641,0.1549768,-0.7,0.2,0.1,0.111215297892827,0.197802197802198,-2.24460165715394,0.00287867757176062,0.152796126981728,0.0049921501670718,-2.24413143183049,0.00321146772393159,0.106077687015934,0.00471619636766372,-2.24341952341263,0.00949371480267296,0.161287489957855,0.0151092771819415,-2.2443354178296,0.00297853159575614,0.151053571507422,0.00496127129292473,0.688873947215748
"11422-38",390,-2.245641,0.1549768,-0.7,0.2,0.1,0.111565979138387,0.264367816091954,-2.24808189774523,0.00295271795056999,0.157608029504611,0.00487342339400579,-2.24895208839928,0.00344424327665402,0.107162037994123,0.00470954270965726,-2.25751792897654,0.00889143468591912,0.180876135473502,0.0164385378768926,-2.24852087898238,0.00312174311817992,0.156194734327476,0.00483935330656272,0.663305287801981
"11422-39",390,-2.245641,0.1549768,-0.7,0.2,0.1,0.111022068357211,0.238636363636364,-2.25275902471764,0.00294207881664313,0.160535648325929,0.00490903664691534,-2.25390739530675,0.00337485410913733,0.112006687826208,0.00471191345784408,-2.24421384757648,0.00932829016471674,0.166295365683264,0.0153458489521844,-2.25312735619596,0.00307673626910741,0.16044911640224,0.00522350751118095,0.67157919120669
"11422-40",390,-2.245641,0.1549768,-0.7,0.2,0.1,0.111335647266211,0.267148014440433,-2.24181830893214,0.0028572349587074,0.152416659580741,0.00503359301770796,-2.23732457989603,0.00332946857576445,0.0859553050597752,0.00470461346409843,-2.23190916359639,0.00836446300440548,0.147026649782941,0.0186066470193048,-2.24131266265662,0.00291047097156592,0.154653947666284,0.00579516136136755,0.58803305233311
"11422-41",390,-2.245641,0.1549768,-0.7,0.2,0.1,0.110692243569565,0.239130434782609,-2.24959337771167,0.00287419132529995,0.1574424643803,0.00503592468412791,-2.25123628274807,0.00329756450201758,0.105906143495918,0.00472159097672464,-2.2606758712039,0.00876451077116491,0.167100008499639,0.0171263966254951,-2.25007424477571,0.00298189995361583,0.158471765450767,0.00505946374606206,0.634948333638089
"11422-42",390,-2.245641,0.1549768,-0.7,0.2,0.1,0.111969150075316,0.258823529411765,-2.24374324731677,0.00298015140226408,0.149365751796053,0.00483044559901591,-2.24157491817719,0.003457619574499,0.0987286267755194,0.00470574855964112,-2.25233896650066,0.00905097400671553,0.156404618288138,0.0161249601252046,-2.24321280203486,0.00304786177206974,0.150648245358227,0.00508854482727534,0.658428548468828
"11422-43",390,-2.245641,0.1549768,-0.7,0.2,0.1,0.111241654656919,0.202290076335878,-2.24967177867339,0.00294795370254758,0.154965943103517,0.00489345995832885,-2.24706397616663,0.00329614896355248,0.10668241739115,0.00470681640628689,-2.25996126110376,0.00921316445941218,0.157756096520869,0.0157952977594972,-2.24933792948934,0.00302576855064759,0.157287417788309,0.00486459967785403,0.691583955701379
"11422-44",390,-2.245641,0.1549768,-0.7,0.2,0.1,0.111739081633123,0.260377358490566,-2.2407029825969,0.00291877757037694,0.145852422467547,0.00490919412605872,-2.24279456847477,0.0033988835237971,0.100360931036127,0.00469879403759799,-2.24795674219222,0.00869367863074025,0.155495271323021,0.0171067534151884,-2.24072587923514,0.00302460577398122,0.146292160909006,0.00559609246904215,0.642494056951047
"11422-45",390,-2.245641,0.1549768,-0.7,0.2,0.1,0.111739210896574,0.297297297297297,-2.24314949506074,0.00295356785473231,0.14636460430801,0.00486549357924584,-2.24389326457169,0.00352442655741633,0.0958817985960476,0.00472447410598853,-2.25538809716625,0.00936626736755768,0.145243821932692,0.0154711637620238,-2.24374182604557,0.00306342385473509,0.144573991770091,0.00507019907849363,0.645577012851161
